z,result,Response,
-4,-77.31267792,77.31267792,
-3.9,-83.54172306,83.54172306,
-3.8,-90.28046201,90.28046201,
-3.7,-97.56979029,97.56979029,
-3.6,-105.4535754,105.4535754,
-3.5,-113.9787987,113.9787987,
-3.4,-123.195685,123.195685,
-3.3,-133.1578144,133.1578144,
-3.2,-143.9222083,143.9222083,
-3.1,-155.5493776,155.5493776,
-3,-168.1033237,168.1033237,
-2.9,-181.6514713,181.6514713,
-2.8,-196.2645152,196.2645152,
-2.7,-212.0161531,212.0161531,
-2.6,-228.9826686,228.9826686,
-2.5,-247.2423226,247.2423226,
-2.4,-266.8744939,266.8744939,
-2.3,-287.9584982,287.9584982,
-2.2,-310.5719881,310.5719881,
-2.1,-334.7888129,334.7888129,
-2,-360.6761753,360.6761753,
-1.9,-388.2908731,388.2908731,
-1.8,-417.6743424,417.6743424,
-1.7,-448.8461271,448.8461271,
-1.6,-481.7952658,481.7952658,
-1.5,-516.4689044,516.4689044,
-1.4,-552.7571874,552.7571874,
-1.3,-590.4731046,590.4731046,
-1.2,-629.3254312,629.3254312,
-1.1,-668.8820925,668.8820925,
-1,-708.5200505,708.5200505,
-0.9,-747.3558779,747.3558779,
-0.8,-784.1480346,784.1480346,
-0.7,-817.1564845,817.1564845,
-0.6,-843.9355699,843.9355699,
-0.5,-861.0170812,861.0170812,
-0.4,-863.3994968,863.3994968,MAX
-0.3,-843.6581016,843.6581016,
-0.2,-790.186152,790.186152,
-0.1,-682.8168002,682.8168002,
