z,result
-4.0,-77.31267792
-3.9,-83.5417230556
-3.8,-90.2804620071
-3.7,-97.5697902924
-3.6,-105.453575433
-3.5,-113.978798697
-3.4,-123.195684961
-3.3,-133.157814438
-3.2,-143.922208253
-3.1,-155.54937764
-3.0,-168.103323723
-2.9,-181.651471264
-2.8,-196.264515215
-2.7,-212.016153082
-2.6,-228.982668603
-2.5,-247.242322556
-2.4,-266.874493923
-2.3,-287.958498214
-2.2,-310.571988085
-2.1,-334.788812853
-2.0,-360.676175312
-1.9,-388.290873085
-1.8,-417.674342377
-1.7,-448.846127143
-1.6,-481.795265755
-1.5,-516.468904361
-1.4,-552.757187409
-1.3,-590.473104561
-1.2,-629.325431183
-1.1,-668.882092522
-1.0,-708.520050479
-0.9,-747.355877917
-0.8,-784.148034633
-0.7,-817.15648446
-0.6,-843.935569942
-0.5,-861.01708119
-0.4,-863.399496821
-0.3,-843.658101578
-0.2,-790.186151972
-0.1,-682.816800215
0.0,nan
