z,result
-2.0,-112.757503743
-1.95,-138.301025699
-1.9,-170.419598542
-1.85,-211.21338226
-1.8,-262.883886722
-1.75,-328.950727409
-1.7,-413.9434542
-1.65,-523.99001692
-1.6,-667.445958659
-1.55,-855.798695658
-1.5,-1104.97999701
-1.45,-1437.29086303
-1.4,-1884.25587711
-1.35,-2490.90575885
-1.3,-3322.28336988
-1.25,-4473.45982261
-1.2,-6085.17487857
-1.15,-8368.63349138
-1.1,-11645.4637669
-1.05,-16413.2420972
-1.0,-23454.9855279
-0.95,-34025.8636568
-0.9,-50178.6479343
-0.85,-75344.6226501
-0.8,-115397.577309
-0.75,-180658.174948
-0.7,-289787.900912
-0.65,-477615.239577
-0.6,-811469.887008
-0.55,-1426743.4288
-0.5,-2608050.62303
-0.45,-4984576.82758
-0.4,-10030104.6237
-0.35,-21369128.2665
-0.3,-49155647.4752
-0.25,-123713284.355
-0.2,-350125662.746
-0.15,-1166912354.14
-0.1,-4942358230.71
-0.05,-31167618453.5
