x,y,result
-1.0,-2.0,1.56153758499e-10
-0.9875,-2.0,1.57351065735e-10
-0.975,-2.0,1.5854074198e-10
-0.9625,-2.0,1.5972247749e-10
-0.95,-2.0,1.60895965694e-10
-0.9375,-2.0,1.62060903393e-10
-0.925,-2.0,1.63216990944e-10
-0.9125,-2.0,1.64363932442e-10
-0.9,-2.0,1.65501435892e-10
-0.8875,-2.0,1.66629213377e-10
-0.875,-2.0,1.67746981216e-10
-0.8625,-2.0,1.68854460112e-10
-0.85,-2.0,1.69951375296e-10
-0.8375,-2.0,1.71037456661e-10
-0.825,-2.0,1.72112438886e-10
-0.8125,-2.0,1.73176061554e-10
-0.8,-2.0,1.74228069259e-10
-0.7875,-2.0,1.75268211707e-10
-0.775,-2.0,1.76296243803e-10
-0.7625,-2.0,1.77311925735e-10
-0.75,-2.0,1.78315023045e-10
-0.7375,-2.0,1.79305306691e-10
-0.725,-2.0,1.80282553105e-10
-0.7125,-2.0,1.81246544235e-10
-0.7,-2.0,1.8219706758e-10
-0.6875,-2.0,1.83133916225e-10
-0.675,-2.0,1.84056888852e-10
-0.6625,-2.0,1.84965789755e-10
-0.65,-2.0,1.85860428839e-10
-0.6375,-2.0,1.86740621621e-10
-0.625,-2.0,1.87606189206e-10
-0.6125,-2.0,1.88456958274e-10
-0.6,-2.0,1.89292761046e-10
-0.5875,-2.0,1.90113435251e-10
-0.575,-2.0,1.90918824078e-10
-0.5625,-2.0,1.9170877613e-10
-0.55,-2.0,1.92483145364e-10
-0.5375,-2.0,1.93241791033e-10
-0.525,-2.0,1.93984577611e-10
-0.5125,-2.0,1.94711374724e-10
-0.5,-2.0,1.95422057067e-10
-0.4875,-2.0,1.96116504325e-10
-0.475,-2.0,1.96794601078e-10
-0.4625,-2.0,1.97456236713e-10
-0.45,-2.0,1.98101305327e-10
-0.4375,-2.0,1.98729705626e-10
-0.425,-2.0,1.99341340823e-10
-0.4125,-2.0,1.99936118533e-10
-0.4,-2.0,2.00513950664e-10
-0.3875,-2.0,2.01074753309e-10
-0.375,-2.0,2.01618446638e-10
-0.3625,-2.0,2.02144954779e-10
-0.35,-2.0,2.02654205711e-10
-0.3375,-2.0,2.0314613115e-10
-0.325,-2.0,2.03620666434e-10
-0.3125,-2.0,2.04077750414e-10
-0.3,-2.0,2.04517325336e-10
-0.2875,-2.0,2.04939336738e-10
-0.275,-2.0,2.05343733333e-10
-0.2625,-2.0,2.05730466908e-10
-0.25,-2.0,2.06099492211e-10
-0.2375,-2.0,2.06450766856e-10
-0.225,-2.0,2.06784251215e-10
-0.2125,-2.0,2.07099908325e-10
-0.2,-2.0,2.07397703792e-10
-0.1875,-2.0,2.076776057e-10
-0.175,-2.0,2.07939584524e-10
-0.1625,-2.0,2.08183613047e-10
-0.15,-2.0,2.08409666282e-10
-0.1375,-2.0,2.08617721396e-10
-0.125,-2.0,2.08807757641e-10
-0.1125,-2.0,2.08979756291e-10
-0.1,-2.0,2.09133700578e-10
-0.0875,-2.0,2.09269575642e-10
-0.075,-2.0,2.09387368479e-10
-0.0625,-2.0,2.09487067898e-10
-0.05,-2.0,2.09568664483e-10
-0.0375,-2.0,2.09632150562e-10
-0.025,-2.0,2.09677520176e-10
-0.0125,-2.0,2.09704769063e-10
0.0,-2.0,2.09713894641e-10
0.0125,-2.0,2.09704896e-10
0.025,-2.0,2.09677773897e-10
0.0375,-2.0,2.09632530761e-10
0.05,-2.0,2.09569170703e-10
0.0625,-2.0,2.09487699527e-10
0.075,-2.0,2.09388124757e-10
0.0875,-2.0,2.09270455657e-10
0.1,-2.0,2.09134703269e-10
0.1125,-2.0,2.08980880447e-10
0.125,-2.0,2.08809001907e-10
0.1375,-2.0,2.08619084269e-10
0.15,-2.0,2.08411146116e-10
0.1625,-2.0,2.08185208053e-10
0.175,-2.0,2.07941292774e-10
0.1875,-2.0,2.07679425128e-10
0.2,-2.0,2.07399632196e-10
0.2125,-2.0,2.0710194337e-10
0.225,-2.0,2.06786390435e-10
0.2375,-2.0,2.06453007656e-10
0.25,-2.0,2.06101831874e-10
0.2625,-2.0,2.05732902592e-10
0.275,-2.0,2.05346262079e-10
0.2875,-2.0,2.0494195547e-10
0.3,-2.0,2.04520030869e-10
0.3125,-2.0,2.04080539451e-10
0.325,-2.0,2.03623535578e-10
0.3375,-2.0,2.03149076899e-10
0.35,-2.0,2.0265722447e-10
0.3625,-2.0,2.0214804286e-10
0.375,-2.0,2.01621600264e-10
0.3875,-2.0,2.01077968622e-10
0.4,-2.0,2.00517223725e-10
0.4125,-2.0,1.9993944533e-10
0.425,-2.0,1.99344717275e-10
0.4375,-2.0,1.98733127587e-10
0.45,-2.0,1.98104768592e-10
0.4625,-2.0,1.97459737022e-10
0.475,-2.0,1.96798134123e-10
0.4875,-2.0,1.96120065755e-10
0.5,-2.0,1.95425642491e-10
0.5125,-2.0,1.94714979719e-10
0.525,-2.0,1.93988197728e-10
0.5375,-2.0,1.93245421799e-10
0.55,-2.0,1.92486782291e-10
0.5625,-2.0,1.91712414717e-10
