x,y,vertical,horizontal
-1.0,-2.0,60737502006.814804,70631892368.21582
-1.0,-1.95,65439593072.98855,73631510743.91275
-1.0,-1.9,70563406657.91574,76718629475.63608
-1.0,-1.85,76149075033.49959,79882328367.44632
-1.0,-1.8,82240183173.79929,83107789648.4858
-1.0,-1.75,88883872248.68097,86375437368.96132
-1.0,-1.7,96130869359.22496,89659915474.16464
-1.0,-1.65,104035410839.29147,92928880477.9042
-1.0,-1.6,112655016480.09949,96141583540.52866
-1.0,-1.55,122050059633.88547,99247216892.76924
-1.0,-1.5,132283062938.51807,102183001714.51138
-1.0,-1.45,143417631055.9774,104871999871.8957
-1.0,-1.4,155516910162.87515,107220641838.33545
-1.0,-1.35,168641439098.0669,109115979684.17528
-1.0,-1.3,182846229711.48727,110422699830.42407
-1.0,-1.25,198176885572.5254,110979968614.463
-1.0,-1.2,214664541604.68427,110598238573.6456
-1.0,-1.15,232319387171.23682,109056219205.50693
-1.0,-1.1,251122529121.46194,106098317418.0794
-1.0,-1.05,271015970426.67935,101432983832.85582
-1.0,-1.0,291890539941.4833,94732563246.03136
-1.0,-0.95,313571730358.4096,85635438013.24756
-1.0,-0.9,335803610493.54297,73751460905.29633
-1.0,-0.85,358231303928.2162,58671875164.06024
-1.0,-0.8,380382996933.0505,39985071379.52377
-1.0,-0.75,401653072897.4929,17299566063.487793
-1.0,-0.7,421288762262.5598,-9724590323.24187
-1.0,-0.65,438383595006.6907,-41335279383.34359
-1.0,-0.6,451881824601.0132,-77638937112.76723
-1.0,-0.55,460598639135.1052,-118544172714.41313
-1.0,-0.5,463261059795.912,-163702392513.03955
-1.0,-0.45,458573534978.9819,-212452085953.04428
-1.0,-0.4,445309948515.278,-263776176297.9274
-1.0,-0.35,422429799712.5095,-316283987493.16235
-1.0,-0.3,389210780917.53546,-368229957724.5619
-1.0,-0.25,345383582395.7072,-417579179815.7507
-1.0,-0.2,291248932195.54785,-462124406031.9
-1.0,-0.15,227753649609.68997,-499650365591.3039
-1.0,-0.1,156503920408.73718,-528130398923.71606
-1.0,-0.05,79701334807.0523,-545930113168.9501
-0.95,-2.0,60576332619.74705,75190323452.3429
-0.95,-1.95,65396500251.37984,78605492364.06613
-0.95,-1.9,70666074351.04134,82149041093.09566
-0.95,-1.85,76430482275.23097,85813869350.06934
-0.95,-1.8,82739565133.3079,89589185076.57108
