x,y,vertical,horizontal
-1.0,-2.0,77720505938.06572,69661348575.18863
-1.0,-1.9,87971185542.15913,74877140806.511
-1.0,-1.8,100003843872.42029,80312535871.14375
-1.0,-1.7,114167091818.71896,85829317424.90808
-1.0,-1.6,130865293509.74745,91197317917.29161
-1.0,-1.5,150553264350.70038,96052325735.18613
-1.0,-1.4,173717267768.803,99838995541.45662
-1.0,-1.3,200831840267.62512,101736528243.52435
-1.0,-1.2,232276478015.68817,100567947387.62338
-1.0,-1.1,268189634287.8632,94701246043.86595
-1.0,-1.0,308231951360.5712,81965830852.26653
-1.0,-0.9,351232026720.4783,59634517606.65786
-1.0,-0.8,394708650167.5214,24561771974.536957
-1.0,-0.7,434324007048.2729,-26384574959.781788
-1.0,-0.6,463446194941.53125,-95439542458.92912
-1.0,-0.5,473186591396.64966,-182521557021.71097
-1.0,-0.4,453446515837.5961,-283467303725.5439
-1.0,-0.3,395431166944.6995,-388624472375.135
-1.0,-0.2,295453338093.8381,-483035353174.3475
-1.0,-0.1,158623636531.74048,-549356964029.79834
-0.9,-2.0,78582399819.88373,79378918045.63622
-0.9,-1.9,89416943328.73483,86329950166.06865
-0.9,-1.8,102290417681.46219,93866892469.09668
-0.9,-1.7,117660305404.8454,101925375131.97234
-0.9,-1.6,136084304334.66904,110354842684.89853
-0.9,-1.5,158231252295.8288,118868191551.1452
-0.9,-1.4,184882094929.24655,126967702265.84076
-0.9,-1.3,216908756154.19403,133839061233.42514
-0.9,-1.2,255209621336.7782,138205573438.34317
-0.9,-1.1,300566473808.6602,138139598209.23346
-0.9,-1.0,353369200784.9291,130843720708.74326
-0.9,-0.9,413135934595.99304,112450437302.53297
-0.9,-0.8,477753450304.50464,77960223857.90736
-0.9,-0.7,542414305155.6514,21553473615.26369
-0.9,-0.6,598404218728.5554,-62350309276.70593
-0.9,-0.5,632277499201.0607,-176865750329.3786
-0.9,-0.4,626527196080.3444,-319141220123.34796
-0.9,-0.3,563222011389.857,-476506449405.4335
-0.9,-0.2,431291289323.51483,-624857145253.8907
-0.9,-0.1,235309857127.38458,-732774288871.768
-0.8,-2.0,78439255028.24837,89488034190.34479
-0.8,-1.9,89646900626.4806,98371311177.3982
-0.8,-1.8,103111274045.92226,108297764934.26294
-0.8,-1.7,119399353410.41847,119317592714.83691
-0.8,-1.6,139231016447.932,131417776009.99657
-0.8,-1.5,163514005818.76218,144469485084.23932
-0.8,-1.4,193378326109.2367,158143675331.07385
-0.8,-1.3,230199502611.84604,171778672132.4093
-0.8,-1.2,275588222455.6102,184178022894.49872
-0.8,-1.1,331302291646.79895,193313361141.98605
-0.8,-1.0,399000439026.8139,195912663874.43027
-0.8,-0.9,479702747909.6049,186945915213.85568
-0.8,-0.8,572757413476.2407,159111451406.39035
-0.8,-0.7,674083662860.4938,102630840130.9737
-0.8,-0.6,773599660016.0972,6026423268.449928
-0.8,-0.5,852325931312.8345,-140988913781.73605
-0.8,-0.4,881001115215.7593,-341309771340.6299
-0.8,-0.3,823921399259.1665,-581211516369.9391
-0.8,-0.2,652008934847.2444,-822654042768.0271
-0.8,-0.1,363640124987.8346,-1006823459782.1056
-0.7,-2.0,77162602035.88708,99770653609.5829
-0.7,-1.9,88470134720.62909,110733334782.6949
-0.7,-1.8,102183805292.78853,123280367491.52773
-0.7,-1.7,118967649958.55544,137620788963.71075
-0.7,-1.6,139694376633.40137,153945921214.17816
-0.7,-1.5,165511076917.18835,172385276614.6054
-0.7,-1.4,197920442916.5702,192926589355.36502
-0.7,-1.3,238873918359.0375,215275680847.2091
-0.7,-1.2,290862044411.1187,238617692703.93335
-0.7,-1.1,356962311041.14856,261221864418.83817
-0.7,-1.0,440753106071.56604,279811175406.9443
-0.7,-0.9,545903027561.13153,288612215897.24963
-0.7,-0.8,675073547314.4214,278058590376.89716
-0.7,-0.7,827532208212.673,233361339706.37137
-0.7,-0.6,994697291761.6659,133807987419.45628
-0.7,-0.5,1153240764613.9392,-45034248430.580154
-0.7,-0.4,1257589011680.8027,-322324835311.8444
-0.7,-0.3,1239109882293.2656,-692549836969.0398
-0.7,-0.2,1025736001262.9037,-1100258943459.586
-0.7,-0.1,590097594955.6077,-1432619211473.3943
-0.6,-2.0,74665923406.46184,109961009446.33212
-0.6,-1.9,85745748680.88141,123075963751.65088
-0.6,-1.8,99282412606.77454,138381197317.28357
-0.6,-1.7,116008324351.79575,156286725341.7356
-0.6,-1.6,136915049946.2575,177255965228.51276
-0.6,-1.5,163352665919.2313,201785329908.41888
-0.6,-1.4,197166478619.19266,230352376929.09366
-0.6,-1.3,240881196957.98236,263303853501.072
-0.6,-1.2,297938662152.3193,300631853320.6116
-0.6,-1.1,372978409142.7646,341546634505.69507
-0.6,-1.0,472101411736.01025,383690615930.6495
-0.6,-0.9,602934399882.8864,421747342638.92926
-0.6,-0.8,774032350739.2369,445111291441.8918
-0.6,-0.7,992586663290.706,434340251108.9528
-0.6,-0.6,1258441947951.0168,356757831549.5593
-0.6,-0.5,1551444209370.3752,163873134674.6778
-0.6,-0.4,1810450056051.6301,-201218577001.85742
-0.6,-0.3,1912472543971.6282,-770818294359.0659
-0.6,-0.2,1686505379982.6638,-1483859974879.1902
-0.6,-0.1,1015337469515.3672,-2123975237692.5623
-0.5,-2.0,70921713696.55817,119757240982.62602
-0.5,-1.9,81408947692.36716,135000249247.87549
-0.5,-1.8,94278232111.22719,153071659469.8574
-0.5,-1.7,110284439672.15936,174614743330.0937
-0.5,-1.6,130475945915.22919,200421688502.5132
-0.5,-1.5,156323786192.63913,231454444299.78146
-0.5,-1.4,189912003339.2075,268851128708.12006
-0.5,-1.3,234218233143.70078,313893662176.94226
-0.5,-1.2,293524452316.8354,367885192538.09674
-0.5,-1.1,374006196459.24536,431831220488.01013
-0.5,-1.0,484538638967.68353,505710294390.2692
-0.5,-0.9,637681937491.368,586914313620.4319
-0.5,-0.8,850535439264.5249,667075494998.357
-0.5,-0.7,1144354762715.0266,725967597767.763
-0.5,-0.6,1539807794708.5393,720824737581.3868
-0.5,-0.5,2040483554938.5696,571043407633.7914
-0.5,-0.4,2591462931025.092,147576996643.88535
-0.5,-0.3,3004601450648.973,-695714702540.7574
-0.5,-0.2,2901518024481.576,-1973064949337.9858
