x,y,vertical,horizontal
-1.0,-2.0,-1.80038485534e-09,-3.16816689014e-09
-1.0,-1.9,-2.18910424657e-09,-3.48751887501e-09
-1.0,-1.8,-2.65790515157e-09,-3.83046341843e-09
-1.0,-1.7,-3.22330525102e-09,-4.19373068619e-09
-1.0,-1.6,-3.90497504445e-09,-4.5709841613e-09
-1.0,-1.5,-4.726051962e-09,-4.95129192565e-09
-1.0,-1.4,-5.71322300411e-09,-5.31693037179e-09
-1.0,-1.3,-6.89630299222e-09,-5.64026618816e-09
-1.0,-1.2,-8.30682102931e-09,-5.87940595254e-09
-1.0,-1.1,-9.97476763074e-09,-5.97228894331e-09
-1.0,-1.0,-1.19220695722e-08,-5.82902547458e-09
-1.0,-0.9,-1.41504609169e-08,-5.32277759104e-09
-1.0,-0.8,-1.66201957157e-08,-4.28083525218e-09
-1.0,-0.7,-1.92148651805e-08,-2.48073604412e-09
-1.0,-0.6,-2.1688036614e-08,3.37082910786e-10
-1.0,-0.5,-2.35943115134e-08,4.41707174709e-09
-1.0,-0.4,-2.42314024579e-08,9.86067246285e-09
-1.0,-0.3,-2.2674250413e-08,1.63941967316e-08
-1.0,-0.2,-1.80487102337e-08,2.30912584119e-08
-1.0,-0.1,-1.01357413094e-08,2.83218144349e-08
-0.9,-2.0,-1.69139930426e-09,-3.52515347192e-09
-0.9,-1.9,-2.08893516048e-09,-3.92090308305e-09
-0.9,-1.8,-2.57504509763e-09,-4.35693609729e-09
-0.9,-1.7,-3.17009046134e-09,-4.83360216201e-09
-0.9,-1.6,-3.89918373455e-09,-5.34882354444e-09
-0.9,-1.5,-4.79316182108e-09,-5.8965275653e-09
-0.9,-1.4,-5.88958870555e-09,-6.46424470399e-09
-0.9,-1.3,-7.23359664042e-09,-7.02945514721e-09
-0.9,-1.2,-8.87815517345e-09,-7.55407805995e-09
-0.9,-1.1,-1.08829368156e-08,-7.97625464087e-09
-0.9,-1.0,-1.33101562877e-08,-8.19831594946e-09
-0.9,-0.9,-1.62142953275e-08,-8.06971048209e-09
-0.9,-0.8,-1.9619997381e-08,-7.36420287508e-09
-0.9,-0.7,-2.34780140859e-08,-5.75326687463e-09
-0.9,-0.6,-2.75829175605e-08,-2.78590144188e-09
-0.9,-0.5,-3.14323680238e-08,2.09295422372e-09
-0.9,-0.4,-3.40251880382e-08,9.405676371e-09
-0.9,-0.3,-3.36920766221e-08,1.92406855605e-08
-0.9,-0.2,-2.83162536789e-08,3.04817744414e-08
-0.9,-0.1,-1.65691240267e-08,4.00995340202e-08
-0.8,-2.0,-1.53002372073e-09,-3.88294020426e-09
-0.8,-1.9,-1.92557632402e-09,-4.36113528584e-09
-0.8,-1.8,-2.41603913806e-09,-4.89938782445e-09
-0.8,-1.7,-3.02531418672e-09,-5.50303634133e-09
-0.8,-1.6,-3.78373697891e-09,-6.1762395228e-09
-0.8,-1.5,-4.7298516344e-09,-6.92064214537e-09
-0.8,-1.4,-5.91260628626e-09,-7.73315591957e-09
-0.8,-1.3,-7.39396643837e-09,-8.60231205442e-09
-0.8,-1.2,-9.25180387156e-09,-9.50231336806e-09
-0.8,-1.1,-1.15825892754e-08,-1.03833901405e-08
-0.8,-1.0,-1.45026804914e-08,-1.11562458371e-08
-0.8,-0.9,-1.81453861392e-08,-1.16671588822e-08
-0.8,-0.8,-2.26474796418e-08,-1.16587037666e-08
-0.8,-0.7,-2.81112691518e-08,-1.07097765951e-08
-0.8,-0.6,-3.45123877825e-08,-8.15111885572e-09
-0.8,-0.5,-4.14927282532e-08,-2.97191425018e-09
-0.8,-0.4,-4.79349825035e-08,6.18882506434e-09
-0.8,-0.3,-5.12408758549e-08,2.06357013394e-08
-0.8,-0.2,-4.67277843142e-08,4.00283048358e-08
-0.8,-0.1,-2.92773237637e-08,5.92318262247e-08
-0.7,-2.0,-1.31177577089e-09,-4.23075786611e-09
-0.7,-1.9,-1.69233058849e-09,-4.79504419704e-09
-0.7,-1.8,-2.17100026478e-09,-5.44175108294e-09
-0.7,-1.7,-2.77448653273e-09,-6.18253505411e-09
-0.7,-1.6,-3.53748737001e-09,-7.02979258041e-09
-0.7,-1.5,-4.50532192983e-09,-7.9959120266e-09
-0.7,-1.4,-5.73745688444e-09,-9.09178103421e-09
-0.7,-1.3,-7.3122181165e-09,-1.03239846303e-08
-0.7,-1.2,-9.33300976437e-09,-1.16897128097e-08
-0.7,-1.1,-1.19363251309e-08,-1.31676602919e-08
-0.7,-1.0,-1.5301570506e-08,-1.4701881371e-08
-0.7,-0.9,-1.96618425778e-08,-1.6173157503e-08
-0.7,-0.8,-2.53122633549e-08,-1.73479937518e-08
-0.7,-0.7,-3.260542282e-08,-1.77871830227e-08
-0.7,-0.6,-4.19037774932e-08,-1.66816587194e-08
-0.7,-0.5,-5.34031631545e-08,-1.25645676941e-08
-0.7,-0.4,-6.65870508942e-08,-2.86038752467e-09
-0.7,-0.3,-7.8701129774e-08,1.64998190747e-08
-0.7,-0.2,-8.13129588017e-08,4.96632676025e-08
-0.7,-0.1,-5.76772148777e-08,9.17944528351e-08
-0.6,-2.0,-1.03404634477e-09,-4.556177179e-09
-0.6,-1.9,-1.38479728204e-09,-5.20701880239e-09
-0.6,-1.8,-1.83282839917e-09,-5.96436967269e-09
-0.6,-1.7,-2.40643925029e-09,-6.84730946258e-09
-0.6,-1.6,-3.14312180908e-09,-7.87821847033e-09
-0.6,-1.5,-4.09294329257e-09,-9.0829982932e-09
-0.6,-1.4,-5.32331892511e-09,-1.04909300309e-08
-0.6,-1.3,-6.9257920131e-09,-1.21337467439e-08
-0.6,-1.2,-9.02572306246e-09,-1.40431119186e-08
