x,y,vertical,horizontal
-1.0,-2.0,8.72797936649e-10,-2.85315178018e-09
-1.0,-1.9,8.38018746581e-10,-3.31497401792e-09
-1.0,-1.8,7.62194104609e-10,-3.8612904294e-09
-1.0,-1.7,6.27680340991e-10,-4.5067921197e-09
-1.0,-1.6,4.10391411475e-10,-5.2672067037e-09
-1.0,-1.5,7.78802721661e-11,-6.15811428808e-09
-1.0,-1.4,-4.12772619553e-10,-7.19272727757e-09
-1.0,-1.3,-1.11689901102e-09,-8.37812823773e-09
-1.0,-1.2,-2.10324697847e-09,-9.70941474229e-09
-1.0,-1.1,-3.45269959669e-09,-1.11613783379e-08
-1.0,-1.0,-5.25268224181e-09,-1.26779922427e-08
-1.0,-0.9,-7.58482614401e-09,-1.41613726629e-08
-1.0,-0.8,-1.05040618917e-08,-1.54640524936e-08
-1.0,-0.7,-1.40098984143e-08,-1.63906761546e-08
-1.0,-0.6,-1.8015563165e-08,-1.67157633597e-08
-1.0,-0.5,-2.23263053309e-08,-1.6220606496e-08
-1.0,-0.4,-2.66403294475e-08,-1.4744019606e-08
-1.0,-0.3,-3.05803644974e-08,-1.22322785004e-08
-1.0,-0.2,-3.37516152252e-08,-8.77017669083e-09
-1.0,-0.1,-3.58102721814e-08,-4.58158904794e-09
-0.9,-2.0,1.17274220384e-09,-2.84821331899e-09
-0.9,-1.9,1.19116845184e-09,-3.34018710544e-09
-0.9,-1.8,1.17700317833e-09,-3.93155537077e-09
-0.9,-1.7,1.11259344566e-09,-4.64306001343e-09
-0.9,-1.6,9.72609400428e-10,-5.49863249657e-09
-0.9,-1.5,7.21117131904e-10,-6.52471742793e-09
-0.9,-1.4,3.07896361314e-10,-7.74840860591e-09
-0.9,-1.3,-3.35791022992e-10,-9.19354910161e-09
-0.9,-1.2,-1.30124133325e-09,-1.08736265982e-08
-0.9,-1.1,-2.7044310098e-09,-1.27801456145e-08
-0.9,-1.0,-4.68297869012e-09,-1.48656296145e-08
-0.9,-0.9,-7.38299451349e-09,-1.70222623796e-08
-0.9,-0.8,-1.09302177871e-08,-1.90611995687e-08
-0.9,-0.7,-1.53827748059e-08,-2.07034510525e-08
-0.9,-0.6,-2.0671980908e-08,-2.15976795384e-08
-0.9,-0.5,-2.65516065848e-08,-2.13765940903e-08
-0.9,-0.4,-3.25855924816e-08,-1.97467684833e-08
-0.9,-0.3,-3.81957959945e-08,-1.65830989181e-08
-0.9,-0.2,-4.27630794575e-08,-1.19881620194e-08
-0.9,-0.1,-4.57468280198e-08,-6.29224978841e-09
-0.8,-2.0,1.49424119121e-09,-2.78953979198e-09
-0.8,-1.9,1.57672808359e-09,-3.30155747641e-09
-0.8,-1.8,1.6396297849e-09,-3.92678054718e-09
-0.8,-1.7,1.66700984458e-09,-4.69266745564e-09
-0.8,-1.6,1.63450738217e-09,-5.63281144268e-09
-0.8,-1.5,1.50534598351e-09,-6.78733499176e-09
-0.8,-1.4,1.22475806695e-09,-8.20222281243e-09
-0.8,-1.3,7.12585948752e-10,-9.92641191859e-09
-0.8,-1.2,-1.45668773239e-10,-1.20046667569e-08
-0.8,-1.1,-1.50776762659e-09,-1.44633335503e-08
