x,y,vertical,horizontal
-1.0,-2.0,17963697765.94937,-48343350283.46135
-1.0,-1.9,18432182258.159176,-57312371213.50999
-1.0,-1.8,18296879841.326023,-68131302338.811516
-1.0,-1.7,17236433391.67478,-81173149446.83437
-1.0,-1.6,14799454209.974468,-96867094199.3603
-1.0,-1.5,10358013317.311531,-115691124516.24356
-1.0,-1.4,3048311334.7363806,-138149804548.419
-1.0,-1.3,-8301178547.502963,-164726370822.4512
-1.0,-1.2,-25249099986.670517,-195793017467.4999
-1.0,-1.1,-49813450373.738716,-231457283680.75876
-1.0,-1.0,-84504314959.51906,-271318515490.77505
-1.0,-0.9,-132256445678.9298,-314112934171.78046
-1.0,-0.8,-196163375839.95892,-357251551294.08954
-1.0,-0.7,-278881109135.93353,-396320979142.6592
-1.0,-0.6,-381577775548.1263,-424739624994.5046
-1.0,-0.5,-502426193418.899,-433926542606.51025
-1.0,-0.4,-634944614342.1395,-414451699457.8778
-1.0,-0.3,-766965591320.3425,-358485726135.1675
-1.0,-0.2,-881375159843.854,-263233349738.44193
-1.0,-0.1,-959463153199.0709,-134012321370.96754
-0.9,-2.0,23551670913.843086,-47131981049.178
-0.9,-1.9,25195873167.189404,-56478627275.69923
-0.9,-1.8,26461043342.912918,-67932447830.90643
-0.9,-1.7,27050634441.40703,-81981492147.58209
-0.9,-1.6,26526025440.422913,-99216038122.9933
-0.9,-1.5,24245629406.27225,-120337344183.73473
-0.9,-1.4,19280835908.08234,-146154778534.0333
-0.9,-1.3,10303246900.445856,-177558314174.36282
-0.9,-1.2,-4559547264.256285,-215444023595.50827
-0.9,-1.1,-27893380386.190094,-260556518876.06808
-0.9,-1.0,-63164258738.7757,-313195166302.9156
-0.9,-0.9,-114810869957.12772,-372716613317.7393
-0.9,-0.8,-188115294706.64627,-436773284590.7831
-0.9,-0.7,-288597613555.63776,-500296439302.702
-0.9,-0.6,-420586666511.87305,-554427409969.4802
-0.9,-0.5,-584675985920.2567,-585973618975.9135
-0.9,-0.4,-774231278641.2874,-578431677799.5149
-0.9,-0.3,-972178945734.7043,-515751815310.534
-0.9,-0.2,-1150635270973.097,-389033847980.4001
-0.9,-0.1,-1276132013747.0642,-203852420067.42438
-0.8,-2.0,29368624767.676228,-44770898406.84491
-0.8,-1.9,32370779191.931652,-54249627328.77389
-0.8,-1.8,35302530007.18652,-66050839234.64684
-0.8,-1.7,37926690280.79421,-80779612080.02228
-0.8,-1.6,39864831470.201744,-99198579160.91798
-0.8,-1.5,40525299122.10947,-122261166847.50359
-0.8,-1.4,38996645727.142456,-151142296263.9327
-0.8,-1.3,33892135715.86826,-187254506226.78625
-0.8,-1.2,23128450158.801456,-232224641722.14133
-0.8,-1.1,3624079909.430417,-287783596713.27954
-0.8,-1.0,-29080646415.600365,-355484774695.3332
-0.8,-0.9,-81230415242.5854,-436115048472.1205
-0.8,-0.8,-161121605301.97205,-528609612937.761
-0.8,-0.7,-278839150992.1556,-628286694083.7954
-0.8,-0.6,-444740091317.16425,-724423301841.445
-0.8,-0.5,-665681373903.5416,-797843542193.2677
-0.8,-0.4,-938328165303.2457,-820453565859.5354
-0.8,-0.3,-1240813498633.9863,-759992525225.8156
-0.8,-0.2,-1527891366421.1282,-592583571174.6376
-0.8,-0.1,-1737715144756.5217,-320200652702.1101
-0.7,-2.0,35215717841.71413,-41127254685.51464
