x,y,vertical,horizontal
-1.0,-2.0,2.77279504732e-10,-3.60341336844e-09
-1.0,-1.9,1.79092056899e-10,-4.08237687487e-09
-1.0,-1.8,3.59085534564e-11,-4.64264524818e-09
-1.0,-1.7,-1.69706450515e-10,-5.29829935262e-09
-1.0,-1.6,-4.61523409788e-10,-6.06443391279e-09
-1.0,-1.5,-8.71554888707e-10,-6.95598844896e-09
-1.0,-1.4,-1.44215794256e-09,-7.9855456218e-09
-1.0,-1.3,-2.22796820581e-09,-9.1595910345e-09
-1.0,-1.2,-3.29690302796e-09,-1.04726829385e-08
-1.0,-1.1,-4.72888485943e-09,-1.18991581574e-08
-1.0,-1.0,-6.61025988345e-09,-1.33826476742e-08
-1.0,-0.9,-9.02148012504e-09,-1.48250652671e-08
-1.0,-0.8,-1.20162229337e-08,-1.60789061889e-08
-1.0,-0.7,-1.55927030322e-08,-1.69489627201e-08
-1.0,-0.6,-1.96628519126e-08,-1.72101024669e-08
-1.0,-0.5,-2.40306648471e-08,-1.66441723343e-08
-1.0,-0.4,-2.83931807489e-08,-1.50907448064e-08
-1.0,-0.3,-3.23720973726e-08,-1.24970452623e-08
-1.0,-0.2,-3.55717657313e-08,-8.94898493365e-09
-1.0,-0.1,-3.7647737371e-08,-4.67169212246e-09
-0.9,-2.0,5.59426321805e-10,-3.66260969126e-09
-0.9,-1.9,5.08493015061e-10,-4.17612680131e-09
-0.9,-1.8,4.20218647495e-10,-4.78570550357e-09
-0.9,-1.7,2.77133103038e-10,-5.51136853252e-09
-0.9,-1.6,5.42149619569e-11,-6.37629099492e-09
-0.9,-1.5,-2.84019553839e-10,-7.40614077867e-09
-0.9,-1.4,-7.87185302007e-10,-8.62723621236e-09
-0.9,-1.3,-1.52325003338e-09,-1.00626724691e-08
-0.9,-1.2,-2.58257059046e-09,-1.17252474752e-08
-0.9,-1.1,-4.08001767692e-09,-1.36058680326e-08
-0.9,-1.0,-6.1519491422e-09,-1.5656587746e-08
-0.9,-0.9,-8.94307989249e-09,-1.77692842304e-08
-0.9,-0.8,-1.2577650039e-08,-1.97550042107e-08
-0.9,-0.7,-1.71122228576e-08,-2.1334874504e-08
-0.9,-0.6,-2.24765355951e-08,-2.21579217346e-08
-0.9,-0.5,-2.842282101e-08,-2.18574769058e-08
-0.9,-0.4,-3.45135817175e-08,-2.01409927575e-08
-0.9,-0.3,-4.01693965918e-08,-1.68844871783e-08
-0.9,-0.2,-4.47700653476e-08,-1.21918733115e-08
-0.9,-0.1,-4.77741754489e-08,-6.39495385453e-09
-0.8,-2.0,8.64702799937e-10,-3.67384536311e-09
-0.8,-1.9,8.71390455093e-10,-4.21265718346e-09
-0.8,-1.8,8.52796811547e-10,-4.86123971525e-09
-0.8,-1.7,7.93125082272e-10,-5.64620654478e-09
-0.8,-1.6,6.68300059982e-10,-6.60024915216e-09
-0.8,-1.5,4.41999125864e-10,-7.7625499126e-09
-0.8,-1.4,6.00963198744e-11,-9.17813995858e-09
-0.8,-1.3,-5.56721182051e-10,-1.08950205931e-08
-0.8,-1.2,-1.5218946582e-09,-1.29570758422e-08
-0.8,-1.1,-2.99191576473e-09,-1.53898693343e-08
-0.8,-1.0,-5.17098597052e-09,-1.8175911493e-08
-0.8,-0.9,-8.30287032624e-09,-2.12174068552e-08
-0.8,-0.8,-1.26367695987e-08,-2.42904994204e-08
-0.8,-0.7,-1.83541259596e-08,-2.700788252e-08
-0.8,-0.6,-2.54572660217e-08,-2.88227927112e-08
-0.8,-0.5,-3.36537111583e-08,-2.91107177893e-08
-0.8,-0.4,-4.23043613886e-08,-2.73333095251e-08
-0.8,-0.3,-5.04965603093e-08,-2.32265822858e-08
-0.8,-0.2,-5.72334466499e-08,-1.69178172359e-08
-0.8,-0.1,-6.16537897752e-08,-8.91543654895e-09
-0.7,-2.0,1.18537873266e-09,-3.62903953577e-09
-0.7,-1.9,1.25884741595e-09,-4.18008598431e-09
-0.7,-1.8,1.32379927461e-09,-4.85188684515e-09
-0.7,-1.7,1.36835777239e-09,-5.67765542131e-09
-0.7,-1.6,1.37258151793e-09,-6.70026943986e-09
-0.7,-1.5,1.30366668179e-09,-7.97444908986e-09
-0.7,-1.4,1.10856082258e-09,-9.56852173705e-09
-0.7,-1.3,7.02922163019e-10,-1.15644938789e-08
-0.7,-1.2,-4.45545666007e-11,-1.40537790739e-08
-0.7,-1.1,-1.33235706211e-09,-1.71236617362e-08
-0.7,-1.0,-3.44736804278e-09,-2.0826593496e-08
-0.7,-0.9,-6.77550071258e-09,-2.51225815094e-08
