x,y,vertical,horizontal
-1.0,-2.0,61954545003.24262,72461045798.24393
-1.0,-1.95,66804967137.531296,75625525176.63248
-1.0,-1.9,72097395104.51358,78893438018.82831
-1.0,-1.85,77874958772.7224,82255301220.14905
-1.0,-1.8,84184697535.8432,85697798949.89175
-1.0,-1.75,91077729858.97145,89202899320.98041
-1.0,-1.7,98609356059.62425,92746798317.74632
-1.0,-1.65,106839061129.45943,96298663230.25984
-1.0,-1.6,115830373690.9307,99819145772.01991
-1.0,-1.55,125650523681.71132,103258634060.93216
-1.0,-1.5,136369824559.76149,106555213505.03174
-1.0,-1.45,148060685238.2307,109632310480.83711
-1.0,-1.4,160796132220.0385,112396001103.288
-1.0,-1.35,174647693397.7871,114731982523.60674
-1.0,-1.3,189682462106.0125,116502228934.95148
-1.0,-1.25,205959124507.8589,117541392536.02081
-1.0,-1.2,223522697893.694,117653065724.48352
-1.0,-1.15,242397696692.85217,116606100223.17737
-1.0,-1.1,262579424731.98727,114131287642.51329
-1.0,-1.05,284023098513.03375,109918849833.8277
-1.0,-1.0,306630554525.7146,103617370197.60776
-1.0,-0.95,330234407972.70776,94835018456.644
-1.0,-0.9,354579741956.4216,83144172561.11363
-1.0,-0.85,379303752240.1791,68090799643.61793
-1.0,-0.8,403914291912.04376,49210179254.34076
-1.0,-0.75,427768983828.32935,26050663004.503136
-1.0,-0.7,450057503700.5031,-1792944336.621897
-1.0,-0.65,469790740741.1489,-34635272658.69869
-1.0,-0.6,485801690385.40204,-72645445979.95065
-1.0,-0.55,496763879872.8966,-115782925281.173
-1.0,-0.5,501233483648.205,-163728233413.34427
-1.0,-0.45,497720531415.8589,-215815827292.8718
-1.0,-0.4,484792179153.9881,-270979828728.30374
-1.0,-0.35,461206471881.0328,-327726252702.0114
-1.0,-0.3,426068372568.92944,-384146589994.5175
-1.0,-0.25,378991816304.3374,-437985731494.00055
-1.0,-0.2,320243895496.23456,-486771164566.8543
-1.0,-0.15,250842561739.97028,-527999975817.1477
-1.0,-0.1,172580215965.98325,-559366883760.8928
-1.0,-0.05,87954084974.21977,-579003476436.0488
-0.95,-2.0,61814191812.198235,77161493211.06873
-0.95,-1.95,66789138779.83585,80761156446.39845
-0.95,-1.9,72235354556.33655,84508088790.20027
-0.95,-1.85,78201637616.66473,88397092372.2163
-0.95,-1.8,84741745596.08012,92419414115.42955
-0.95,-1.75,91914749863.59279,96561821948.35086
-0.95,-1.7,99785351380.91628,100805480603.17276
-0.95,-1.65,108424126645.39082,105124589339.04462
-0.95,-1.6,117907660733.78517,109484738994.52249
-0.95,-1.55,128318509114.2121,113840941265.68849
-0.95,-1.5,139744910116.78262,118135279752.31075
-0.95,-1.45,152280144793.11856,122294131237.78008
-0.95,-1.4,166021409358.09082,126224908551.33768
-0.95,-1.35,181068026592.78574,129812285649.5485
-0.95,-1.3,197518775914.61462,132913884710.40363
-0.95,-1.25,215468067411.84637,135355438823.99603
-0.95,-1.2,235000624434.81204,136925498648.10518
-0.95,-1.15,256184276018.38275,137369835348.57567
-0.95,-1.1,279060401751.67426,136385815260.84337
-0.95,-1.05,303631530415.052,133617195375.56862
-0.95,-1.0,329845590266.49255,128650024471.65538
-0.95,-0.95,357576374291.5951,121010641445.29153
-0.95,-0.9,386599962167.95306,110167141679.61638
-0.95,-0.85,416567190795.7574,95536120462.94026
-0.95,-0.8,446972858403.7334,76496958845.66055
-0.95,-0.75,477123259325.2921,52416308829.82789
-0.95,-0.7,506104938613.8759,22685618313.172913
-0.95,-0.65,532759238322.0973,-13225705700.83289
-0.95,-0.6,555669184705.7294,-55699856712.33556
-0.95,-0.55,573167261474.3174,-104883285359.47386
-0.95,-0.5,583374094731.7563,-160586187342.42337
-0.95,-0.45,584278207881.5266,-222177353443.93573
-0.95,-0.4,573864718224.4412,-288488794922.7294
-0.95,-0.35,550295076026.4916,-357750475977.4664
-0.95,-0.3,512130121115.29285,-427579539809.7276
-0.95,-0.25,458575464247.6288,-495048027653.4071
-0.95,-0.2,389713932408.3179,-556845709249.1014
-0.95,-0.15,306678959733.05817,-609539020380.871
-0.95,-0.1,211720844614.49725,-649904776569.8374
-0.95,-0.05,108129166318.54965,-675293472716.2578
-0.9,-2.0,61404150754.24483,81962018634.86755
-0.9,-1.95,66479162462.71306,86022759672.65193
-0.9,-1.9,72052917048.89388,90279827746.88806
-0.9,-1.85,78179943516.44714,94733313910.10072
-0.9,-1.8,84920866392.66196,99380217979.31755
-0.9,-1.75,92342978847.67221,104213515691.71878
-0.9,-1.7,100520815652.31548,109221001367.85559
-0.9,-1.65,109536699672.84097,114383858030.3089
-0.9,-1.6,119481223415.33372,119674898525.72978
-0.9,-1.55,130453610677.31712,125056412264.58138
-0.9,-1.5,142561881386.62927,130477543268.08083
-0.9,-1.45,155922713691.6463,135871117253.0753
-0.9,-1.4,170660859538.92477,141149830071.649
-0.9,-1.35,186907921369.2865,146201709438.69348
-0.9,-1.3,204800236191.78464,150884770303.3752
-0.9,-1.25,224475537481.08218,155020807007.92743
-0.9,-1.2,246067974342.99594,158388310469.6659
-0.9,-1.15,269700962432.85168,160714577004.08377
-0.9,-1.1,295477227059.6177,161667201716.34875
-0.9,-1.05,323465286801.44434,160845342230.58627
-0.9,-1.0,353681536634.45245,157771420022.2588
-0.9,-0.95,386067058551.72107,151884320407.27728
-0.9,-0.9,420458371054.98425,142535678689.54437
-0.9,-0.85,456551609602.5261,128991506835.75945
-0.9,-0.8,493860221764.4546,110442201430.2957
-0.9,-0.75,531667305535.9754,86024805192.98459
-0.9,-0.7,568975370944.7971,54862109118.1061
-0.9,-0.65,604458687830.2518,16123491378.181864
-0.9,-0.6,636426510314.5137,-30888155792.631203
-0.9,-0.55,662809116024.7461,-86621064815.07864
-0.9,-0.5,681182131458.6484,-151132597266.27243
-0.9,-0.45,688846823508.9313,-223929241072.3851
-0.9,-0.4,682983077244.4695,-303806724377.43695
-0.9,-0.35,660885407371.262,-388719414706.8179
-0.9,-0.3,620278649050.1715,-475717984209.70166
-0.9,-0.25,559688662824.8401,-560998346839.2767
-0.9,-0.2,478817428670.55255,-640097658721.1709
-0.9,-0.15,378848528365.37555,-708250638102.8829
-0.9,-0.1,262598863992.79208,-760882199970.8881
-0.9,-0.05,134445829574.29237,-794168404776.7079
-0.85,-2.0,60703762657.212776,86837221854.3586
-0.85,-1.95,65850363434.51873,91382796422.72923
-0.85,-1.9,71520641837.69627,96178945156.19969
-0.85,-1.85,77774784688.92766,101232115063.97153
-0.85,-1.8,84680276303.2686,106546340615.03307
-0.85,-1.75,92312721956.20522,112122342786.74475
-0.85,-1.7,100756720998.65317,117956385994.1844
-0.85,-1.65,110106771736.434,124038834720.83527
-0.85,-1.6,120468178571.34575,130352339344.22813
-0.85,-1.55,131957915509.00992,136869566503.84537
-0.85,-1.5,144705377326.71396,143550373594.44037
-0.85,-1.45,158852918345.3512,150338310157.88846
-0.85,-1.4,174556036199.3461,157156312269.4211
-0.85,-1.35,191983000991.35098,163901441605.5764
-0.85,-1.3,211313654938.14474,170438512341.01212
-0.85,-1.25,232737009868.9304,176592452123.99365
-0.85,-1.2,256447145632.0011,182139267037.10104
-0.85,-1.15,282636758562.57135,186795537948.58603
-0.85,-1.1,311487525443.8109,190206486148.57983
-0.85,-1.05,343156240453.1309,191932836210.30463
-0.85,-1.0,377755466657.1962,191437008813.83606
-0.85,-0.95,415327253844.0257,188069639607.81592
-0.85,-0.9,455808373199.94006,181058091526.03833
-0.85,-0.85,498985610345.8019,169499553901.8314
-0.85,-0.8,544440101471.99664,152362527566.9317
-0.85,-0.75,591480720293.1016,128501951302.17892
-0.85,-0.7,639068419514.6351,96694792383.1542
-0.85,-0.65,685736524578.709,55704275812.15222
-0.85,-0.6,729516532369.8162,4381455778.04202
-0.85,-0.55,767884993967.8491,-58188425427.91427
-0.85,-0.5,797754006436.09,-132491700539.00002
-0.85,-0.45,815534180500.8319,-218349953383.95908
-0.85,-0.4,817301821925.0363,-314661767262.8657
-0.85,-0.35,799097239092.2844,-419161991184.07697
-0.85,-0.3,757363834768.0248,-528258689771.0743
-0.85,-0.25,689504929398.4939,-637022638386.7058
-0.85,-0.2,594489302431.9237,-739401997870.2864
-0.85,-0.15,473388143425.3773,-828704898434.9409
-0.85,-0.1,329695541616.92975,-898331390224.6147
-0.85,-0.05,169295061161.83624,-942654556260.2815
-0.8,-2.0,59693938421.65441,91758029102.21034
-0.8,-1.95,64879645826.88599,96809342110.51404
-0.8,-1.9,70610623208.12225,102170497833.25897
-0.8,-1.85,76952485073.92159,107855406172.51797
-0.8,-1.8,83979382222.11201,113876483244.58081
-0.8,-1.75,91775103342.97534,120243833083.25092
-0.8,-1.7,100434287480.78467,126964179347.90062
-0.8,-1.65,110063741904.54163,134039479995.12181
-0.8,-1.6,120783850164.56058,141465141411.24997
-0.8,-1.55,132730040412.80254,149227728646.41403
-0.8,-1.5,146054262455.93158,157302044822.76035
-0.8,-1.45,160926390812.23947,165647425435.58353
-0.8,-1.4,177535426693.12637,174203062526.71274
-0.8,-1.35,196090309671.1676,182882140836.3458
-0.8,-1.3,216820063891.90433,191564535721.02942
-0.8,-1.25,239972886708.99976,200087795878.8344
-0.8,-1.2,265813630969.66522,208236121407.94522
-0.8,-1.15,294618926535.30035,215727063619.41153
-0.8,-1.1,326668923380.42664,222195739584.3964
