x,y,vertical,horizontal
-1.0,-2.0,79068456141.72913,71521063067.55193
-1.0,-1.9,89643522376.50603,77078369305.75638
-1.0,-1.8,102093821149.14091,82923887407.7813
-1.0,-1.7,116797641021.83208,88931467880.97224
-1.0,-1.6,134198584774.90172,94883034531.7553
-1.0,-1.5,154802868443.62924,100424523292.33476
-1.0,-1.4,179163025309.76413,105005131310.75279
-1.0,-1.3,207836823404.65372,107796636623.48694
-1.0,-1.2,241303859615.2256,107592264915.1547
-1.0,-1.1,279814237370.38855,102691870266.64764
-1.0,-1.0,323135936490.0516,90795902176.99445
-1.0,-0.9,370165986267.574,68959794349.864
-1.0,-0.8,418389094694.08026,33706724799.302555
-1.0,-0.7,463230623721.5726,-18545498941.188877
-1.0,-0.6,497490089819.35333,-90550379511.93463
-1.0,-0.5,511266743167.0288,-182662466131.48517
-1.0,-0.4,493017932078.51355,-290795392823.938
-1.0,-0.3,432357469967.65076,-404673212595.6867
-1.0,-0.2,324495002851.27045,-507819915472.21545
-1.0,-0.1,174723556376.4961,-580734759710.6432
-0.9,-2.0,79983945628.40495,81536532562.91508
-0.9,-1.9,91172254773.68513,88916440822.64682
-0.9,-1.8,104508446847.83113,96979900395.17694
-0.9,-1.7,120488197621.81075,105684789867.39276
-0.9,-1.6,139721631617.85516,114906217527.54166
-0.9,-1.5,162949368424.9813,124384951692.91736
-0.9,-1.4,191049952016.85577,133650168479.9957
-0.9,-1.3,225026200187.91183,141906649766.2295
-0.9,-1.2,265947832024.9304,147875845826.26666
-0.9,-1.1,314811640579.7471,149583849699.7323
-0.9,-1.0,372257645192.3096,144103740605.23
-0.9,-0.9,438053620849.9882,127296800597.66214
-0.9,-0.8,510247166922.425,93674745702.22395
-0.9,-0.7,583927349069.8907,36640313835.69523
-0.9,-0.6,649724014358.3094,-50457355493.130455
-0.9,-0.5,692619617862.7178,-171909743229.34875
-0.9,-0.4,692375878434.0138,-325621409603.35504
-0.9,-0.3,627469606680.4116,-498371885863.60547
-0.9,-0.2,483682842001.28296,-663368983604.1459
-0.9,-0.1,265053362137.09048,-784531383496.325
-0.8,-2.0,79869890698.40977,91964263259.18385
-0.8,-1.9,91453879790.96042,101375742951.28528
-0.8,-1.8,105417876991.51984,111963974232.88202
-0.8,-1.7,122375938410.79454,123815628957.66315
-0.8,-1.6,143114823049.24188,136963356859.33546
-0.8,-1.5,168637605668.61838,151334110494.31967
-0.8,-1.4,200210244684.60098,166664077074.8511
-0.8,-1.3,239401411381.14645,182361850218.09912
-0.8,-1.2,288093312763.63257,197293974280.4477
-0.8,-1.1,348417371979.3966,209460126218.62396
-0.8,-1.0,422526269112.3411,215525869246.05295
-0.8,-0.9,512045691950.8038,210206919192.44855
-0.8,-0.8,616957845495.4037,185589022741.97607
-0.8,-0.7,733597011769.2849,130691177762.1914
-0.8,-0.6,851535057084.0636,32019582283.401936
-0.8,-0.5,949751857742.3141,-123511329658.16772
-0.8,-0.4,994129744290.2008,-341590222095.2181
-0.8,-0.3,940949568926.0088,-609210200460.9648
-0.8,-0.2,752229501434.6373,-884033146290.274
-0.8,-0.1,422441063663.9501,-1096781717355.9158
-0.7,-2.0,78591955983.40096,102578801499.51695
-0.7,-1.9,90288318155.22656,114178865444.98965
-0.7,-1.8,104525214272.5106,127539423469.49821
-0.7,-1.7,122022004393.19263,142924658518.5867
-0.7,-1.6,143732496098.47903,160599040556.792
-0.7,-1.5,170923694514.943,180788367203.65326
-0.7,-1.4,205276857035.68555,203605131821.2351
-0.7,-1.3,249010559550.37247,228912057781.05768
-0.7,-1.2,305015204335.0128,256080696939.653
-0.7,-1.1,376963255729.1311,283576879294.531
-0.7,-1.0,469303525861.7514,308272743144.6107
-0.7,-0.9,586932684397.6992,324359386294.10583
-0.7,-0.8,734121753815.4246,321763544631.39105
-0.7,-0.7,911931819988.7477,284190279194.91077
-0.7,-0.6,1112984432065.9053,187615930217.4962
-0.7,-0.5,1312632622466.0764,1686314475.2485693
-0.7,-0.4,1457959541794.3455,-300941873069.8969
-0.7,-0.3,1463226862025.3494,-721284384694.4208
-0.7,-0.2,1231192700292.9214,-1199569338082.2808
-0.7,-0.1,716484124697.5012,-1599094263535.5974
-0.6,-2.0,76058779037.18678,113104400500.31184
-0.6,-1.9,87526625897.59923,126972110690.17792
-0.6,-1.8,101591530162.864,143254241011.01883
-0.6,-1.7,119047473031.0254,162438917962.30276
-0.6,-1.6,140978865481.22534,185097871028.62723
-0.6,-1.5,168877675987.85748,211878118898.32413
-0.6,-1.4,204808899644.52737,243466462627.06836
-0.6,-1.3,251641511031.97125,280498383737.04364
-0.6,-1.2,313362354896.74744,323357570153.6746
-0.6,-1.1,395479600858.32263,371766180300.8303
-0.6,-1.0,505479618260.08057,423985509599.8743
-0.6,-0.9,653176564862.8331,475317522180.5749
-0.6,-0.8,850477516746.0591,515427538258.58606
-0.6,-0.7,1109365702832.1833,523913334884.3928
-0.6,-0.6,1435491491339.8384,464003876828.9241
-0.6,-0.5,1812744365397.4902,276676110016.28174
-0.6,-0.4,2174003914689.423,-115395334095.99893
-0.6,-0.3,2364483432421.6514,-771673573108.8838
