x,y,vertical,horizontal
-1.0,-2.0,-61954545003.24243,-72461045798.24376
-1.0,-1.9,-72097395104.51329,-78893438018.82826
-1.0,-1.8,-84184697535.84395,-85697798949.89203
-1.0,-1.7,-98609356059.62471,-92746798317.74625
-1.0,-1.6,-115830373690.93138,-99819145772.01926
-1.0,-1.5,-136369824559.76167,-106555213505.03185
-1.0,-1.4,-160796132220.03824,-112396001103.28836
-1.0,-1.3,-189682462106.01236,-116502228934.95107
-1.0,-1.2,-223522697893.69437,-117653065724.48338
-1.0,-1.1,-262579424731.98715,-114131287642.51282
-1.0,-1.0,-306630554525.71497,-103617370197.60782
-1.0,-0.9,-354579741956.4226,-83144172561.11282
-1.0,-0.8,-403914291912.04333,-49210179254.340614
-1.0,-0.7,-450057503700.5036,1792944336.6217678
-1.0,-0.6,-485801690385.4008,72645445979.9509
-1.0,-0.5,-501233483648.2054,163728233413.34296
-1.0,-0.4,-484792179153.98785,270979828728.30637
-1.0,-0.3,-426068372568.92883,384146589994.51825
-1.0,-0.2,-320243895496.2343,486771164566.8552
-1.0,-0.1,-172580215965.98334,559366883760.892
-0.9,-2.0,-61404150754.24452,-81962018634.86755
-0.9,-1.9,-72052917048.89517,-90279827746.88768
-0.9,-1.8,-84920866392.66217,-99380217979.3175
-0.9,-1.7,-100520815652.31541,-109221001367.85507
-0.9,-1.6,-119481223415.33418,-119674898525.73013
-0.9,-1.5,-142561881386.629,-130477543268.0807
-0.9,-1.4,-170660859538.92505,-141149830071.64957
-0.9,-1.3,-204800236191.784,-150884770303.3761
-0.9,-1.2,-246067974342.99588,-158388310469.66544
-0.9,-1.1,-295477227059.6186,-161667201716.3492
-0.9,-1.0,-353681536634.4513,-157771420022.2575
-0.9,-0.9,-420458371054.9845,-142535678689.545
-0.9,-0.8,-493860221764.4567,-110442201430.29684
-0.9,-0.7,-568975370944.7991,-54862109118.10555
-0.9,-0.6,-636426510314.5128,30888155792.631203
-0.9,-0.5,-681182131458.6453,151132597266.2722
-0.9,-0.4,-682983077244.4677,303806724377.437
-0.9,-0.3,-620278649050.1721,475717984209.6998
-0.9,-0.2,-478817428670.552,640097658721.1687
-0.9,-0.1,-262598863992.79224,760882199970.8853
-0.8,-2.0,-59693938421.654945,-91758029102.2104
-0.8,-1.9,-70610623208.12282,-102170497833.25916
-0.8,-1.8,-83979382222.11171,-113876483244.58044
-0.8,-1.7,-100434287480.78471,-126964179347.90039
-0.8,-1.6,-120783850164.56047,-141465141411.2505
-0.8,-1.5,-146054262455.93213,-157302044822.7606
-0.8,-1.4,-177535426693.12607,-174203062526.71326
-0.8,-1.3,-216820063891.9041,-191564535721.02945
-0.8,-1.2,-265813630969.6659,-208236121407.94492
-0.8,-1.1,-326668923380.42523,-222195739584.39618
-0.8,-1.0,-401556898623.26,-230082314864.3596
-0.8,-0.9,-492117125622.00183,-226580310394.89825
-0.8,-0.8,-598339987500.7622,-203740198634.89624
-0.8,-0.7,-716561028826.6635,-150542624050.91916
-0.8,-0.6,-836345458204.9913,-53453639838.65422
-0.8,-0.5,-936657894587.4248,100652663686.09067
-0.8,-0.4,-983356564505.7433,317503675571.9398
-0.8,-0.3,-932689636007.2079,584127681620.1807
-0.8,-0.2,-746634835000.3414,858216309917.4803
-0.8,-0.1,-419616842281.9221,1070514837702.6173
-0.7,-2.0,-56680888686.83019,-101602363448.2519
-0.7,-1.9,-67558262893.590744,-114265054905.02217
-0.7,-1.8,-81047106832.04813,-128825486894.09445
-0.7,-1.7,-97890026376.88312,-145551570819.73004
-0.7,-1.6,-119066526239.28697,-164708604218.91928
