x,y,vertical,horizontal
-1.0,-2.0,-44840633864.75619,-73401028528.93604
-1.0,-1.9,-54551267832.52079,-80708506731.90025
-1.0,-1.8,-66275573922.54629,-88471710492.00217
-1.0,-1.7,-80421071097.4171,-96562128754.52052
-1.0,-1.6,-97462162606.9605,-104755257012.28413
-1.0,-1.5,-117936780675.89384,-112685903717.72835
-1.0,-1.4,-142429239130.31265,-119786870895.82365
-1.0,-1.3,-171528100807.37064,-125207821246.41673
-1.0,-1.2,-205741536172.16293,-127713866533.8127
-1.0,-1.1,-245344612093.58566,-125570705018.37883
-1.0,-1.0,-290125172561.37805,-116438838218.22166
-1.0,-0.9,-338993497645.26965,-97328550772.36319
-1.0,-0.8,-389439489130.00684,-64713633709.37819
-1.0,-0.7,-436884383679.4341,-14959610267.945242
-1.0,-0.6,-474113290951.4495,54740512447.96694
-1.0,-0.5,-491200224129.3816,144794000695.20178
-1.0,-0.4,-476566426229.46234,251164264632.67148
-1.0,-0.3,-419779275170.2075,363619967393.3487
-1.0,-0.2,-315992788141.1984,465722413661.49365
-1.0,-0.1,-170436875555.4705,537999007811.1417
-0.9,-2.0,-42824355880.08433,-82387504706.81998
-0.9,-1.9,-52933579324.10385,-91643214671.12874
-0.9,-1.8,-65333285937.49356,-101780535563.45828
-0.9,-1.7,-80553433682.82014,-112757212868.31825
-0.9,-1.6,-99240815212.8128,-124443579523.91736
-0.9,-1.5,-122174394348.27649,-136570134843.24397
-0.9,-1.4,-150271767060.9946,-148649491663.3032
-0.9,-1.3,-184574272195.65646,-159862890840.5216
-0.9,-1.2,-226188116661.0613,-168900775113.06403
-0.9,-1.1,-276142813539.4897,-173750553732.9656
-0.9,-1.0,-335105428076.59406,-171439099439.28528
-0.9,-0.9,-402863121259.9807,-157774556781.4269
-0.9,-0.8,-477473276606.4864,-127209657158.36838
-0.9,-0.7,-554023392819.7054,-73083904400.51665
-0.9,-0.6,-623129006270.717,11318956092.132133
-0.9,-0.5,-669744645054.5759,130355451303.19577
-0.9,-0.4,-673590276054.9235,281992039151.5187
-0.9,-0.3,-613087691419.932,453064082555.79474
-0.9,-0.2,-473952015339.8216,616826333838.192
-0.9,-0.1,-260144365848.49384,737233016445.4491
-0.8,-2.0,-39517986144.89965,-91551794945.23685
-0.8,-1.9,-49767366625.28469,-102965252715.23279
-0.8,-1.8,-62540887452.70404,-115788992256.27957
-0.8,-1.7,-78492636550.77457,-130112729738.1381
-0.8,-1.6,-98452877279.87926,-145966925963.1639
-0.8,-1.5,-123470919243.24503,-163269979151.2013
-0.8,-1.4,-154860608701.65216,-181742047978.57446
-0.8,-1.3,-194238716402.66168,-200767221223.95987
-0.8,-1.2,-243533949175.6982,-219178268535.44257
-0.8,-1.1,-304920474781.45593,-234931352950.16937
-0.8,-1.0,-380587528134.1786,-244638760482.6664
-0.8,-0.9,-472188559293.1985,-242953701597.34735
-0.8,-0.8,-579722129506.1215,-221891374527.8163
-0.8,-0.7,-699525045884.0415,-170394070339.6464
-0.8,-0.6,-821155859325.9177,-74887697393.9068
-0.8,-0.5,-923563931432.5344,77793997714.01332
-0.8,-0.4,-972583384721.283,293417129048.6598
-0.8,-0.3,-924429703088.4064,559045162779.3956
-0.8,-0.2,-741040168566.049,832399473544.6833
-0.8,-0.1,-416792620899.89594,1044247958049.3182
-0.7,-2.0,-34769821390.26016,-100625925396.98656
-0.7,-1.9,-44828207631.95541,-114351244365.0544
-0.7,-1.8,-57568999391.5855,-130111550318.68988
-0.7,-1.7,-73758048360.5732,-148178483120.87216
-0.7,-1.6,-94400556380.09576,-168818167881.0465
-0.7,-1.5,-120819093579.67336,-192250768173.7919
-0.7,-1.4,-154753491592.86496,-218574340867.6564
-0.7,-1.3,-198482264122.67728,-247626933580.95892
-0.7,-1.2,-254954956411.73257,-278743954471.4564
-0.7,-1.1,-327899720730.3682,-310342758105.80365
-0.7,-1.0,-421814504324.12634,-339234348719.2661
-0.7,-0.9,-541635152279.349,-359536412350.87305
-0.7,-0.8,-691658385078.5857,-361091231701.51685
-0.7,-0.7,-872954145113.5292,-327510562089.03955
-0.7,-0.6,-1078133101535.0192,-234671746185.4344
-0.7,-0.5,-1282515582140.512,-52119961248.298096
-0.7,-0.4,-1433129247313.1748,247585638246.60654
-0.7,-0.3,-1444157914432.289,665550125384.4514
-0.7,-0.2,-1218261427721.1763,1142077621943.352
-0.7,-0.1,-709951627449.6377,1540523726126.0854
-0.6,-2.0,-28472408016.01406,-109284831237.41539
-0.6,-1.9,-37943141999.82812,-125393419166.29088
-0.6,-1.8,-50145233700.8761,-144237900603.61215
-0.6,-1.7,-65926290013.18774,-166319860911.10718
-0.6,-1.6,-86431109955.45879,-192218201842.6195
-0.6,-1.5,-113218161440.87463,-222578897917.0482
-0.6,-1.4,-148423857723.06494,-258077452402.51193
-0.6,-1.3,-194991681812.8568,-299325772620.4111
-0.6,-1.2,-256983546633.83115,-346669854248.996
-0.6,-1.1,-339979998711.0904,-399778594282.2216
-0.6,-1.0,-451533172730.44257,-456843638323.7853
-0.6,-0.9,-601511931527.3314,-513080978257.2511
-0.6,-0.8,-801862262793.862,-558054825054.0156
-0.6,-0.7,-1064585844131.5771,-571249190280.4955
-0.6,-0.6,-1395326859967.3555,-515770466666.82007
-0.6,-0.5,-1777940794623.006,-332469370936.92413
-0.6,-0.4,-2145243708784.1377,56103142254.558495
-0.6,-0.3,-2342355990181.5137,709524459589.0403
-0.6,-0.2,-2128394235936.751,1576855582055.516
-0.6,-0.1,-1309585483505.0286,2390502565415.5044
-0.5,-2.0,-20581461544.369045,-117157531993.71571
-0.5,-1.9,-29019088883.54451,-135612048607.23404
-0.5,-1.8,-40096961383.71969,-157545113961.79428
-0.5,-1.7,-54695551320.32082,-183725906296.1961
-0.5,-1.6,-74033070353.2946,-215111508459.36697
-0.5,-1.5,-99816067732.60863,-252887364318.9511
-0.5,-1.4,-134465878162.24896,-298504345969.48944
-0.5,-1.3,-181461603603.26727,-353693657706.3259
-0.5,-1.2,-245860866549.6847,-420415139164.85944
-0.5,-1.1,-335085537150.1666,-500638851285.373
-0.5,-1.0,-460080480608.9134,-595741057888.7855
-0.5,-0.9,-636926089333.3593,-705048291935.9543
-0.5,-0.8,-888768879540.6671,-822570552179.0251
-0.5,-0.7,-1247116080164.4927,-930078056042.021
-0.5,-0.6,-1749044806196.1548,-983474192533.7231
-0.5,-0.5,-2420439038055.9966,-889475784450.9716
-0.5,-0.4,-3222789389387.828,-478305435778.5587
-0.5,-0.3,-3933462324555.7603,483452503547.07635
-0.5,-0.2,-3999169831573.3066,2110633350881.1575
-0.5,-0.1,-2689347505436.25,3948957124836.4243
-0.4,-2.0,-11132405983.816822,-123846050392.23112
-0.4,-1.9,-18069102116.100605,-144479957536.2472
-0.4,-1.8,-27393225145.248993,-169328663309.58194
-0.4,-1.7,-39952831308.32237,-199446792150.23505
-0.4,-1.6,-56944477721.76263,-236207165107.18063
-0.4,-1.5,-80083724949.14604,-281410264598.6738
-0.4,-1.4,-111873648891.49684,-337431253614.27814
-0.4,-1.3,-156035555504.4898,-407411664524.6276
-0.4,-1.2,-218212248649.87985,-495493066238.15784
-0.4,-1.1,-307134755536.95465,-607056633795.9635
-0.4,-1.0,-436581158356.1299,-748835790497.3097
-0.4,-0.9,-628677034061.7754,-928506095155.8938
-0.4,-0.8,-919377346144.6455,-1152664762092.5645
-0.4,-0.7,-1367074148943.8574,-1420343702798.073
-0.4,-0.6,-2063886547838.4624,-1704900579997.2244
-0.4,-0.5,-3141077690953.3477,-1907937930146.3152
-0.4,-0.4,-4727805453890.223,-1756550697159.937
-0.4,-0.3,-6727007201250.518,-641053484093.7197
-0.4,-0.2,-8150262806812.881,2334323157572.871
-0.4,-0.1,-6420661168150.704,7007549026779.874
-0.3,-2.0,-251425158.64334747,-128951280290.67786
-0.3,-1.9,-5231433986.308484,-151458562204.30005
-0.3,-1.8,-12177659482.7941,-178852704074.39352
-0.3,-1.7,-21831002811.009167,-212463667330.11642
-0.3,-1.6,-35252321411.93827,-254074486800.61398
-0.3,-1.5,-53989279626.761795,-306109502477.4612
-0.3,-1.4,-80348023164.8578,-371913713055.9469
-0.3,-1.3,-117847250377.62375,-456171758471.7091
-0.3,-1.2,-171998486896.04248,-565540724105.6097
-0.3,-1.1,-251686802271.14304,-709605691344.2008
-0.3,-1.0,-371690088866.38654,-902300670685.1425
-0.3,-0.9,-557421634205.0239,-1163916922417.2646
-0.3,-0.8,-854129103163.7655,-1523533167503.6611
-0.3,-0.7,-1345171553455.8123,-2020366864311.198
-0.3,-0.6,-2188588517221.5957,-2697372566876.558
-0.3,-0.5,-3687296370098.2773,-3561666196194.027
-0.3,-0.4,-6397843001291.837,-4422483209786.878
-0.3,-0.3,-11126514849215.402,-4334500428825.633
-0.3,-0.2,-17721758327440.918,-204843575917.38928
-0.3,-0.1,-19063770709961.867,12878306535364.72
-0.2,-2.0,11841838841.370197,-132103446073.63516
-0.2,-1.9,9223566992.335407,-156042237490.90915
-0.2,-1.8,5216285279.416574,-185415518070.37402
-0.2,-1.7,-740377197.1372267,-221786267092.53195
-0.2,-1.6,-9456099978.698301,-267289864031.99136
-0.2,-1.5,-22124499138.46341,-324896615844.19904
-0.2,-1.4,-40547135336.56485,-398820553266.1614
-0.2,-1.3,-67518341162.243195,-495170841379.94794
-0.2,-1.2,-107509739277.0521,-623015793288.8256
-0.2,-1.1,-167935312210.22302,-796167346181.2649
-0.2,-1.0,-261590730448.78265,-1036258115969.908
-0.2,-0.9,-411585541435.05145,-1378198557197.349
-0.2,-0.8,-661862441683.7139,-1880107946654.9175
-0.2,-0.7,-1101017503702.0732,-2641689480003.961
-0.2,-0.6,-1919933996921.6448,-3837829840767.9985
-0.2,-0.5,-3561338256201.8857,-5773636554268.576
-0.2,-0.4,-7133427296260.498,-8926380449327.568
-0.2,-0.3,-15578085345347.879,-13600994716287.635
-0.2,-0.2,-36335748124188.734,-16464712767707.828
-0.2,-0.1,-74505156648545.22,11578102126230.635
-0.1,-2.0,24841783342.269527,-132993370014.86522
-0.1,-1.9,24902263352.26642,-157805202598.98935
-0.1,-1.8,24274628825.017815,-188421194126.48468
-0.1,-1.7,22638426920.09275,-226564671345.52744
-0.1,-1.6,19530265300.568054,-274614455077.72787
-0.1,-1.5,14267503896.186077,-335920790699.35114
-0.1,-1.4,5820428759.685769,-415309343454.41205
-0.1,-1.3,-7410079586.774044,-519908457653.7021
-0.1,-1.2,-27995343517.616734,-660550963400.2505
-0.1,-1.1,-60241997090.3157,-854236562763.9086
-0.1,-1.0,-111711707757.59267,-1128638538451.7373
-0.1,-0.9,-196424927985.48758,-1530752165129.0527
-0.1,-0.8,-342077444482.0879,-2144432339266.8923
-0.1,-0.7,-607625622787.519,-3128336991857.188
-0.1,-0.6,-1130405528204.9192,-4804547993835.85
-0.1,-0.5,-2267981937771.618,-7885155297775.585
-0.1,-0.4,-5091770503242.416,-14116007526512.703
-0.1,-0.3,-13447884049087.775,-28329760663993.35
-0.1,-0.2,-44792702823542.59,-65679768858184.7
-0.1,-0.1,-210744434849328.22,-177914835991445.1
0.0,-2.0,38374666709.13172,-131399939205.29063
0.0,-1.9,41313002372.784904,-156443406817.29852
0.0,-1.8,44338956608.32882,-187445089504.89346
0.0,-1.7,47406189863.015015,-226194266701.0223
0.0,-1.6,50452230396.15035,-275167035004.9282
0.0,-1.5,53395986825.971176,-337861545259.1604
0.0,-1.4,56135707466.14995,-419336703527.44684
0.0,-1.3,58547850719.80857,-527104468999.9466
0.0,-1.2,60487462580.76421,-672659026880.4113
0.0,-1.1,61790757537.504395,-874200887622.2986
0.0,-1.0,62280620180.87219,-1161711405004.3755
0.0,-0.9,61775625722.47021,-1586913380400.875
0.0,-0.8,60102856068.49061,-2244076825394.9214
0.0,-0.7,57114223135.26474,-3316870011237.158
0.0,-0.6,52705216230.7633,-5194088398061.464
0.0,-0.5,46834067664.07943,-8790833262333.473
0.0,-0.4,39538488398.06824,-16584497709238.719
0.0,-0.3,30946655147.384583,-36691472053321.93
0.0,-0.2,21279328676.34927,-103663151435731.4
0.0,-0.1,10841027221.184444,-409562123455668.1
0.1,-2.0,52024826734.2259,-127209322233.79964
0.1,-1.9,57905074138.348595,-151803883014.91504
0.1,-1.8,64665401225.34684,-182280035689.33005
0.1,-1.7,72536105038.01062,-220390814198.05322
0.1,-1.6,81857857624.64613,-268550036580.796
0.1,-1.5,93152641904.0384,-330147761071.79785
0.1,-1.4,107246958179.90063,-410053016399.7173
0.1,-1.3,125491222050.60057,-515438724740.4623
0.1,-1.2,150162546289.4154,-657179840940.3593
0.1,-1.1,185232238520.46402,-852310579735.3536
0.1,-1.0,237895911733.57968,-1128524526949.099
0.1,-0.9,321795050605.57007,-1532815416120.68
0.1,-0.8,464259628489.8493,-2149006959631.2974
0.1,-0.7,723927352940.468,-3135689696618.235
0.1,-0.6,1237902693551.6423,-4814838395780.101
0.1,-0.5,2363647595414.5356,-7898397706301.893
0.1,-0.4,5172641006124.139,-14132040804197.66
0.1,-0.3,13511250783248.49,-28348233148697.04
0.1,-0.2,44836310572204.03,-65700144168374.35
0.1,-0.1,210766662739414.25,-177936422508890.12
0.2,-2.0,65365524807.123146,-120422752151.92049
0.2,-1.9,74115272461.73965,-143896044807.98972
0.2,-1.8,84496536326.98206,-172953450515.3616
0.2,-1.7,96987445423.31595,-209217612845.0291
0.2,-1.6,112282102849.01855,-254894812444.15143
0.2,-1.5,131418658394.16016,-313036821959.9008
0.2,-1.4,155997067434.98956,-387947469109.02325
0.2,-1.3,188558905325.15424,-485829638513.2109
0.2,-1.2,233269443352.1135,-615842091976.8971
0.2,-1.1,297184599426.4773,-791873520005.103
0.2,-1.0,392698548911.8946,-1035605897105.483
0.2,-0.9,542492742209.4205,-1381955334501.216
0.2,-0.8,790082271207.2285,-1888985839176.7395
0.2,-0.7,1223674022055.0942,-2656269174870.7344
0.2,-0.6,2033847783058.47,-3858475195345.12
0.2,-0.5,3663164462407.135,-5800410475967.711
0.2,-0.4,7219843683834.105,-8958976407553.994
0.2,-0.3,15646018015524.41,-13638699827228.904
0.2,-0.2,36382612128453.21,-16506416233104.586
0.2,-0.1,74529080447999.14,11533848001597.414
0.3,-2.0,77989576977.46614,-111151831525.10799
0.3,-1.9,89414011813.92911,-132883058639.39493
0.3,-1.8,103132501680.8812,-159711910876.7317
0.3,-1.7,119818031198.4963,-193058225663.16473
0.3,-1.6,140429372929.72647,-234813373578.7057
0.3,-1.5,166369456400.9183,-287528205165.2928
0.3,-1.4,199748046214.64563,-354689859569.8781
0.3,-1.3,243827168098.92697,-441134894736.5031
0.3,-1.2,303794525372.66235,-553671795683.4094
0.3,-1.1,388141280841.82184,-702020784670.5521
0.3,-1.0,511185194441.74713,-900213087860.8422
0.3,-0.9,697827272050.6718,-1168572250452.4587
0.3,-0.8,992778484611.7673,-1536114300912.6462
0.3,-0.7,1478880631574.7043,-2041870486928.497
0.3,-0.6,2313735363484.4062,-2728465482545.245
0.3,-0.5,3799972434698.551,-3602538324955.832
0.3,-0.4,6494078715061.865,-4472722043511.47
0.3,-0.3,11202567411785.088,-4393016198098.904
0.3,-0.2,17774432252802.223,-269872034030.64484
0.3,-0.1,19090726596637.992,12809107881148.838
0.4,-2.0,89534999867.03134,-99602778062.6932
0.4,-1.9,103343032919.03261,-119055706750.7009
0.4,-1.8,119987762595.36467,-142977385297.8233
0.4,-1.7,140271720506.71155,-172542275660.10815
0.4,-1.6,165311598089.9837,-209270516306.40567
0.4,-1.5,196697713880.7397,-255138439452.96457
0.4,-1.4,236749681762.7176,-312723868851.30804
0.4,-1.3,288933116882.1693,-385391710968.23083
0.4,-1.2,358549139692.00195,-477515229166.7174
0.4,-1.1,453890089266.16315,-594694938393.9867
0.4,-1.0,588193982841.2926,-743840759029.25
0.4,-0.9,782952554200.1989,-932721395695.8499
0.4,-0.8,1073419039158.0864,-1167895637334.0198
0.4,-0.7,1517266088411.397,-1448175562536.2834
0.4,-0.6,2205953586629.8887,-1746476803324.7659
0.4,-0.5,3270248531956.9673,-1963720549401.4436
0.4,-0.4,4839091859637.121,-1826103305367.4795
0.4,-0.3,6815590399728.806,-722896895066.3981
0.4,-0.2,8211948432119.305,2242732176885.8926
0.4,-0.1,6452334993144.488,6909682441815.718
0.5,-2.0,99702103539.673,-86053138507.79411
0.5,-1.9,115538861891.67087,-102794789970.8793
0.5,-1.8,134623800608.9742,-123285717307.92706
0.5,-1.7,157824515046.57803,-148443338604.1286
0.5,-1.6,186313587249.28067,-179411591924.4593
0.5,-1.5,221705228779.44028,-217605152421.1506
0.5,-1.4,266264102387.9979,-264747369151.5263
0.5,-1.3,323227121572.69836,-322880894676.64386
0.5,-1.2,397300505154.3436,-394303575398.3408
0.5,-1.1,495421881470.3822,-481325921356.32056
0.5,-1.0,627900369552.7988,-585627713212.4287
0.5,-0.9,810023187229.7731,-706745105910.3989
0.5,-0.8,1064003776007.9922,-838730172205.886
0.5,-0.7,1420329687665.8271,-963144072846.3712
0.5,-0.6,1915071273871.374,-1035351612431.8945
0.5,-0.5,2573267018518.629,-961152443627.5919
0.5,-0.4,3355907931051.6777,-569483453083.5863
0.5,-0.3,4040394547111.634,374630077073.61084
0.5,-0.2,4074145729248.86,1987667303182.6536
0.5,-0.1,2728010082116.979,3816817791714.658
0.6,-2.0,108260449004.46107,-70825696954.83286
0.6,-1.9,125739674756.68997,-84530069566.92183
0.6,-1.8,146754312007.735,-101221127564.82619
0.6,-1.7,172184516595.43555,-121573106718.48088
0.6,-1.6,203179754174.3065,-146389370080.68655
0.6,-1.5,241258539225.2557,-176600439266.6949
0.6,-1.4,288449839768.7919,-213232451323.6291
0.6,-1.3,347492286197.6714,-257314881194.54834
