x,y,vertical,horizontal
-1.0,-2.0,17970083047.206116,-49500741199.63532
-1.0,-1.9,18382107862.56621,-58781831523.66629
-1.0,-1.8,18153016419.197807,-70006885217.24112
-1.0,-1.7,16941375203.91892,-83579005392.80421
-1.0,-1.6,14265377517.277601,-99966991296.06815
-1.0,-1.5,9451132146.577124,-119700416253.49213
-1.0,-1.4,1565704221.0271592,-143349806105.7151
-1.0,-1.3,-10665643524.335377,-171480283168.101
-1.0,-1.2,-28953772669.315414,-204560830054.3866
-1.0,-1.1,-55536935760.35066,-242803902946.0087
-1.0,-1.0,-93234665529.93648,-285904043379.39996
-1.0,-0.9,-145397081231.70224,-332646309140.1859
-1.0,-0.8,-215636265830.7281,-380380129139.308
-1.0,-0.7,-307180248080.6239,-424424731809.37134
-1.0,-0.6,-421686936360.09656,-457612246551.9054
-1.0,-0.5,-557480885682.4945,-470375934658.0464
-1.0,-0.4,-707533304926.7891,-451950458431.11127
-1.0,-0.3,-858093755892.9888,-393117776972.98926
-1.0,-0.2,-989380277655.1942,-290210164623.3337
-1.0,-0.1,-1079444070221.391,-148832573610.38364
-0.9,-2.0,23661391946.525105,-48320380286.96369
-0.9,-1.9,25276335816.643257,-58006286014.550964
-0.9,-1.8,26480983708.978363,-69909458671.54547
-0.9,-1.7,26958882004.456364,-84556886336.05258
-0.9,-1.6,26239802585.399532,-102592122203.57999
-0.9,-1.5,23632050725.307552,-124789035276.07713
-0.9,-1.4,18127744067.22418,-152055095735.60492
-0.9,-1.3,8273551749.999719,-185410681721.94077
-0.9,-1.2,-7998448894.680518,-225920374909.32648
-0.9,-1.1,-33576313591.423588,-274536126119.0518
-0.9,-1.0,-72383708328.65607,-331790634521.052
-0.9,-0.9,-129529562753.00221,-397257934519.90753
-0.9,-0.8,-211225737834.51233,-468696639195.0593
-0.9,-0.7,-324170637575.5088,-540856248572.00507
-0.9,-0.6,-473958758290.0984,-604140069980.1931
-0.9,-0.5,-662096354453.8586,-643761928803.2661
-0.9,-0.4,-881707029811.6694,-640643491836.9255
-0.9,-0.3,-1113321823427.9375,-575584129572.453
-0.9,-0.2,-1323943169970.436,-437178561312.8759
-0.9,-0.1,-1473078717693.101,-230886983099.04672
-0.8,-2.0,29596476031.436836,-45962586042.58407
-0.8,-1.9,32604802652.995663,-55800324619.88389
-0.8,-1.8,35521763103.358795,-68085318353.071754
-0.8,-1.7,38092548108.41551,-83470910370.70459
-0.8,-1.6,39909010659.37445,-102788160386.40987
-0.8,-1.5,40329566579.922485,-127087725319.77124
-0.8,-1.4,38359042847.98351,-157682565912.99344
-0.8,-1.3,32470534642.813877,-196180070240.69534
-0.8,-1.2,20346746177.659874,-244478431145.06845
-0.8,-1.1,-1481972607.2109778,-304676661744.8705
-0.8,-1.0,-38111365516.16887,-378804025168.23126
-0.8,-0.9,-96805669412.85738,-468208493687.38214
-0.8,-0.8,-187433947816.65332,-572365816542.2141
-0.8,-0.7,-322352660633.1638,-686840219009.6449
-0.8,-0.6,-514839194045.3095,-800314479851.0321
-0.8,-0.5,-774721799375.6664,-891339360647.9988
-0.8,-0.4,-1100075204642.6824,-927046437877.4188
-0.8,-0.3,-1466153030058.102,-868031991789.6796
-0.8,-0.2,-1817957022192.4253,-683319489989.6143
-0.8,-0.1,-2077615801874.8625,-372635594115.95667
-0.7,-2.0,35572842937.281334,-42288111616.51258
-0.7,-1.9,40126859208.987114,-51951949014.76787
-0.7,-1.8,44995381252.66419,-64216513028.595894
-0.7,-1.7,50028004213.1207,-79849537613.01567
-0.7,-1.6,54941655881.50426,-99862402927.25563
-0.7,-1.5,59236775641.45452,-125588651056.85945
-0.7,-1.4,62062630962.619804,-158783043870.26758
-0.7,-1.3,62001533048.12749,-201738825739.16467
-0.7,-1.2,56725716306.24408,-257408456708.73877
-0.7,-1.1,42460367891.029465,-329483950683.5709
-0.7,-1.0,13168881784.331139,-422330278443.87866
-0.7,-0.9,-40612202547.52943,-540541452309.1388
-0.7,-0.8,-133249128784.11285,-687671243584.5107
-0.7,-0.7,-285382315059.5082,-863383945086.1779
-0.7,-0.6,-523855016011.2546,-1058064839740.1111
-0.7,-0.5,-877169722353.4532,-1244532923348.176
-0.7,-0.4,-1361713559292.2644,-1369457345622.4944
-0.7,-0.3,-1955853374753.2153,-1353712389180.378
-0.7,-0.2,-2571182735333.954,-1117102223029.8088
-0.7,-0.1,-3051785717764.188,-632881053803.4147
-0.6,-2.0,41336993030.77212,-37204144257.667
-0.6,-1.9,47526530731.78435,-46302978668.29984
-0.6,-1.8,54510968617.14346,-58044208984.16953
-0.6,-1.7,62288245090.69085,-73279551030.17471
-0.6,-1.6,70769338220.09187,-93165633060.7404
-0.6,-1.5,79704889324.55501,-119283427109.04628
-0.6,-1.4,88557484733.33023,-153805619097.9915
-0.6,-1.3,96279302850.2647,-199727601845.4778
-0.6,-1.2,100925061616.7236,-261175670358.245
-0.6,-1.1,98980391030.06813,-343789371115.6733
-0.6,-1.0,84208058827.22939,-455118995318.7038
-0.6,-0.9,45712203768.13593,-604826985569.0225
-0.6,-0.8,-35149905176.54588,-804116199348.926
-0.6,-0.7,-189186816394.10968,-1063033204023.4569
