x,y,vertical,horizontal
-1.0,-2.0,7347400039.665815,-79372394840.96379
-1.0,-1.9,5583733475.02479,-90005890313.04637
-1.0,-1.8,2964858060.808238,-102523817649.43573
-1.0,-1.7,-854483415.5492767,-117303508424.2842
-1.0,-1.6,-6356140220.290301,-134785240559.92679
-1.0,-1.5,-14209464055.55706,-155467656820.8134
-1.0,-1.4,-25337475776.20253,-179888473772.14203
-1.0,-1.3,-40998889610.33221,-208578865344.21765
-1.0,-1.2,-62881818169.47307,-241973683739.69388
-1.0,-1.1,-93194607296.71837,-280252240651.6085
-1.0,-1.0,-134719549588.51889,-323078272235.47577
-1.0,-0.9,-190762339446.3551,-369209860814.08484
-1.0,-0.8,-264883981208.00906,-415974847478.085
-1.0,-0.7,-360255722919.83026,-458677792821.6838
-1.0,-0.6,-478474373160.7268,-490144476193.6919
-1.0,-0.5,-617800857609.8778,-500811272025.1826
-1.0,-0.4,-771142358118.0983,-479926196544.23236
-1.0,-0.3,-924686382060.6647,-418295113473.2855
-1.0,-0.2,-1058593357353.5704,-312284523766.93097
-1.0,-0.1,-1150863725414.1855,-167543130527.49512
-0.9,-2.0,13427938996.90979,-80332160050.12431
-0.9,-1.9,12711810506.088957,-91597637684.42853
-0.9,-1.8,11336729599.89497,-105027945773.67096
-0.9,-1.7,8979109601.495558,-121120761320.47667
-0.9,-1.6,5165770601.29148,-140486681946.88782
-0.9,-1.5,-792721276.2348961,-163863289574.76578
-0.9,-1.4,-9895723190.229345,-192118986771.70496
-0.9,-1.3,-23580764842.037384,-226233125097.6642
-0.9,-1.2,-43891796553.98425,-267228413265.9665
-0.9,-1.1,-73684041439.77321,-316015488206.38165
-0.9,-1.0,-116839087801.84375,-373087969530.0691
-0.9,-0.9,-178414560477.54245,-437984938244.9618
-0.9,-0.8,-264562297338.16425,-508436202158.3557
-0.9,-0.7,-381913025731.7866,-579170637235.1829
-0.9,-0.6,-535987561028.6805,-640581005896.5062
-0.9,-0.5,-728214686707.5504,-677882267597.7266
-0.9,-0.4,-951639448979.5474,-672010039754.5194
-0.9,-0.3,-1186716302060.4583,-603790989079.5177
-0.9,-0.2,-1400376298038.172,-461860289052.601
-0.9,-0.1,-1552064082156.6414,-251730791442.05737
-0.8,-2.0,19913495119.1261,-80254645028.09526
-0.8,-1.9,20431811790.474854,-91934192143.23784
-0.8,-1.8,20570461882.36111,-106019605009.03003
-0.8,-1.7,20063097524.949814,-123131107469.52657
-0.8,-1.6,18494573959.78957,-144061864291.05176
-0.8,-1.5,15222167125.017094,-169820106405.48666
-0.8,-1.4,9256805791.276209,-201672376508.28766
-0.8,-1.3,-913692976.543759,-241176538389.13446
-0.8,-1.2,-17582006051.733223,-290179426477.5737
-0.8,-1.1,-44182210230.91027,-350728536954.25665
-0.8,-1.0,-85762818586.02365,-424803521724.6253
-0.8,-0.9,-149528971867.8558,-513707044530.2793
-0.8,-0.8,-245279192253.36792,-616876475225.0961
-0.8,-0.7,-385289107682.13727,-729847292663.0555
-0.8,-0.6,-582746930581.7358,-841285747667.9696
-0.8,-0.5,-847386133910.4218,-929740533755.0288
-0.8,-0.4,-1177184502543.4888,-962357281891.0125
-0.8,-0.3,-1547300520339.3806,-899763317887.102
-0.8,-0.2,-1902646857924.879,-711030054564.8969
-0.8,-0.1,-2165273347377.436,-395947859438.9024
-0.7,-2.0,26632519667.081947,-79000562937.75829
-0.7,-1.9,28536816305.752975,-90808271932.00536
-0.7,-1.8,30422074306.39848,-105191506857.6471
-0.7,-1.7,32120558064.329224,-122880892943.02226
-0.7,-1.6,33336673166.15461,-144844509116.6513
-0.7,-1.5,33564811404.407696,-172366518529.17996
-0.7,-1.4,31956471874.57016,-207146699412.77985
-0.7,-1.3,27106336296.77964,-251418620066.72516
-0.7,-1.2,16710944677.808453,-308071792264.697
-0.7,-1.1,-2966695886.9623084,-380733980955.0643
-0.7,-1.0,-37910677723.69681,-473707133121.4887
-0.7,-0.9,-97516674734.12703,-591526490634.1902
-0.7,-0.8,-196068090512.546,-737694719224.5076
-0.7,-0.7,-354108638310.65186,-911836274082.989
-0.7,-0.6,-598373273027.6292,-1104311402374.198
-0.7,-0.5,-957247965241.0178,-1287932017371.303
-0.7,-0.4,-1446999488201.7686,-1409380571601.4102
-0.7,-0.3,-2045875692247.4612,-1389566429265.5073
-0.7,-0.2,-2665358147264.8477,-1148350719058.0977
