x,y,Rx,Ry,Rz
-1.0,-2.0,5.3448038731e-25,-3.03399658601e-26,4.83856609077e-25
-1.0,-1.95,6.55725825772e-25,-3.70109670123e-26,5.8007655269e-25
-1.0,-1.9,8.37765657335e-25,-4.70045218764e-26,7.23925579062e-25
-1.0,-1.85,1.10282709906e-24,-6.14910433647e-26,9.30502558116e-25
-1.0,-1.8,1.47992265144e-24,-8.19791350319e-26,1.21876401433e-24
-1.0,-1.75,2.00669244609e-24,-1.1040062837e-25,1.61237533542e-24
-1.0,-1.7,2.73168688465e-24,-1.4921363256e-25,2.14071777128e-24
-1.0,-1.65,3.71717053008e-24,-2.01526069659e-25,2.84006796914e-24
-1.0,-1.6,5.04253015404e-24,-2.71241799079e-25,3.75496270571e-24
-1.0,-1.55,6.80836258287e-24,-3.63230533977e-25,4.93975323533e-24
-1.0,-1.5,9.14129448289e-24,-4.83521000603e-25,6.46033899044e-24
-1.0,-1.45,1.21995355433e-23,-6.39513718848e-25,8.39604587732e-24
-1.0,-1.4,1.61790719847e-23,-8.40204705711e-25,1.08415751605e-23
-1.0,-1.35,2.13202440735e-23,-1.09640334752e-24,1.39088877234e-23
-1.0,-1.3,2.79141831136e-23,-1.42091529525e-24,1.77287949489e-23
-1.0,-1.25,3.63081589301e-23,-1.82864268171e-24,2.24518868632e-23
-1.0,-1.2,4.69082385328e-23,-2.33652689592e-24,2.82482201258e-23
-1.0,-1.15,6.01766919456e-23,-2.96322083047e-24,3.53048858978e-23
-1.0,-1.1,7.66202022173e-23,-3.72832526566e-24,4.3820147282e-23
-1.0,-1.05,9.67630593237e-23,-4.65095656292e-24,5.39922431422e-23
-1.0,-1.0,1.21097142918e-22,-5.74733313055e-24,6.600017833e-23
-1.0,-0.95,1.49997864171e-22,-7.0269895919e-24,7.99728887992e-23
-1.0,-0.9,1.83593114307e-22,-8.48718528568e-24,9.59422438566e-23
-1.0,-0.85,2.21572485829e-22,-1.01051432232e-23,1.13774874043e-22
-1.0,-0.8,2.62930253874e-22,-1.1828079095e-23,1.33078791891e-22
-1.0,-0.75,3.05654129291e-22,-1.35617887672e-23,1.53085119992e-22
-1.0,-0.7,3.46411435184e-22,-1.51601579136e-23,1.72516057732e-22
-1.0,-0.65,3.80352941085e-22,-1.64205557648e-23,1.8947133601e-22
-1.0,-0.6,4.05971131151e-22,-1.72590454273e-23,2.03894681386e-22
-1.0,-0.55,4.31223104729e-22,-1.80387975884e-23,2.20434114704e-22
-1.0,-0.5,4.55873153041e-22,-1.87681383865e-23,2.39876410117e-22
-1.0,-0.45,4.78637518236e-22,-1.94023417555e-23,2.62837140293e-22
-1.0,-0.4,4.97157381936e-22,-1.98587130173e-23,2.89741318644e-22
-1.0,-0.35,5.07423361532e-22,-1.9996480803e-23,3.20435067708e-22
-1.0,-0.3,5.03336763442e-22,-1.96021369006e-23,3.5353682932e-22
-1.0,-0.25,4.77028302303e-22,-1.84020387497e-23,3.85570398145e-22
-1.0,-0.2,4.20893162149e-22,-1.61354169937e-23,4.10211067975e-22
-1.0,-0.15,3.32005000309e-22,-1.27102557491e-23,4.18424629794e-22
-1.0,-0.1,2.17804527922e-22,-8.40296546719e-24,4.00539801606e-22
-1.0,-0.05,9.89482842006e-23,-3.95755332008e-24,3.50641586701e-22
-1.0,0.0,0.0,0.0,3.80577456254e-22
-0.95,-2.0,5.99082392671e-25,-3.44573913363e-26,5.45607023031e-25
-0.95,-1.95,6.62587192987e-25,-3.78825927017e-26,5.89332051044e-25
-0.95,-1.9,7.69574599411e-25,-4.37241354205e-26,6.68193360351e-25
-0.95,-1.85,9.38846930467e-25,-5.29913989321e-26,7.95407710306e-25
