x,y,Rx,Ry,Rz
-1.0,-2.0,1.96740146595e-24,-9.77426561753e-26,1.48844199413e-24
-1.0,-1.95,1.80574973684e-24,-8.97505863693e-26,1.34384732948e-24
-1.0,-1.9,1.63618603962e-24,-8.13237343014e-26,1.19714296441e-24
-1.0,-1.85,1.47137510044e-24,-7.31008850862e-26,1.05785135295e-24
-1.0,-1.8,1.33010144631e-24,-6.60239697761e-26,9.39164038206e-25
-1.0,-1.75,1.2392411828e-24,-6.14308683861e-26,8.58889929044e-25
-1.0,-1.7,1.23625021036e-24,-6.11703191078e-26,8.40594014964e-25
-1.0,-1.65,1.37227410896e-24,-6.77425803692e-26,9.14951531547e-25
-1.0,-1.6,1.71599312501e-24,-8.44693849248e-26,1.12134036812e-24
-1.0,-1.55,2.3583159794e-24,-1.15696127697e-25,1.50968859887e-24
-1.0,-1.5,3.41802161593e-24,-1.67027821416e-25,2.14258225049e-24
-1.0,-1.45,5.04840747757e-24,-2.45597654523e-25,3.09761753888e-24
-1.0,-1.4,7.44491928968e-24,-3.60362283547e-25,4.46994695086e-24
-1.0,-1.35,1.08535845801e-23,-5.22410252853e-25,6.37491248071e-24
-1.0,-1.3,1.55798114962e-23,-7.45257684898e-25,8.95057136703e-24
-1.0,-1.25,2.19966896618e-23,-1.04508657834e-24,1.2359784187e-23
-1.0,-1.2,3.05512620727e-23,-1.44085295521e-24,1.67913296989e-23
-1.0,-1.15,4.1766221536e-23,-1.95415128205e-24,2.24592040459e-23
-1.0,-1.1,5.62329940245e-23,-2.60866422466e-24,2.95988123307e-23
-1.0,-1.05,7.45900744416e-23,-3.42894971454e-24,3.84581182862e-23
-1.0,-1.0,9.74777071949e-23,-4.43822067934e-24,4.92809354715e-23
-1.0,-0.95,1.25456691658e-22,-5.65466608003e-24,6.227840847e-23
-1.0,-0.9,1.58875896057e-22,-7.08577573419e-24,7.75834448827e-23
-1.0,-0.85,1.97671738813e-22,-8.72013896612e-24,9.51817959731e-23
-1.0,-0.8,2.41087249097e-22,-1.05164372278e-23,1.14813608079e-22
-1.0,-0.75,2.873153831e-22,-1.23901053967e-23,1.35842603584e-22
-1.0,-0.7,3.33111814701e-22,-1.41997748806e-23,1.57100191088e-22
-1.0,-0.65,3.73498018926e-22,-1.57384979792e-23,1.76733781789e-22
-1.0,-0.6,4.0231674506e-22,-1.67501703884e-23,1.92412547456e-22
-1.0,-0.55,4.2655372315e-22,-1.75031985221e-23,2.08201039667e-22
-1.0,-0.5,4.50277434594e-22,-1.82111257388e-23,2.26822584895e-22
-1.0,-0.45,4.72355706955e-22,-1.88352129458e-23,2.48937227111e-22
-1.0,-0.4,4.90616373141e-22,-1.93002038794e-23,2.75054182869e-22
-1.0,-0.35,5.01233223382e-22,-1.94728707876e-23,3.05154210408e-22
-1.0,-0.3,4.98202717569e-22,-1.91443115987e-23,3.38034992263e-22
-1.0,-0.25,4.73541480205e-22,-1.80380389326e-23,3.70401901966e-22
-1.0,-0.2,4.19234938797e-22,-1.58793614458e-23,3.96022860002e-22
-1.0,-0.15,3.31740618333e-22,-1.2553421122e-23,4.05754144394e-22
-1.0,-0.1,2.18041601408e-22,-8.31669468007e-24,3.89573348055e-22
-1.0,-0.05,9.89576641247e-23,-3.91232610365e-24,3.4112727617e-22
-1.0,0.0,0.0,0.0,3.6862458341e-22
-0.95,-2.0,2.85123777537e-24,-1.42988051147e-25,2.16193640292e-24
-0.95,-1.95,2.6885983694e-24,-1.34883952579e-25,2.00466843659e-24
-0.95,-1.9,2.5007031816e-24,-1.25449054297e-25,1.83244852134e-24
-0.95,-1.85,2.29556924122e-24,-1.15096359106e-25,1.65217648475e-24
-0.95,-1.8,2.08658667861e-24,-1.04510671589e-25,1.47414688376e-24
-0.95,-1.75,1.89448285178e-24,-9.47429394199e-26,1.31303074026e-24
-0.95,-1.7,1.74986259367e-24,-8.7329866545e-26,1.1890794278e-24
-0.95,-1.65,1.69646478343e-24,-8.44439932611e-26,1.12958874538e-24
-0.95,-1.6,1.79529866485e-24,-8.90799074602e-26,1.17066340262e-24
-0.95,-1.55,2.12984411771e-24,-1.05282411601e-25,1.35932202344e-24
-0.95,-1.5,2.81251309922e-24,-1.38422044008e-25,1.75597859561e-24
-0.95,-1.45,3.99256552094e-24,-1.95521903728e-25,2.43732530904e-24
-0.95,-1.4,5.86563662714e-24,-2.85636578063e-25,3.49961967434e-24
-0.95,-1.35,8.68493973853e-24,-4.20278089567e-25,5.06233909793e-24
-0.95,-1.3,1.27740188115e-23,-6.13873616204e-25,7.27209852266e-24
-0.95,-1.25,1.85405788391e-23,-8.84223010994e-25,1.03066156421e-23
-0.95,-1.2,2.64903265806e-23,-1.25289755755e-24,1.43783295685e-23
-0.95,-1.15,3.72387739533e-23,-1.74548032705e-24,1.97369963729e-23
-0.95,-1.1,5.15174003812e-23,-2.39148678646e-24,2.6670144769e-23
-0.95,-1.05,7.01681859097e-23,-3.22371439494e-24,3.54996002937e-23
-0.95,-1.0,9.41170196309e-23,-4.27664414104e-24,4.65712733516e-23
-0.95,-0.95,1.24311609067e-22,-5.58335146426e-24,6.02339346117e-23
-0.95,-0.9,1.61603306589e-22,-7.17018854841e-24,7.68006746207e-23
-0.95,-0.85,2.06545631664e-22,-9.04831948778e-24,9.64842172888e-23
-0.95,-0.8,2.59078145672e-22,-1.12011464637e-23,1.19294735456e-22
-0.95,-0.75,3.18069814e-22,-1.35670296114e-23,1.44887890319e-22
-0.95,-0.7,3.80725249657e-22,-1.60179873612e-23,1.7235526199e-22
-0.95,-0.65,4.4193353183e-22,-1.83380582195e-23,1.99966524795e-22
-0.95,-0.6,4.93789403002e-22,-2.02105196468e-23,2.2491393188e-22
-0.95,-0.55,5.29540882556e-22,-2.13449004314e-23,2.45056335781e-22
-0.95,-0.5,5.62617934959e-22,-2.22912149184e-23,2.67631531169e-22
-0.95,-0.45,5.94672403836e-22,-2.31633479705e-23,2.94826536691e-22
-0.95,-0.4,6.23458097765e-22,-2.38876570551e-23,3.27673792296e-22
-0.95,-0.35,6.44579520612e-22,-2.43183448104e-23,3.6676580669e-22
-0.95,-0.3,6.50366962585e-22,-2.42003859295e-23,4.11376474154e-22
-0.95,-0.25,6.2938101727e-22,-2.31546976733e-23,4.58017286155e-22
-0.95,-0.2,5.68296231982e-22,-2.07434087657e-23,4.98717683215e-22
-0.95,-0.15,4.58268323757e-22,-1.66839807194e-23,5.20235980697e-22
-0.95,-0.1,3.05481107091e-22,-1.12013440631e-23,5.06426875124e-22
-0.95,-0.05,1.39155109281e-22,-5.29467748463e-24,4.4548543104e-22
-0.95,0.0,0.0,0.0,4.75634457288e-22
-0.9,-2.0,3.99702270471e-24,-2.02321170801e-25,3.0377804985e-24
-0.9,-1.95,3.86417910355e-24,-1.95664259351e-25,2.88697915938e-24
-0.9,-1.9,3.69096073437e-24,-1.86866661024e-25,2.70904405621e-24
-0.9,-1.85,3.48031401475e-24,-1.76087462797e-25,2.50786636925e-24
-0.9,-1.8,3.23953857232e-24,-1.63712101626e-25,2.29030725936e-24
-0.9,-1.75,2.98214845186e-24,-1.50443975079e-25,2.06717398673e-24
-0.9,-1.7,2.73034324201e-24,-1.37423497839e-25,1.85444189305e-24
-0.9,-1.65,2.51825922404e-24,-1.26381198026e-25,1.67477213739e-24
-0.9,-1.6,2.39620893684e-24,-1.19832512633e-25,1.55938171949e-24
-0.9,-1.55,2.43615976116e-24,-1.21322912863e-25,1.55032821097e-24
-0.9,-1.5,2.7387452751e-24,-1.3573265786e-25,1.70327553198e-24
-0.9,-1.45,3.44214108638e-24,-1.69650485322e-25,2.0908070533e-24
-0.9,-1.4,4.73315813855e-24,-2.31824319495e-25,2.80634500474e-24
-0.9,-1.35,6.86089082193e-24,-3.33693682203e-25,3.96871534775e-24
-0.9,-1.3,1.01531699666e-23,-4.90001468454e-25,5.72735640884e-24
-0.9,-1.25,1.50358544195e-23,-7.19469825489e-25,8.26809395008e-24
-0.9,-1.2,2.20545559728e-23,-1.04550258311e-24,1.18192728788e-23
-0.9,-1.15,3.18975824706e-23,-1.49683980932e-24,1.6657810947e-23
-0.9,-1.1,4.54174730603e-23,-2.10803095401e-24,2.31143657602e-23
-0.9,-1.05,6.36461434373e-23,-2.919500857e-24,3.15761934956e-23
-0.9,-1.0,8.7794867499e-23,-3.97684321833e-24,4.2485287513e-23
-0.9,-0.95,1.19224457035e-22,-5.32877199373e-24,5.63278132297e-23
-0.9,-0.9,1.59362376997e-22,-7.02287826187e-24,7.36084252706e-23
-0.9,-0.85,2.09531793804e-22,-9.09798208516e-24,9.4799454453e-23
-0.9,-0.8,2.70643696988e-22,-1.15714953555e-23,1.20250023759e-22
-0.9,-0.75,3.42691985584e-22,-1.44200203215e-23,1.50034409921e-22
-0.9,-0.7,4.23995934075e-22,-1.75518899244e-23,1.8371488172e-22
-0.9,-0.65,5.1018389314e-22,-2.07725224837e-23,2.19998810517e-22
-0.9,-0.6,5.93058522832e-22,-2.37490088722e-23,2.56298482003e-22
-0.9,-0.55,6.59792694011e-22,-2.59911702934e-23,2.88281066077e-22
-0.9,-0.5,7.06632701678e-22,-2.7299421792e-23,3.15833186888e-22
-0.9,-0.45,7.52682432677e-22,-2.84866004583e-23,3.49084069844e-22
-0.9,-0.4,7.9660954363e-22,-2.95471550113e-23,3.90086730249e-22
-0.9,-0.35,8.33710672233e-22,-3.03348859915e-23,4.40438194639e-22
-0.9,-0.3,8.54680021426e-22,-3.05579606233e-23,5.00483412352e-22
-0.9,-0.25,8.43732239325e-22,-2.97218132517e-23,5.67180858554e-22
-0.9,-0.2,7.79490401084e-22,-2.71612871286e-23,6.30922437335e-22
-0.9,-0.15,6.43202773335e-22,-2.23032157468e-23,6.72863612098e-22
-0.9,-0.1,4.36627534964e-22,-1.52306478971e-23,6.66879846751e-22
-0.9,-0.05,2.00130343507e-22,-7.25228218588e-24,5.90882384782e-22
-0.9,0.0,0.0,0.0,6.22648540425e-22
-0.85,-2.0,5.44145462493e-24,-2.7798113211e-25,4.14552979563e-24
-0.85,-1.95,5.37687127801e-24,-2.74766331998e-25,4.02557060984e-24
-0.85,-1.9,5.26071612995e-24,-2.68773161139e-25,3.86790905253e-24
-0.85,-1.85,5.09074375018e-24,-2.59891669698e-25,3.67316346497e-24
-0.85,-1.8,4.86780611152e-24,-2.48179742435e-25,3.44435405759e-24
-0.85,-1.75,4.59751121882e-24,-2.33947331992e-25,3.18783048232e-24
-0.85,-1.7,4.29249373812e-24,-2.17869047076e-25,2.91445880833e-24
-0.85,-1.65,3.97548934674e-24,-2.01132814754e-25,2.64112757993e-24
-0.85,-1.6,3.68345650781e-24,-1.85633966943e-25,2.39264342748e-24
-0.85,-1.55,3.47305191795e-24,-1.7422586792e-25,2.20409830073e-24
-0.85,-1.5,3.42783887909e-24,-1.71039977142e-25,2.12380218581e-24
-0.85,-1.45,3.66768916946e-24,-1.81889787203e-25,2.2168860052e-24
-0.85,-1.4,4.36092263793e-24,-2.14773957991e-25,2.56968723977e-24
-0.85,-1.35,5.73980174888e-24,-2.80493443812e-25,3.29503213378e-24
-0.85,-1.3,8.12003548034e-24,-3.93394248996e-25,4.5385171491e-24
-0.85,-1.25,1.19249022485e-23,-5.72239639924e-25,6.48585846748e-24
-0.85,-1.2,1.77143937081e-23,-8.41199958853e-25,9.37130458483e-24
-0.85,-1.15,2.62192711663e-23,-1.23091950356e-24,1.34869641662e-23
-0.85,-1.1,3.8378880744e-23,-1.77957023458e-24,1.91926395951e-23
-0.85,-1.05,5.5379610494e-23,-2.53371900067e-24,2.69252914803e-23
-0.85,-1.0,7.8687384304e-23,-3.54870001548e-24,3.72064477989e-23
-0.85,-0.95,1.10061642233e-22,-4.88797089037e-24,5.06444751013e-23
-0.85,-0.9,1.51528516904e-22,-6.62060347772e-24,6.79262625026e-23
-0.85,-0.85,2.05275681157e-22,-8.81558154828e-24,8.97889408496e-23
-0.85,-0.8,2.73409047892e-22,-1.15309256762e-23,1.1695595933e-22
-0.85,-0.75,3.57482453431e-22,-1.47949032892e-23,1.50012335161e-22
-0.85,-0.7,4.57682498925e-22,-1.85760088702e-23,1.89181163e-22
-0.85,-0.65,5.71545844019e-22,-2.2738887199e-23,2.33950817863e-22
-0.85,-0.6,6.92166103312e-22,-2.69869336964e-23,2.82502244705e-22
-0.85,-0.55,8.0613288619e-22,-3.08026624383e-23,3.30930930704e-22
-0.85,-0.5,8.92107686427e-22,-3.34186471273e-23,3.72413621972e-22
-0.85,-0.45,9.57908540987e-22,-3.49986645245e-23,4.12792078926e-22
-0.85,-0.4,1.02355450694e-21,-3.64794946826e-23,4.63497960087e-22
-0.85,-0.35,1.08454223755e-21,-3.77334992e-23,5.27646793385e-22
-0.85,-0.3,1.13041862647e-21,-3.84574098364e-23,6.07579742205e-22
-0.85,-0.25,1.14054791821e-21,-3.80498718722e-23,7.02006835561e-22
-0.85,-0.2,1.08203806226e-21,-3.55571120508e-23,8.00624704338e-22
-0.85,-0.15,9.18390583897e-22,-2.99342310089e-23,8.77563350997e-22
-0.85,-0.1,6.38410468427e-22,-2.08945495248e-23,8.90604343133e-22
-0.85,-0.05,2.95518869996e-22,-1.00595655781e-23,7.97931261373e-22
-0.85,0.0,0.0,0.0,8.28924029465e-22
-0.8,-2.0,7.22313425416e-24,-3.72368027209e-25,5.51652059196e-24
-0.8,-1.95,7.27322166986e-24,-3.75054247473e-25,5.45723793801e-24
-0.8,-1.9,7.26642056031e-24,-3.74598645644e-25,5.35242505408e-24
-0.8,-1.85,7.19556220175e-24,-3.70624665514e-25,5.19932769494e-24
-0.8,-1.8,7.05515064619e-24,-3.62854366693e-25,4.99690089981e-24
-0.8,-1.75,6.84272308323e-24,-3.51180573332e-25,4.74664373568e-24
-0.8,-1.7,6.56078889261e-24,-3.3576682195e-25,4.45369524367e-24
-0.8,-1.65,6.21954960448e-24,-3.17183566713e-25,4.12825821778e-24
-0.8,-1.6,5.84066479263e-24,-2.96591215919e-25,3.78743175865e-24
-0.8,-1.55,5.46240852708e-24,-2.75983047401e-25,3.45755008796e-24
-0.8,-1.5,5.14666038774e-24,-2.58503848727e-25,3.17714385082e-24
-0.8,-1.45,4.98829655351e-24,-2.48863134299e-25,3.00066076776e-24
-0.8,-1.4,5.12769066092e-24,-2.53864748931e-25,3.00310423517e-24
-0.8,-1.35,5.76719737658e-24,-2.83077077295e-25,3.2857696675e-24
-0.8,-1.3,7.19266206241e-24,-3.49669040998e-25,3.98327588567e-24
-0.8,-1.25,9.80114994131e-24,-4.7143501723e-25,5.2720968909e-24
-0.8,-1.2,1.41361614973e-23,-6.720241084e-25,7.38078739105e-24
-0.8,-1.15,2.09314899434e-23,-9.82371418533e-25,1.06020443603e-23
-0.8,-1.1,3.11643842025e-23,-1.44229387628e-24,1.53066219522e-23
-0.8,-1.05,4.61174551394e-23,-2.10214881549e-24,2.19588547438e-23
-0.8,-1.0,6.74461907352e-23,-3.02434081732e-24,3.11330282372e-23
-0.8,-0.95,9.72439845302e-23,-4.28427080587e-24,4.35288530068e-23
-0.8,-0.9,1.38087509342e-22,-5.97000411968e-24,5.99824636774e-23
-0.8,-0.85,1.93029370639e-22,-8.179422569e-24,8.1465987978e-23
-0.8,-0.8,2.65478306642e-22,-1.10128295033e-23,1.09062631503e-22
-0.8,-0.75,3.58864962994e-22,-1.45578099381e-23,1.43893503146e-22
-0.8,-0.7,4.75930355118e-22,-1.88616225818e-23,1.86954440656e-22
-0.8,-0.65,6.17401880197e-22,-2.38849128214e-23,2.38793570446e-22
-0.8,-0.6,7.79779398527e-22,-2.94305622153e-23,2.98925707634e-22
-0.8,-0.55,9.52067629576e-22,-3.50469936147e-23,3.64858481258e-22
-0.8,-0.5,1.11184988582e-21,-3.99245508172e-23,4.30665860836e-22
-0.8,-0.45,1.22576889372e-21,-4.28931895467e-23,4.86749799222e-22
-0.8,-0.4,1.32264072865e-21,-4.48770901327e-23,5.48730795996e-22
-0.8,-0.35,1.41891676504e-21,-4.66991144441e-23,6.29301941389e-22
-0.8,-0.3,1.50423508606e-21,-4.80899628822e-23,7.3409497582e-22
-0.8,-0.25,1.55376740344e-21,-4.83925781086e-23,8.65887810987e-22
-0.8,-0.2,1.51972656686e-21,-4.6343605646e-23,1.01644025701e-21
-0.8,-0.15,1.33546666112e-21,-4.01983288723e-23,1.15275714e-21
-0.8,-0.1,9.57961887669e-22,-2.88711088223e-23,1.20749957794e-21
-0.8,-0.05,4.50333448832e-22,-1.41316815062e-23,1.10041047512e-21
-0.8,0.0,0.0,0.0,1.12572268834e-21
-0.75,-2.0,9.38370357434e-24,-4.88103421582e-25,7.1847414049e-24
-0.75,-1.95,9.60273335624e-24,-4.99623992703e-25,7.22138367271e-24
-0.75,-1.9,9.76763895791e-24,-5.08031124268e-25,7.20871141043e-24
-0.75,-1.85,9.86706894755e-24,-5.12706027419e-25,7.14070159499e-24
-0.75,-1.8,9.8898511252e-24,-5.13052443399e-25,7.01225574839e-24
-0.75,-1.75,9.82597288757e-24,-5.08552320381e-25,6.81989906182e-24
-0.75,-1.7,9.66807102487e-24,-4.98847175643e-25,6.56273004973e-24
-0.75,-1.65,9.41363050094e-24,-4.8385386768e-25,6.24369091162e-24
-0.75,-1.6,9.06816119324e-24,-4.63925978307e-25,5.87124574117e-24
-0.75,-1.55,8.64971287885e-24,-4.40075032112e-25,5.46157407634e-24
-0.75,-1.5,8.19520784602e-24,-4.14269413349e-25,5.04141148418e-24
-0.75,-1.45,7.76922419768e-24,-3.89833085923e-25,4.65169733125e-24
-0.75,-1.4,7.47605846359e-24,-3.71971001894e-25,4.35222288502e-24
-0.75,-1.35,7.47614013607e-24,-3.68453154532e-25,4.22751043415e-24
-0.75,-1.3,8.0081666144e-24,-3.90494062481e-25,4.39419566849e-24
-0.75,-1.25,9.41867007237e-24,-4.5386803263e-25,5.01022951616e-24
-0.75,-1.2,1.22010955261e-23,-5.80300966083e-25,6.28625828615e-24
-0.75,-1.15,1.70468037299e-23,-7.99173438472e-25,8.49957442321e-24
-0.75,-1.1,2.49105863115e-23,-1.14955158736e-24,1.20110381629e-23
-0.75,-1.05,3.70930367829e-23,-1.6825221942e-24,1.72853195649e-23
-0.75,-1.0,5.53409630615e-23,-2.46372962331e-24,2.49146328076e-23
-0.75,-0.95,8.19640229431e-23,-3.57586682625e-24,3.56456916658e-23
-0.75,-0.9,1.19959205774e-22,-5.12061315829e-24,5.04086251853e-23
-0.75,-0.85,1.7312161747e-22,-7.21906004357e-24,7.03444879456e-23
-0.75,-0.8,2.46094967632e-22,-1.00088960623e-23,9.68236509088e-23
-0.75,-0.75,3.44269543781e-22,-1.36353473323e-23,1.31438577423e-22
-0.75,-0.7,4.73356504365e-22,-1.82308447739e-23,1.75937217278e-22
-0.75,-0.65,6.38340554882e-22,-2.38754372459e-23,2.32030601074e-22
-0.75,-0.6,8.41336719988e-22,-3.05264324522e-23,3.00950609719e-22
-0.75,-0.55,1.07771148186e-21,-3.79038774998e-23,3.82545349724e-22
-0.75,-0.5,1.3299286951e-21,-4.53258086316e-23,4.73605219179e-22
-0.75,-0.45,1.55965232857e-21,-5.15223332193e-23,5.65150108722e-22
-0.75,-0.4,1.71876886321e-21,-5.48716976959e-23,6.45659574004e-22
-0.75,-0.35,1.86692192882e-21,-5.73220568696e-23,7.45008884952e-22
-0.75,-0.3,2.01302749858e-21,-5.94951121596e-23,8.79542473646e-22
-0.75,-0.25,2.13109915331e-21,-6.07906060578e-23,1.05968952031e-21
-0.75,-0.2,2.15762642074e-21,-5.97265717092e-23,1.28538022557e-21
