x,y,Rx,Ry,Rz
-1.0,-2.0,2.05699916717e-24,-1.29868548147e-25,2.13616698668e-24
-1.0,-1.95,2.55279972011e-24,-1.59633973625e-25,2.58092800224e-24
-1.0,-1.9,3.16871999115e-24,-1.96211750491e-25,3.1176912071e-24
-1.0,-1.85,3.93401549543e-24,-2.41157143585e-25,3.76538430769e-24
-1.0,-1.8,4.88507749111e-24,-2.96377449191e-25,4.54679750614e-24
-1.0,-1.75,6.06713135521e-24,-3.6420819282e-25,5.48933438765e-24
-1.0,-1.7,7.53630433102e-24,-4.47503588838e-25,6.62588655705e-24
-1.0,-1.65,9.36212167542e-24,-5.49742698634e-25,7.9958410948e-24
-1.0,-1.6,1.16304867275e-23,-6.7515213163e-25,9.64622412162e-24
-1.0,-1.55,1.44471867441e-23,-8.2884498002e-25,1.16329734583e-23
-1.0,-1.5,1.79419355368e-23,-1.01697365308e-24,1.4022316208e-23
-1.0,-1.45,2.22729053677e-23,-1.24689092969e-24,1.68921996805e-23
-1.0,-1.4,2.76315982969e-23,-1.52730823449e-24,2.03336815412e-23
-1.0,-1.35,3.42477379274e-23,-1.8684319648e-24,2.44521204319e-23
-1.0,-1.3,4.2393592998e-23,-2.28204643295e-24,2.9367911801e-23
-1.0,-1.25,5.23867286938e-23,-2.78149405124e-24,3.52163718439e-23
-1.0,-1.2,6.45895597914e-23,-3.38147784317e-24,4.2146167432e-23
-1.0,-1.15,7.94031794644e-23,-4.09757613912e-24,5.03153993751e-23
-1.0,-1.1,9.7251685236e-23,-4.94531281733e-24,5.98840454829e-23
-1.0,-1.05,1.18551576091e-22,-5.9385690256e-24,7.1000938274e-23
-1.0,-1.0,1.43658812284e-22,-7.08705932005e-24,8.37827915624e-23
-1.0,-0.95,1.72784124443e-22,-8.39254283304e-24,9.82820637536e-23
-1.0,-0.9,2.05865972492e-22,-9.84343590857e-24,1.14439856776e-22
-1.0,-0.85,2.42392011478e-22,-1.14076112723e-23,1.32020083e-22
-1.0,-0.8,2.81167439344e-22,-1.30235415731e-23,1.5052277477e-22
-1.0,-0.75,3.20047686556e-22,-1.45907704082e-23,1.69079409936e-22
-1.0,-0.7,3.55690591487e-22,-1.59622011469e-23,1.86344080857e-22
-1.0,-0.65,3.84008463643e-22,-1.6957435192e-23,2.00746000324e-22
-1.0,-0.6,4.10102031524e-22,-1.7790028722e-23,2.15663955273e-22
