x,y,Rx,Ry,Rz
-1.0,-2.0,5.26141044182e-24,-1.83033364906e-25,3.45717339928e-24
-1.0,-1.95,5.52494781291e-24,-1.90477216505e-25,3.52382277974e-24
-1.0,-1.9,5.76894636272e-24,-1.97108395542e-25,3.56974776715e-24
-1.0,-1.85,5.98555109152e-24,-2.02680528422e-25,3.5915339151e-24
-1.0,-1.8,6.16621301362e-24,-2.06932819916e-25,3.58591201457e-24
-1.0,-1.75,6.30205361173e-24,-2.09603019516e-25,3.55000696599e-24
-1.0,-1.7,6.38447096816e-24,-2.1044771865e-25,3.48167676984e-24
-1.0,-1.65,6.40607982061e-24,-2.09272518948e-25,3.37996225507e-24
-1.0,-1.6,6.36210340131e-24,-2.05975234263e-25,3.24567000634e-24
-1.0,-1.55,6.25236457626e-24,-2.00605975402e-25,3.08211166801e-24
-1.0,-1.5,6.08405661041e-24,-1.93448676954e-25,2.89602160719e-24
-1.0,-1.45,5.87550779222e-24,-1.85129284363e-25,2.69867075088e-24
-1.0,-1.4,5.66118534363e-24,-1.76756301504e-25,2.50718589683e-24
-1.0,-1.35,5.4982061338e-24,-1.7009950766e-25,2.34606924417e-24
-1.0,-1.3,5.47462473949e-24,-1.67812094737e-25,2.24889032851e-24
-1.0,-1.25,5.71973858545e-24,-1.7369983063e-25,2.26008986979e-24
-1.0,-1.2,6.41656438132e-24,-1.93037546679e-25,2.43679026482e-24
-1.0,-1.15,7.81647163609e-24,-2.32927514809e-25,2.85044916933e-24
-1.0,-1.1,1.02556713396e-23,-3.02685170858e-25,3.58812065312e-24
-1.0,-1.05,1.41728067251e-23,-4.14224032671e-25,4.75300479927e-24
-1.0,-1.0,2.01262284254e-23,-5.82392358314e-25,6.46387672907e-24
-1.0,-0.95,2.8808608146e-23,-8.25188025125e-25,8.85289991018e-24
-1.0,-0.9,4.10553135516e-23,-1.16374474152e-24,1.20612621831e-23
-1.0,-0.85,5.78414221685e-23,-1.62194268503e-24,1.62320488427e-23
-1.0,-0.8,8.02604438749e-23,-2.22545293224e-24,2.14998144845e-23
-1.0,-0.75,1.09475909245e-22,-2.99998448208e-24,2.79764681488e-23
-1.0,-0.7,1.46635306837e-22,-3.96847841988e-24,3.57333796322e-23
-1.0,-0.65,1.92735048412e-22,-5.14700827126e-24,4.47800787655e-23
-1.0,-0.6,2.4842627117e-22,-6.53923389263e-24,5.50405709903e-23
-1.0,-0.55,3.13756005873e-22,-8.12946804591e-24,6.63291262202e-23
-1.0,-0.5,3.8784889393e-22,-9.87481177067e-24,7.8328375976e-23
-1.0,-0.45,4.68554086075e-22,-1.16974552945e-23,9.05735956176e-23
-1.0,-0.4,5.52112698114e-22,-1.34791408201e-23,1.02448017059e-22
-1.0,-0.35,6.32943085208e-22,-1.50608339475e-23,1.13194696993e-22
-1.0,-0.3,7.03687075069e-22,-1.6251496863e-23,1.21950532289e-22
-1.0,-0.25,7.55690102336e-22,-1.68497778321e-23,1.27807023923e-22
-1.0,-0.2,7.84221764777e-22,-1.67096700411e-23,1.30642425558e-22
-1.0,-0.15,8.06800084434e-22,-1.62055977011e-23,1.33953648891e-22
-1.0,-0.1,8.25818658235e-22,-1.54353282311e-23,1.38514062562e-22
-1.0,-0.05,8.40208871694e-22,-1.43622314851e-23,1.44574125192e-22
-1.0,0.0,8.48381674939e-22,-1.29472246218e-23,1.52296451861e-22
-0.95,-2.0,6.62343162147e-24,-2.30018518346e-25,4.37729733887e-24
-0.95,-1.95,7.02899055238e-24,-2.41727830762e-25,4.50624560046e-24
-0.95,-1.9,7.42341201923e-24,-2.52808971304e-25,4.61426422155e-24
-0.95,-1.85,7.79732688219e-24,-2.62959985646e-25,4.69667285129e-24
-0.95,-1.8,8.13988571188e-24,-2.71841195013e-25,4.74861704095e-24
-0.95,-1.75,8.43892062693e-24,-2.79082697885e-25,4.76527345868e-24
-0.95,-1.7,8.68132100947e-24,-2.84298551483e-25,4.74214862486e-24
-0.95,-1.65,8.85372112235e-24,-2.87110352403e-25,4.67549666834e-24
-0.95,-1.6,8.94362964296e-24,-2.87183722893e-25,4.5628853883e-24
-0.95,-1.55,8.94117018032e-24,-2.84282132974e-25,4.40394298894e-24
-0.95,-1.5,8.84164799177e-24,-2.78343529495e-25,4.20131942098e-24
-0.95,-1.45,8.64921035091e-24,-2.69586349107e-25,3.96189514747e-24
-0.95,-1.4,8.38192356742e-24,-2.58652559952e-25,3.69826474498e-24
-0.95,-1.35,8.0786429817e-24,-2.46796227888e-25,3.43051095719e-24
-0.95,-1.3,7.80809368886e-24,-2.36126446796e-25,3.18826402437e-24
-0.95,-1.25,7.68059375164e-24,-2.29912866754e-25,3.01300827681e-24
-0.95,-1.2,7.86281473224e-24,-2.32959851004e-25,2.96054985763e-24
-0.95,-1.15,8.59585270706e-24,-2.5205058533e-25,3.10349304409e-24
-0.95,-1.1,1.02166302241e-23,-2.9645403418e-25,3.53348602336e-24
-0.95,-1.05,1.31822056356e-23,-3.78473931692e-25,4.36289042473e-24
-0.95,-1.0,1.80958568889e-23,-5.13998150796e-25,5.72540651749e-24
-0.95,-0.95,2.57327480847e-23,-7.22976783977e-25,7.77505764427e-24
-0.95,-0.9,3.70614939951e-23,-1.02971624611e-24,1.06828209259e-23
-0.95,-0.85,5.32559429258e-23,-1.46282367692e-24,1.46301138499e-23
-0.95,-0.8,7.56889844851e-23,-2.05457192589e-24,1.97983454058e-23
-0.95,-0.75,1.05897242577e-22,-2.83938550305e-24,2.63538616559e-23
-0.95,-0.7,1.45502412246e-22,-3.85108419701e-24,3.44279079736e-23
-0.95,-0.65,1.96072344301e-22,-5.11848718755e-24,4.4091736536e-23
-0.95,-0.6,2.58903905136e-22,-6.65901732267e-24,5.53277315407e-23
-0.95,-0.55,3.34712084969e-22,-8.47011739818e-24,6.79983945581e-23
-0.95,-0.5,4.23218886677e-22,-1.0518689976e-23,8.18161682379e-23
-0.95,-0.45,5.22655654354e-22,-1.27295124732e-23,9.63182634842e-23
-0.95,-0.4,6.29229133395e-22,-1.4974758923e-23,1.10851732436e-22
-0.95,-0.35,7.36659086639e-22,-1.70683717877e-23,1.24574816142e-22
-0.95,-0.3,8.3597172591e-22,-1.87707757891e-23,1.36480927329e-22
-0.95,-0.25,9.15810095483e-22,-1.98104610685e-23,1.45451387574e-22
-0.95,-0.2,9.6380298135e-22,-1.99205651014e-23,1.50389293121e-22
-0.95,-0.15,9.94465227254e-22,-1.9273451886e-23,1.54487214157e-22
-0.95,-0.1,1.02086632148e-21,-1.82691285707e-23,1.60330515264e-22
-0.95,-0.05,1.04168253489e-21,-1.68552708703e-23,1.6832594714e-22
-0.95,0.0,1.0548388729e-21,-1.49750072145e-23,1.78779449978e-22
-0.9,-2.0,8.22753075002e-24,-2.84926488551e-25,5.46961866568e-24
-0.9,-1.95,8.81558219226e-24,-3.02057070642e-25,5.68138579001e-24
-0.9,-1.9,9.40705356344e-24,-3.1890365718e-25,5.8740784625e-24
-0.9,-1.85,9.991789705e-24,-3.35126417248e-25,6.04183805474e-24
-0.9,-1.8,1.05573676086e-23,-3.50324343117e-25,6.17826971582e-24
-0.9,-1.75,1.10890113196e-23,-3.64036180434e-25,6.27658378343e-24
-0.9,-1.7,1.15696726051e-23,-3.75746887921e-25,6.32982884501e-24
-0.9,-1.65,1.1980375311e-23,-3.8490237888e-25,6.33124622866e-24
-0.9,-1.6,1.23009589064e-23,-3.90936225073e-25,6.27478167702e-24
-0.9,-1.55,1.25114047091e-23,-3.93313146261e-25,6.15579584896e-24
-0.9,-1.5,1.25939880495e-23,-3.91595473978e-25,5.97202033617e-24
-0.9,-1.45,1.25365717259e-23,-3.85540348545e-25,5.72480887617e-24
-0.9,-1.4,1.23374395723e-23,-3.75237120402e-25,5.42073263405e-24
-0.9,-1.35,1.20121601548e-23,-3.61296141617e-25,5.0735613612e-24
-0.9,-1.3,1.16030615042e-23,-3.45101599218e-25,4.70665567243e-24
-0.9,-1.25,1.11919736734e-23,-3.29141833858e-25,4.35576554488e-24
-0.9,-1.2,1.09169323623e-23,-3.17430040542e-25,4.07218167965e-24
-0.9,-1.15,1.09934960738e-23,-3.1602536554e-25,3.92611455368e-24
-0.9,-1.1,1.17411559414e-23,-3.33657764836e-25,4.01007635453e-24
-0.9,-1.05,1.36149347506e-23,-3.82447616124e-25,4.44191101662e-24
-0.9,-1.0,1.72415788391e-23,-4.78690420987e-25,5.36695881188e-24
-0.9,-0.95,2.34586188141e-23,-6.43644869822e-25,6.95866282115e-24
-0.9,-0.9,3.33528700207e-23,-9.04215584485e-25,9.41674378864e-24
-0.9,-0.85,4.82925174231e-23,-1.29335672747e-24,1.2961919503e-23
-0.9,-0.8,6.9943667764e-23,-1.84993747247e-24,1.78260726808e-23
-0.9,-0.75,1.00258125517e-22,-2.61770668352e-24,2.4236839758e-23
-0.9,-0.7,1.41414307339e-22,-3.6428807905e-24,3.2395873004e-23
-0.9,-0.65,1.95688132244e-22,-4.96977738476e-24,4.24505859936e-23
-0.9,-0.6,2.65226470106e-22,-6.63387048744e-24,5.44600664779e-23
-0.9,-0.55,3.51694330778e-22,-8.65172765811e-24,6.83570130891e-23
-0.9,-0.5,4.55772020255e-22,-1.10076257775e-23,8.39089177703e-23
