x,y,Rx,Ry,Rz
-1.0,-2.0,1.32757259488e-24,3.18357791939e-37,1.00222111913e-24
-1.0,-1.95,1.09404572123e-24,6.4429775203e-38,8.1228870919e-25
-1.0,-1.9,8.43629294567e-25,-1.28311407288e-38,6.15681953631e-25
-1.0,-1.85,5.88270684901e-25,-2.68097946807e-37,4.21765172694e-25
-1.0,-1.8,3.46144007696e-25,-2.1928307581e-37,2.43667611223e-25
-1.0,-1.75,1.43711525945e-25,9.10491547221e-38,9.92750184698e-26
-1.0,-1.7,1.83385944381e-26,-1.74243504664e-38,1.24246598072e-26
-1.0,-1.65,2.15801924508e-26,1.93328068709e-38,1.43321494404e-26
-1.0,-1.6,2.2326926074e-25,6.89347367684e-38,1.45277099674e-25
-1.0,-1.55,7.16542385235e-25,-3.97027808765e-37,4.56569720359e-25
-1.0,-1.5,1.6239300965e-24,-3.62382867839e-37,1.01281008214e-24
-1.0,-1.45,3.10460631839e-24,1.34980960197e-37,1.89443263848e-24
-1.0,-1.4,5.36281724795e-24,-3.70521788686e-37,3.20049608421e-24
-1.0,-1.35,8.65736796878e-24,1.12221828361e-36,5.05162570533e-24
-1.0,-1.3,1.33117959381e-23,-5.82661784811e-37,7.59293165177e-24
-1.0,-1.25,1.9724446164e-23,-1.02281783846e-38,1.09965967376e-23
-1.0,-1.2,2.83770007305e-23,-1.0155743137e-36,1.54636291984e-23
-1.0,-1.15,3.98389924223e-23,-3.53844462584e-36,2.12239776771e-23
-1.0,-1.1,5.47643045586e-23,-9.58073813668e-38,2.85337642481e-23
-1.0,-1.05,7.38734653786e-23,3.99920626894e-37,3.76677511642e-23
-1.0,-1.0,9.79125557965e-23,1.58457556846e-36,4.89042569772e-23
-1.0,-0.95,1.27575792772e-22,1.48025044482e-36,6.24985335416e-23
-1.0,-0.9,1.63374793828e-22,-4.95186178834e-36,7.86391412787e-23
-1.0,-0.85,2.05434629977e-22,-3.64559369098e-36,9.73803677732e-23
-1.0,-0.8,2.53198453e-22,-1.76461905868e-36,1.18542974739e-22
-1.0,-0.75,3.05035520133e-22,2.96839874231e-36,1.41577270619e-22
-1.0,-0.7,3.57783259241e-22,3.11092743235e-36,1.65390099648e-22
-1.0,-0.65,4.06327673802e-22,-4.7734254193e-36,1.88156365603e-22
-1.0,-0.6,4.43447956981e-22,-7.05351711791e-36,2.07172812351e-22
-1.0,-0.55,4.71078849802e-22,-3.33298566206e-36,2.24203729303e-22
-1.0,-0.5,4.98073590939e-22,8.5260992988e-36,2.44224281533e-22
-1.0,-0.45,5.23234774186e-22,6.573401144e-36,2.67965607026e-22
-1.0,-0.4,5.44312549771e-22,2.48157877718e-36,2.96075560683e-22
-1.0,-0.35,5.5731041436e-22,7.64457037118e-36,3.28726235682e-22
-1.0,-0.3,5.55780415432e-22,-2.35319275355e-36,3.64902112839e-22
-1.0,-0.25,5.30763406497e-22,-6.97031415839e-38,4.01314539845e-22
-1.0,-0.2,4.72635255011e-22,-7.83815959708e-37,4.31225740543e-22
-1.0,-0.15,3.76156952726e-22,-3.12865168311e-36,4.44111860986e-22
-1.0,-0.1,2.48088831135e-22,-2.16102697784e-36,4.27718570106e-22
-1.0,-0.05,1.12310948917e-22,3.76984711729e-37,3.73559642403e-22
-1.0,0.0,0.0,0.0,4.01956763945e-22
-0.95,-2.0,2.11357095251e-24,1.91850091193e-38,1.59908163262e-24
-0.95,-1.95,1.86692190835e-24,7.79740759566e-38,1.3886733376e-24
-0.95,-1.9,1.58350690973e-24,-2.59234386498e-38,1.15731605024e-24
-0.95,-1.85,1.27011298001e-24,2.93348403462e-37,9.11521946488e-25
-0.95,-1.8,9.38905789305e-25,-2.28280084575e-37,6.61259466681e-25
-0.95,-1.75,6.09467869631e-25,-4.19414145883e-37,4.2097560666e-25
-0.95,-1.7,3.11449750471e-25,7.09773590931e-38,2.10853891219e-25
-0.95,-1.65,8.79883990977e-26,1.44627274617e-37,5.83498504804e-26
-0.95,-1.6,7.54620846986e-29,1.89171660518e-37,4.89892791199e-29
-0.95,-1.55,1.3208503402e-25,-9.59028041871e-38,8.38933780049e-26
-0.95,-1.5,5.98692127861e-25,3.11399818175e-37,3.71820446809e-25
-0.95,-1.45,1.55342001584e-24,3.10977948865e-37,9.42848745588e-25
-0.95,-1.4,3.19903244665e-24,-3.98583272481e-37,1.89662631594e-24
-0.95,-1.35,5.79991124428e-24,-8.09248652426e-37,3.35742167291e-24
-0.95,-1.3,9.69639214389e-24,3.47138175477e-37,5.47847556766e-24
-0.95,-1.25,1.53207109541e-23,1.69655747659e-36,8.44652879949e-24
