x,y,Rx,Ry,Rz
-1.0,-2.0,1.63160712211e-24,1.23062434711e-37,1.68721213039e-24
-1.0,-1.95,2.07581982195e-24,-3.24756143148e-37,2.08933052547e-24
-1.0,-1.9,2.63478927729e-24,-9.64674489955e-38,2.58019106111e-24
-1.0,-1.85,3.33764399875e-24,4.31985564349e-37,3.17878232959e-24
-1.0,-1.8,4.22084937122e-24,1.22032155238e-37,3.90808493176e-24
-1.0,-1.75,5.3300089083e-24,1.86426057201e-38,4.79587096481e-24
-1.0,-1.7,6.72207384363e-24,-3.36181052842e-37,5.8756418492e-24
-1.0,-1.65,8.46803322933e-24,4.06165440633e-37,7.18771759445e-24
-1.0,-1.6,1.06561572461e-23,6.33418115594e-37,8.78048589977e-24
-1.0,-1.55,1.33958578593e-23,-4.08461328037e-37,1.07118105507e-23
-1.0,-1.5,1.6822206477e-23,-1.20465212085e-37,1.3050583149e-23
-1.0,-1.45,2.11010973297e-23,-1.30493648266e-36,1.58783770054e-23
-1.0,-1.4,2.64349518662e-23,1.42012115371e-36,1.92911222485e-23
-1.0,-1.35,3.30686996985e-23,9.077250029e-37,2.34006599797e-23
-1.0,-1.3,4.12955108615e-23,-4.12249542253e-37,2.83359408381e-23
-1.0,-1.25,5.14613434555e-23,2.21323545741e-38,3.42434959213e-23
-1.0,-1.2,6.39667438139e-23,-4.60233588996e-37,4.1286606893e-23
-1.0,-1.15,7.92634088775e-23,3.19449773386e-37,4.96423127347e-23
-1.0,-1.1,9.78416967306e-23,-2.0603293563e-37,5.94949830434e-23
-1.0,-1.05,1.20203468205e-22,1.83450587125e-36,7.10246309163e-23
-1.0,-1.0,1.46812350817e-22,-1.24308527599e-36,8.43874126053e-23
-1.0,-0.95,1.78010934467e-22,6.02964317125e-36,9.96848891192e-23
-1.0,-0.9,2.13892205665e-22,4.78417017235e-37,1.16917739254e-22
-1.0,-0.85,2.54112310814e-22,-2.10092064561e-36,1.35919087427e-22
-1.0,-0.8,2.97636771101e-22,6.19430421586e-37,1.56263286213e-22
-1.0,-0.75,3.42428303374e-22,1.75635386402e-36,1.77149522039e-22
-1.0,-0.7,3.85119939601e-22,6.97132434885e-36,1.97268787292e-22
-1.0,-0.65,4.20781219968e-22,3.87766198978e-36,2.14681438103e-22
-1.0,-0.6,4.50318265726e-22,-3.16180429722e-36,2.30698850737e-22
-1.0,-0.55,4.79913338651e-22,8.35601995992e-36,2.49198997638e-22
-1.0,-0.5,5.08748148232e-22,-9.89527471102e-37,2.70819127449e-22
-1.0,-0.45,5.35341067634e-22,1.71273200335e-37,2.96229691869e-22
-1.0,-0.4,5.57074358576e-22,8.97875645937e-36,3.25926602953e-22
-1.0,-0.35,5.6956234076e-22,1.12973272309e-35,3.59824374156e-22
-1.0,-0.3,5.66105280293e-22,4.55283655753e-36,3.96542839432e-22
-1.0,-0.25,5.37887524219e-22,7.69581457804e-37,4.32392769903e-22
-1.0,-0.2,4.7605430458e-22,3.00439825681e-36,4.60385296795e-22
-1.0,-0.15,3.7665394792e-22,2.30874437341e-36,4.70159521395e-22
-1.0,-0.1,2.47508259746e-22,-9.50910644968e-37,4.50179417966e-22
-1.0,-0.05,1.12246292264e-22,3.6596445219e-38,3.92939332231e-22
-1.0,0.0,0.0,0.0,4.26386741632e-22
-0.95,-2.0,1.14166396457e-24,-3.08016254114e-37,1.19091421125e-24
-0.95,-1.95,1.4875196414e-24,-7.95668478431e-38,1.5092040434e-24
-0.95,-1.9,1.93041497027e-24,-3.58190003468e-37,1.90407367459e-24
-0.95,-1.85,2.49679074196e-24,-1.23080514824e-36,2.39313523008e-24
-0.95,-1.8,3.22024019252e-24,5.1294716379e-37,2.997987797e-24
-0.95,-1.75,4.1434170796e-24,3.32708523143e-37,3.74509231557e-24
-0.95,-1.7,5.32043003959e-24,7.33754134865e-37,4.66682228408e-24
-0.95,-1.65,6.81983219517e-24,1.29745188972e-36,5.80271736052e-24
-0.95,-1.6,8.72833024068e-24,1.12756196155e-36,7.20096682856e-24
-0.95,-1.55,1.11553485115e-23,3.47597352958e-37,8.92014690686e-24
-0.95,-1.5,1.42385854244e-23,3.52499072565e-37,1.10312280999e-23
-0.95,-1.45,1.81506830681e-23,9.47730840913e-37,1.36198532921e-23
-0.95,-1.4,2.3107080806e-23,1.17621755535e-36,1.67888596536e-23
-0.95,-1.35,2.93750169806e-23,5.08860484211e-37,2.06609709902e-23
-0.95,-1.3,3.72834424817e-23,8.41878952154e-37,2.53815119761e-23
-0.95,-1.25,4.72332602173e-23,-2.2899180967e-37,3.1120876901e-23
-0.95,-1.2,5.97067223949e-23,6.73957747429e-37,3.80763012646e-23
-0.95,-1.15,7.52738836024e-23,2.18304453805e-36,4.64722029046e-23
-0.95,-1.1,9.45925580805e-23,1.34176251662e-36,5.65579351433e-23
-0.95,-1.05,1.18396055828e-22,-4.28013105169e-36,6.8601166192e-23
-0.95,-1.0,1.47459846067e-22,-2.51675177221e-36,8.28741896533e-23
-0.95,-0.95,1.825340562e-22,6.84725459354e-37,9.96291996849e-23
-0.95,-0.9,2.2422348494e-22,-2.05996201432e-36,1.19056887982e-22
-0.95,-0.85,2.7279149094e-22,3.15188606364e-36,1.41220739479e-22
-0.95,-0.8,3.27861355831e-22,2.10808381431e-36,1.65957607079e-22
-0.95,-0.75,3.879945672e-22,-5.07372749174e-36,1.92734889842e-22
-0.95,-0.7,4.50151707038e-22,-4.06307785652e-36,2.20458981621e-22
-0.95,-0.65,5.09107474324e-22,-5.57817987213e-36,2.47244452601e-22
-0.95,-0.6,5.57034780044e-22,-1.82973042545e-36,2.70197839601e-22
-0.95,-0.55,5.97714196902e-22,7.58744869257e-36,2.92462791076e-22
-0.95,-0.5,6.38387704576e-22,2.05289068112e-36,3.18716487483e-22
-0.95,-0.45,6.77590885098e-22,2.89006306409e-36,3.50060686834e-22
-0.95,-0.4,7.12537304346e-22,7.35381919035e-36,3.87586660575e-22
-0.95,-0.35,7.38118891763e-22,-1.08342008237e-35,4.31922227262e-22
-0.95,-0.3,7.45689160843e-22,3.88758022336e-36,4.82281117207e-22
