x,y,Rx,Ry,Rz
-1.0,-2.0,1.79961748969e-23,-4.87092601763e-37,5.98979600231e-25
-1.0,-1.95,1.97681206274e-23,-7.04650892161e-37,6.80495640985e-25
-1.0,-1.9,2.16887215707e-23,1.41607465216e-37,7.72014279471e-25
-1.0,-1.85,2.37594041224e-23,4.43852432369e-37,8.74260892902e-25
-1.0,-1.8,2.59773528058e-23,-2.68262963715e-37,9.87812380786e-25
-1.0,-1.75,2.83339569414e-23,-4.51095957128e-37,1.11300097733e-24
-1.0,-1.7,3.08129020484e-23,6.60756394857e-38,1.24978784082e-24
-1.0,-1.65,3.33878787503e-23,4.380323578e-37,1.39760143623e-24
-1.0,-1.6,3.60199101298e-23,-5.78718598195e-37,1.55513702445e-24
-1.0,-1.55,3.8654348317e-23,-1.74625195944e-37,1.72011654102e-24
-1.0,-1.5,4.12176721815e-23,-1.01485110917e-36,1.88901368403e-24
-1.0,-1.45,4.36143421093e-23,-5.03591422619e-37,2.05675828071e-24
-1.0,-1.4,4.57241483047e-23,-3.76146712826e-37,2.2164483113e-24
-1.0,-1.35,4.74007386604e-23,3.2066659371e-37,2.35911867642e-24
-1.0,-1.3,4.8472339181e-23,-6.66151730256e-37,2.47364381178e-24
-1.0,-1.25,4.87460805487e-23,-4.38238987666e-37,2.54688625193e-24
-1.0,-1.2,4.8017791723e-23,-1.55625579733e-36,2.56424237234e-24
-1.0,-1.15,4.60895492297e-23,7.30321783196e-38,2.51077257618e-24
-1.0,-1.1,4.27975539703e-23,-3.55047507584e-37,2.37312232692e-24
-1.0,-1.05,3.80528435856e-23,-1.42537873587e-36,2.14242024832e-24
-1.0,-1.0,3.18966497651e-23,-2.70811398733e-37,1.81824857479e-24
-1.0,-0.95,2.4570521791e-23,-4.42681529793e-37,1.41358248979e-24
-1.0,-0.9,1.65983062634e-23,-5.45525806053e-37,9.6025606211e-25
-1.0,-0.85,8.87248346143e-24,1.94512172637e-36,5.14026161327e-25
-1.0,-0.8,2.73135193072e-24,-7.52471356926e-37,1.57719183773e-25
-1.0,-0.75,6.87712722464e-27,-3.03550394381e-37,3.93678912554e-28
-1.0,-0.7,3.01725670429e-24,1.01415086351e-37,1.70177356953e-25
-1.0,-0.65,1.44758211755e-23,-1.47212300341e-36,7.98768233128e-25
-1.0,-0.6,3.72916684622e-23,-4.7219516237e-37,1.99685270831e-24
-1.0,-0.55,7.42499245695e-23,-1.20791228097e-36,3.82204456191e-24
-1.0,-0.5,1.27581620173e-22,5.40993724317e-36,6.24416730145e-24
-1.0,-0.45,1.98462937816e-22,-2.10973685324e-36,9.11603625154e-24
-1.0,-0.4,2.86515632818e-22,1.8860255846e-36,1.2160094354e-23
-1.0,-0.35,3.89406422271e-22,-6.46613728448e-37,1.4980879845e-23
-1.0,-0.3,5.02653515997e-22,-1.162848603e-35,1.71093124665e-23
-1.0,-0.25,6.19735100129e-22,1.13692344244e-36,1.80771925891e-23
-1.0,-0.2,7.32553643964e-22,6.07712212276e-36,1.75106266103e-23
-1.0,-0.15,8.32244305976e-22,-1.22885077409e-35,1.52222427624e-23
-1.0,-0.1,9.10236588406e-22,1.01992502033e-36,1.12775975951e-23
-1.0,-0.05,9.59404604656e-22,-8.63069992893e-37,6.01392801941e-24
-1.0,0.0,9.75095899728e-22,5.88757365869e-36,1.53049364477e-35
-0.95,-2.0,1.91862683307e-23,2.66274151251e-37,1.04419341992e-25
-0.95,-1.95,2.1190964728e-23,-3.78046559653e-38,1.47435425042e-25
-0.95,-1.9,2.33875018845e-23,-3.57498367388e-38,1.99689899901e-25
-0.95,-1.85,2.57843799164e-23,-3.74958591095e-37,2.62613558535e-25
-0.95,-1.8,2.83865961619e-23,4.90189179899e-37,3.37715335356e-25
-0.95,-1.75,3.11939714995e-23,-7.65965435143e-38,4.26523844177e-25
-0.95,-1.7,3.41990029566e-23,-6.22558568174e-37,5.30495959883e-25
-0.95,-1.65,3.73841651141e-23,-3.3773077684e-37,6.50882081272e-25
-0.95,-1.6,4.07185975718e-23,-5.97160313767e-38,7.88536453443e-25
-0.95,-1.55,4.41541521816e-23,-6.59596971718e-37,9.43660728344e-25
-0.95,-1.5,4.76208443383e-23,-2.74002682224e-37,1.11547083538e-24
-0.95,-1.45,5.10218743219e-23,-1.69183942797e-37,1.301782777e-24
-0.95,-1.4,5.42285792271e-23,-1.87459206532e-38,1.49852434777e-24
-0.95,-1.35,5.70759689302e-23,-8.32580608168e-37,1.699199836e-24
-0.95,-1.3,5.9359916683e-23,-2.74817722253e-37,1.89436677275e-24
-0.95,-1.25,6.0837634842e-23,-1.82557486925e-37,2.07123076325e-24
-0.95,-1.2,6.12337658757e-23,-1.41572452933e-36,2.21352769657e-24
-0.95,-1.15,6.02552101523e-23,1.71925232357e-36,2.30193921434e-24
-0.95,-1.1,5.76185687332e-23,-2.42638564399e-36,2.31536597277e-24
-0.95,-1.05,5.30945555875e-23,-2.39690644972e-37,2.2334391867e-24
-0.95,-1.0,4.65735258386e-23,-1.52384934662e-36,2.0406407497e-24
-0.95,-0.95,3.8154802088e-23,1.92808624184e-37,1.73226176011e-24
-0.95,-0.9,2.82590720409e-23,1.69600646361e-36,1.3220806561e-24
-0.95,-0.85,1.77571475351e-23,-1.4099159342e-36,8.51017232925e-25
-0.95,-0.8,8.09957834816e-24,-1.04652287591e-36,3.95106137031e-25
-0.95,-0.75,1.42064122878e-24,5.88470379943e-37,7.00472018078e-26
-0.95,-0.7,5.7910966181e-25,2.01678498183e-36,2.86409424127e-26
-0.95,-0.65,9.09066512207e-24,-1.12835978242e-36,4.47138571694e-25
-0.95,-0.6,3.09078779372e-23,1.13517856801e-36,1.49759428982e-24
-0.95,-0.55,7.00184275685e-23,1.02070562205e-36,3.30624837483e-24
-0.95,-0.5,1.29863490071e-22,-2.4071001898e-36,5.90281000676e-24
-0.95,-0.45,2.12624100787e-22,4.8571793918e-37,9.17133580706e-24
-0.95,-0.4,3.18475606247e-22,6.18548800823e-36,1.28182453102e-23
-0.95,-0.35,4.44955171614e-22,-6.21386517654e-36,1.63742739778e-23
-0.95,-0.3,5.86608386333e-22,-2.95857234423e-36,1.92426142906e-23
-0.95,-0.25,7.35064565229e-22,-5.12846144745e-36,2.07945874983e-23
-0.95,-0.2,8.79630308232e-22,-9.28824208142e-36,2.04990005268e-23
-0.95,-0.15,1.00839249926e-21,1.08724043901e-35,1.80565482592e-23
-0.95,-0.1,1.10970305571e-21,-2.95820500224e-36,1.35021798403e-23
-0.95,-0.05,1.17380724391e-21,-6.07712212276e-36,7.24116554094e-24
-0.95,0.0,1.1943093926e-21,4.40828748658e-36,1.02032909651e-35
-0.9,-2.0,2.02923925633e-23,-6.38314095483e-38,-5.29397134616e-25
-0.9,-1.95,2.25295447714e-23,1.62620574681e-37,-5.45744040113e-25
-0.9,-1.9,2.50053549592e-23,-6.29015751497e-38,-5.56408365651e-25
-0.9,-1.85,2.77369911736e-23,-8.74216526239e-38,-5.59476608829e-25
-0.9,-1.8,3.07393593915e-23,1.07791913615e-37,-5.52685896443e-25
-0.9,-1.75,3.40234293147e-23,-2.62844669441e-37,-5.33413572482e-25
-0.9,-1.7,3.75939808324e-23,-9.00475738422e-37,-4.98692404131e-25
-0.9,-1.65,4.14466350857e-23,1.10625038672e-36,-4.45265627039e-25
-0.9,-1.6,4.5564027832e-23,1.57474917037e-37,-3.69700507735e-25
-0.9,-1.55,4.99109945378e-23,-4.76832854926e-37,-2.68583818093e-25
-0.9,-1.5,5.44286807523e-23,1.31439553876e-37,-1.3882676343e-25
-0.9,-1.45,5.9027589343e-23,-1.49240716863e-36,2.18910794685e-26
-0.9,-1.4,6.35797586505e-23,-1.05966683129e-37,2.14512017454e-25
-0.9,-1.35,6.79105732268e-23,-3.85192509198e-37,4.37809536121e-25
-0.9,-1.3,7.17911914255e-23,-4.0001246239e-37,6.87427884305e-25
-0.9,-1.25,7.49332849194e-23,-1.60050902704e-36,9.54811927244e-25
-0.9,-1.2,7.69887662003e-23,-1.22841455548e-36,1.22616662858e-24
-0.9,-1.15,7.75584330349e-23,1.06749580734e-36,1.48170201643e-24
-0.9,-1.1,7.62148960509e-23,-1.22708294079e-36,1.69557237097e-24
-0.9,-1.05,7.25465273735e-23,2.89212936276e-37,1.83709071532e-24
-0.9,-1.0,6.62299729332e-23,-1.73798676479e-36,1.87394569531e-24
-0.9,-0.95,5.71381751777e-23,-7.47150637867e-37,1.77817927471e-24
-0.9,-0.9,4.5487680824e-23,-1.35636436051e-36,1.53546269635e-24
-0.9,-0.85,3.20219028497e-23,-3.01266345146e-37,1.15756286849e-24
-0.9,-0.8,1.82148825385e-23,-1.01891482987e-36,6.96672884255e-25
-0.9,-0.75,6.46296968137e-24,6.58196480401e-37,2.58479882404e-25
-0.9,-0.7,2.11920578581e-25,-2.97734983333e-37,8.75876928098e-27
-0.9,-0.65,3.94957531522e-24,-5.35550175282e-37,1.66667047001e-25
-0.9,-0.6,2.29880699331e-23,-1.30245692426e-37,9.77984450711e-25
-0.9,-0.55,6.29743860344e-23,-3.64329780358e-36,2.6646281495e-24
-0.9,-0.5,1.29111221116e-22,7.95690289362e-36,5.35361327062e-24
-0.9,-0.45,2.2514109291e-22,4.44483801405e-38,8.998411822e-24
-0.9,-0.4,3.52232905101e-22,2.73908550841e-36,1.33154406753e-23
-0.9,-0.35,5.07988176554e-22,-5.37733564204e-36,1.77635088487e-23
-0.9,-0.3,6.85824859174e-22,6.68746083022e-37,2.158984608e-23
-0.9,-0.25,8.74976159313e-22,2.99108210987e-36,2.39508242016e-23
-0.9,-0.2,1.06125074183e-21,-2.07640056813e-36,2.40914120279e-23
-0.9,-0.15,1.22854992184e-21,-1.27104000103e-35,2.15424354801e-23
-0.9,-0.1,1.36095749001e-21,-6.07950984566e-36,1.62790812475e-23
-0.9,-0.05,1.44505374111e-21,-1.69509958808e-35,8.78636318433e-24
-0.9,0.0,1.47200686261e-21,4.36108404155e-36,1.8619830517e-35
-0.85,-2.0,2.12830334441e-23,-2.1150575723e-37,-1.31664701363e-24
-0.85,-1.95,2.37452868127e-23,6.59585492281e-37,-1.41745388651e-24
-0.85,-1.9,2.64953610475e-23,-5.18319540316e-37,-1.52001799345e-24
-0.85,-1.85,2.95605724782e-23,-2.34117378299e-37,-1.62241014482e-24
-0.85,-1.8,3.29677715819e-23,2.98379266736e-37,-1.72207650069e-24
-0.85,-1.75,3.67418311184e-23,-6.93817173474e-38,-1.81572818183e-24
-0.85,-1.7,4.09034814371e-23,-2.57787977434e-37,-1.8992349857e-24
-0.85,-1.65,4.54662958359e-23,-7.98670351212e-37,-1.96753742199e-24
-0.85,-1.6,5.04325943274e-23,9.45228323643e-37,-2.01459880692e-24
-0.85,-1.55,5.57880090126e-23,-3.65241247657e-37,-2.03342893233e-24
-0.85,-1.5,6.14944527984e-23,-1.33221162502e-36,-2.01622275381e-24
-0.85,-1.45,6.74812792464e-23,1.68537650493e-36,-1.95467080633e-24
-0.85,-1.4,7.36345523611e-23,4.7943868713e-37,-1.84051053146e-24
-0.85,-1.35,7.97846167403e-23,3.03286726062e-38,-1.66639509679e-24
-0.85,-1.3,8.56926483238e-23,2.60801329652e-37,-1.42715104239e-24
-0.85,-1.25,9.10376734152e-23,-3.11758550582e-37,-1.121466185e-24
-0.85,-1.2,9.54067805769e-23,9.20214630377e-37,-7.53977491202e-25
-0.85,-1.15,9.8293012325e-23,1.41311869713e-36,-3.37593708933e-25
-0.85,-1.1,9.91077307639e-23,3.67681775968e-36,1.04331602996e-25
-0.85,-1.05,9.72169383974e-23,-5.87907887529e-37,5.366738243e-25
-0.85,-1.0,9.20135887777e-23,-9.01916407768e-37,9.13138210525e-25
-0.85,-0.95,8.30392751908e-23,1.81809027631e-36,1.18023402613e-24
-0.85,-0.9,7.01670482535e-23,-3.50476395763e-36,1.28622591584e-24
-0.85,-0.85,5.38499923847e-23,-3.08670582024e-36,1.19630393174e-24
-0.85,-0.8,3.54248761043e-23,7.62372371356e-37,9.13930743203e-25
-0.85,-0.75,1.74349938392e-23,1.12748734521e-36,5.05788292482e-25
-0.85,-0.7,3.90266184953e-24,2.35659066691e-36,1.24000529398e-25
-0.85,-0.65,4.46697539704e-25,6.03341990602e-37,1.51939360809e-26
-0.85,-0.6,1.41174919632e-23,-2.84896667956e-37,5.03409093646e-25
-0.85,-0.55,5.28308746529e-23,2.70547371681e-36,1.93569142105e-24
-0.85,-0.5,1.24338916812e-22,-3.52478409579e-36,4.58786220233e-24
-0.85,-0.45,2.34785516134e-22,2.94736841369e-36,8.54368495009e-24
-0.85,-0.4,3.87039059558e-22,4.07290425461e-37,1.35793897425e-23
-0.85,-0.35,5.79132062136e-22,-2.86104304731e-36,1.9099031859e-23
-0.85,-0.3,8.03215053124e-22,-3.68186871197e-36,2.416487768e-23
-0.85,-0.25,1.04540541966e-21,-6.50378983791e-36,2.76453920619e-23
-0.85,-0.2,1.28676757848e-21,-3.89639643099e-36,2.84647277254e-23
-0.85,-0.15,1.50542298817e-21,-2.75991379894e-35,2.58948463385e-23
-0.85,-0.1,1.67951318689e-21,-2.22252920962e-35,1.98026732866e-23
-0.85,-0.05,1.79049865943e-21,6.7120727432e-36,1.07652304443e-23
-0.85,0.0,1.82614144264e-21,6.4872594486e-36,3.76158192263e-37
-0.8,-2.0,2.2126735275e-23,3.60310829457e-37,-2.26882190529e-24
-0.8,-1.95,2.47987755453e-23,1.05696916359e-37,-2.48327337404e-24
-0.8,-1.9,2.78084172695e-23,1.71525747949e-37,-2.71201101994e-24
-0.8,-1.85,3.11943368708e-23,3.2760017367e-37,-2.95387103012e-24
-0.8,-1.8,3.49971094406e-23,-1.3569842501e-37,-3.20685368739e-24
-0.8,-1.75,3.92580599978e-23,9.83213780741e-37,-3.46789014548e-24
-0.8,-1.7,4.40174430714e-23,1.85869304505e-37,-3.73257488999e-24
-0.8,-1.65,4.93116990983e-23,9.24697350533e-37,-3.99487146119e-24
-0.8,-1.6,5.5169468204e-23,9.91444537085e-37,-4.24680813125e-24
-0.8,-1.55,6.16059692876e-23,1.22367354799e-36,-4.47819389698e-24
-0.8,-1.5,6.86152859782e-23,2.76780705983e-37,-4.67640461353e-24
-0.8,-1.45,7.61600627591e-23,-3.88693737489e-38,-4.82631531513e-24
-0.8,-1.4,8.41581434925e-23,6.6910194557e-37,-4.91048774104e-24
-0.8,-1.35,9.24658461728e-23,-2.10418080572e-38,-4.90975960748e-24
-0.8,-1.3,1.00857964675e-22,-9.28502783905e-37,-4.80441784672e-24
-0.8,-1.25,1.09005371218e-22,-5.06243172571e-37,-4.57615835399e-24
-0.8,-1.2,1.16452465205e-22,7.82254756274e-37,-4.2110154149e-24
-0.8,-1.15,1.2259891611e-22,-3.43042312349e-36,-3.70334631227e-24
-0.8,-1.1,1.26693403401e-22,7.48160828325e-37,-3.06072707281e-24
-0.8,-1.05,1.27851439827e-22,2.11680818644e-37,-2.30919286725e-24
-0.8,-1.0,1.25114554385e-22,2.93026405254e-36,-1.4975969509e-24
-0.8,-0.95,1.175730026e-22,1.25497797275e-36,-6.98989459964e-25
-0.8,-0.9,1.04576390836e-22,1.44043975724e-37,-6.00994171777e-27
-0.8,-0.85,8.60521304233e-23,6.79100535214e-37,4.83218226169e-25
-0.8,-0.8,6.29350145745e-23,-2.18315933242e-36,6.91548431418e-25
-0.8,-0.75,3.76770375939e-23,6.36275347468e-36,6.01691086589e-25
-0.8,-0.7,1.47530250268e-23,-3.33592439794e-37,3.01901022398e-25
-0.8,-0.65,1.01180757842e-24,1.62089650719e-38,2.46600835905e-26
-0.8,-0.6,5.66555583082e-24,-2.53116994511e-36,1.56365258642e-25
-0.8,-0.55,3.96963012928e-23,-1.92349446703e-36,1.19303895184e-24
-0.8,-0.5,1.14526586968e-22,8.45102378069e-36,3.62562254586e-24
-0.8,-0.45,2.39969815365e-22,3.20028337011e-36,7.76210184159e-24
-0.8,-0.4,4.21721546165e-22,-2.62967269829e-35,1.35283522659e-23
-0.8,-0.35,6.58901210904e-22,3.4228926128e-36,2.0320935958e-23
-0.8,-0.3,9.42301447431e-22,8.43086588929e-36,2.69933651724e-23
-0.8,-0.25,1.25396539023e-21,-9.52223892563e-36,3.2028426844e-23
-0.8,-0.2,1.56847054717e-21,1.54999950415e-35,3.38859015662e-23
-0.8,-0.15,1.85590844246e-21,2.14211804918e-35,3.14401905102e-23
-0.8,-0.1,2.08612204163e-21,-6.25142589447e-36,2.43694742585e-23
-0.8,-0.05,2.23341854238e-21,2.83845151525e-36,1.33546762162e-23
-0.8,0.0,2.28080809186e-21,-4.79814753487e-35,6.55455650019e-35
-0.75,-2.0,2.27938289719e-23,-1.28813632658e-37,-3.39364861991e-24
-0.75,-1.95,2.56518338817e-23,2.00915976579e-37,-3.75454249487e-24
-0.75,-1.9,2.88957004109e-23,-2.3527106172e-37,-4.14858188632e-24
-0.75,-1.85,3.25762333178e-23,7.03812893259e-37,-4.57652366446e-24
-0.75,-1.8,3.67490233293e-23,1.6793842388e-37,-5.03824062208e-24
-0.75,-1.75,4.14738865817e-23,-3.43464755631e-38,-5.53236257701e-24
-0.75,-1.7,4.68136909446e-23,1.79383422589e-37,-6.05582836705e-24
-0.75,-1.65,5.28322821477e-23,3.24202260312e-37,-6.60334052312e-24
-0.75,-1.6,5.9591120737e-23,1.11246076215e-36,-7.16672178858e-24
-0.75,-1.55,6.7144115339e-23,6.51458050871e-37,-7.73418636906e-24
-0.75,-1.5,7.55299920507e-23,-5.26102598615e-37,-8.2895618838e-24
-0.75,-1.45,8.4761387395e-23,9.56007515005e-38,-8.81153420524e-24
-0.75,-1.4,9.48097247598e-23,-1.19436654528e-36,-9.27304078299e-24
-0.75,-1.35,1.0558489476e-22,-8.91952256434e-39,-9.64101190001e-24
-0.75,-1.3,1.16908922827e-22,2.07435722834e-36,-9.87675361367e-24
-0.75,-1.25,1.28483364223e-22,1.82224583251e-37,-9.93737317796e-24
-0.75,-1.2,1.39851415711e-22,-9.00676628569e-37,-9.77874468102e-24
-0.75,-1.15,1.50358099315e-22,-1.41061617986e-36,-9.36055080434e-24
-0.75,-1.1,1.5911589145e-22,5.70206595645e-37,-8.65382904595e-24
-0.75,-1.05,1.64989373754e-22,3.34845994316e-36,-7.65106368599e-24
-0.75,-1.0,1.66621107933e-22,-1.80135325714e-36,-6.37802728233e-24
-0.75,-0.95,1.62531334578e-22,-2.00986575117e-36,-4.90513317849e-24
-0.75,-0.9,1.51333758853e-22,-1.63058515203e-36,-3.35400922903e-24
-0.75,-0.85,1.32113046892e-22,-2.41642149266e-36,-1.89272856975e-24
-0.75,-0.8,1.0499726777e-22,-6.94092679962e-37,-7.11720501615e-25
-0.75,-0.75,7.19180340571e-23,2.56184300082e-36,2.61963615434e-26
-0.75,-0.7,3.74721650678e-23,3.94651565302e-36,2.6146418742e-25
-0.75,-0.65,9.68320494442e-24,-2.54908934629e-36,1.25239379573e-25
-0.75,-0.6,3.36675662433e-25,-2.74308609221e-36,6.09565913224e-27
-0.75,-0.55,2.44905451305e-23,1.7049948628e-36,5.47901161781e-25
-0.75,-0.5,9.88235948038e-23,5.32269352182e-36,2.53238208317e-24
-0.75,-0.45,2.38738395789e-22,2.8158599832e-36,6.63164087823e-24
-0.75,-0.4,4.54560397302e-22,-1.08136296726e-35,1.3077613325e-23
-0.75,-0.35,7.4763514471e-22,1.16853322021e-35,2.13639488996e-23
