x,y,Rx,Ry,Rz
-1.0,-2.0,1.30112000872e-23,-3.92898081297e-38,-5.9529357673e-24
-1.0,-1.95,1.48477735503e-23,-1.30135202845e-37,-6.18325892226e-24
-1.0,-1.9,1.69089307127e-23,4.37633447363e-37,-6.38688491561e-24
-1.0,-1.85,1.92087404447e-23,-1.82876041302e-37,-6.55569966478e-24
-1.0,-1.8,2.17573860761e-23,4.57771249755e-38,-6.68089955589e-24
-1.0,-1.75,2.4559144696e-23,-5.32301494606e-38,-6.75318988665e-24
-1.0,-1.7,2.76098450233e-23,-1.95491942587e-37,-6.76307851144e-24
-1.0,-1.65,3.08937495465e-23,-4.22695829941e-37,-6.70128183378e-24
-1.0,-1.6,3.4379837606e-23,4.64039022368e-37,-6.55925845953e-24
-1.0,-1.55,3.80175226936e-23,-1.73224704628e-37,-6.32988114609e-24
-1.0,-1.5,4.17319306983e-23,1.65261419167e-36,-6.00824879002e-24
-1.0,-1.45,4.54190098938e-23,-3.2832911792e-37,-5.59262536215e-24
-1.0,-1.4,4.8940953636e-23,1.99604450899e-37,-5.08546991571e-24
-1.0,-1.35,5.21227078703e-23,3.41524730775e-37,-4.49448902397e-24
-1.0,-1.3,5.47507172581e-23,-3.08372116662e-37,-3.83359874374e-24
-1.0,-1.25,5.65755321898e-23,2.38244235908e-37,-3.12362749227e-24
-1.0,-1.2,5.7320424235e-23,5.77059819546e-37,-2.3925272889e-24
-1.0,-1.15,5.66986659219e-23,-2.50934753533e-36,-1.67479737395e-24
-1.0,-1.1,5.44424832279e-23,-1.80067597035e-36,-1.00977831714e-24
-1.0,-1.05,5.03466616647e-23,5.92120840916e-37,-4.38474331821e-25
-1.0,-1.0,4.4329061733e-23,-9.98561788037e-37,1.35368692915e-27
-1.0,-0.95,3.65084869136e-23,4.9438491413e-37,2.81864139281e-25
-1.0,-0.9,2.7297059453e-23,1.0416211563e-36,3.93224732917e-25
-1.0,-0.85,1.7499260318e-23,-4.71093136416e-37,3.52172666626e-25
-1.0,-0.8,8.40322756543e-24,-1.7596025447e-36,2.09362449418e-25
-1.0,-0.75,1.84259057114e-24,-1.12245935179e-37,5.30754649626e-26
-1.0,-0.7,2.0073948956e-25,3.04374402719e-37,6.38812590108e-27
-1.0,-0.65,6.3265737271e-24,4.39237698687e-37,2.15061366268e-25
-1.0,-0.6,2.33345158815e-23,2.00502142874e-36,8.24611294157e-25
-1.0,-0.55,5.42745850934e-23,6.93107744266e-36,1.94746561938e-24
-1.0,-0.5,1.01681568742e-22,-4.67277371551e-36,3.62461698313e-24
-1.0,-0.45,1.67043832721e-22,-8.03459572337e-36,5.7899864187e-24
-1.0,-0.4,2.50266497714e-22,1.4557762851e-36,8.24847921457e-24
-1.0,-0.35,3.4923192264e-22,-3.53254419521e-36,1.06788816244e-23
-1.0,-0.3,4.59572677442e-22,2.96711304537e-36,1.2669108641e-23
-1.0,-0.25,5.74759740124e-22,-1.43827243953e-35,1.37837469384e-23
-1.0,-0.2,6.86566974036e-22,5.29266331458e-36,1.36537915244e-23
-1.0,-0.15,7.85904292742e-22,2.59931188326e-36,1.20689275737e-23
-1.0,-0.1,8.63927260194e-22,2.05338659279e-35,9.04740866628e-24
-1.0,-0.05,9.13250016454e-22,1.9790916764e-35,4.86065202714e-24
-1.0,0.0,9.29036717951e-22,-1.22763854554e-35,1.4294011306e-35
-0.95,-2.0,1.32345859058e-23,-7.24689684409e-38,-7.1178600076e-24
-0.95,-1.95,1.52040341334e-23,-3.54284125022e-38,-7.47518108837e-24
-0.95,-1.9,1.74393935963e-23,1.57972837618e-37,-7.81449900404e-24
-0.95,-1.85,1.99643095996e-23,1.44942241671e-38,-8.1265170278e-24
-0.95,-1.8,2.28000123228e-23,-2.80985049792e-37,-8.40063978939e-24
-0.95,-1.75,2.59632587969e-23,1.0261181766e-37,-8.62506286754e-24
-0.95,-1.7,2.94636140615e-23,5.54485506646e-37,-8.78696303909e-24
-0.95,-1.65,3.32999523374e-23,4.86951978659e-37,-8.8728173825e-24
