x,y,result
-1.0,-2.0,81.2548571782
-0.9,-2.0,84.3869338958
-0.8,-2.0,87.2283360932
-0.7,-2.0,89.7369205242
-0.6,-2.0,91.8879252218
-0.5,-2.0,93.677353552
-0.4,-2.0,95.1214923846
-0.3,-2.0,96.2511551976
-0.2,-2.0,97.1011252918
-0.1,-2.0,97.6985029681
0.0,-2.0,98.0561984841
0.1,-2.0,98.1757837061
0.2,-2.0,98.0561984842
0.3,-2.0,97.6985029681
0.4,-2.0,97.1011252918
0.5,-2.0,96.2511551976
0.6,-2.0,95.1214923846
0.7,-2.0,93.677353552
0.8,-2.0,91.8879252218
0.9,-2.0,89.7369205243
1.0,-2.0,87.2283360931
1.1,-2.0,84.3869338958
1.2,-2.0,81.2548571782
1.3,-2.0,77.8862682374
1.4,-2.0,74.3415881333
1.5,-2.0,70.6823612955
1.6,-2.0,66.9672489498
1.7,-2.0,63.2492776423
1.8,-2.0,59.5742401416
1.9,-2.0,55.9800351871
2.0,-2.0,52.4967016909
2.1,-2.0,49.1469188832
2.2,-2.0,45.946782114
2.3,-2.0,42.9067088074
2.4,-2.0,40.0323713994
2.5,-2.0,37.3255897763
2.6,-2.0,34.7851434768
2.7,-2.0,32.4074841472
2.8,-2.0,30.1873425804
2.9,-2.0,28.1182335059
3.0,-2.0,26.1928664359
-1.0,-1.9,92.5375050832
-0.9,-1.9,96.5518282227
-0.8,-1.9,100.225735084
-0.7,-1.9,103.492802359
-0.6,-1.9,106.308038466
-0.5,-1.9,108.654605782
-0.4,-1.9,110.545678488
-0.3,-1.9,112.018601605
-0.2,-1.9,113.120845553
-0.1,-1.9,113.892273882
0.0,-1.9,114.35336435
0.1,-1.9,114.507488884
0.2,-1.9,114.353364349
0.3,-1.9,113.892273882
0.4,-1.9,113.120845553
0.5,-1.9,112.018601605
0.6,-1.9,110.545678488
0.7,-1.9,108.654605782
0.8,-1.9,106.308038466
0.9,-1.9,103.492802359
1.0,-1.9,100.225735084
1.1,-1.9,96.5518282227
1.2,-1.9,92.5375050831
1.3,-1.9,88.2620289404
1.4,-1.9,83.8092243464
1.5,-1.9,79.260722623
1.6,-1.9,74.6911681274
1.7,-1.9,70.1653258702
1.8,-1.9,65.7367754836
1.9,-1.9,61.447789299
2.0,-1.9,57.3300053705
2.1,-1.9,53.4055684503
2.2,-1.9,49.6884897777
2.3,-1.9,46.1860512158
2.4,-1.9,42.9001419454
2.5,-1.9,39.8284640364
2.6,-1.9,36.9655775761
2.7,-1.9,34.3037789132
2.8,-1.9,31.8338196514
2.9,-1.9,29.5454817531
3.0,-1.9,27.4280275247
-1.0,-1.8,105.805906109
-0.9,-1.8,110.990687111
-0.8,-1.8,115.785493463
-0.7,-1.8,120.087675461
-0.6,-1.8,123.819707447
-0.5,-1.8,126.9413386
-0.4,-1.8,129.456082853
-0.3,-1.8,131.406832879
-0.2,-1.8,132.857895291
-0.1,-1.8,133.868269565
0.0,-1.8,134.470756452
0.1,-1.8,134.672079052
0.2,-1.8,134.470756452
0.3,-1.8,133.868269565
0.4,-1.8,132.857895291
0.5,-1.8,131.406832879
0.6,-1.8,129.456082853
0.7,-1.8,126.9413386
0.8,-1.8,123.819707447
0.9,-1.8,120.087675461
1.0,-1.8,115.785493463
1.1,-1.8,110.990687111
1.2,-1.8,105.805906109
1.3,-1.8,100.345668108
1.4,-1.8,94.7248492817
1.5,-1.8,89.0501833768
1.6,-1.8,83.4149360348
1.7,-1.8,77.8963214723
1.8,-1.8,72.5549941696
1.9,-1.8,67.4359369533
2.0,-1.8,62.5701673072
2.1,-1.8,57.9768224966
2.2,-1.8,53.6653197552
2.3,-1.8,49.637401272
2.4,-1.8,45.888959579
2.5,-1.8,42.4115988678
2.6,-1.8,39.1939264512
2.7,-1.8,36.2225913481
2.8,-1.8,33.4830986063
2.9,-1.8,30.9604323323
3.0,-1.8,28.6395202954
-1.0,-1.7,121.453454068
-0.9,-1.7,128.200910172
-0.8,-1.7,134.517760569
-0.7,-1.7,140.247965969
-0.6,-1.7,145.2624112
-0.5,-1.7,149.479586209
-0.4,-1.7,152.880630112
-0.3,-1.7,155.509716532
-0.2,-1.7,157.452641405
-0.1,-1.7,158.797150908
0.0,-1.7,159.596378334
0.1,-1.7,159.863299557
0.2,-1.7,159.596378334
0.3,-1.7,158.797150908
0.4,-1.7,157.452641405
0.5,-1.7,155.509716532
0.6,-1.7,152.880630112
0.7,-1.7,149.479586209
0.8,-1.7,145.2624112
0.9,-1.7,140.247965969
1.0,-1.7,134.517760569
1.1,-1.7,128.200910172
1.2,-1.7,121.453454068
1.3,-1.7,114.438638336
1.4,-1.7,107.311573366
1.5,-1.7,100.20922319
1.6,-1.7,93.2452449232
1.7,-1.7,86.5085734652
1.8,-1.7,80.0645393983
1.9,-1.7,73.957465505
2.0,-1.7,68.213940898
2.1,-1.7,62.8462264732
2.2,-1.7,57.8554579581
2.3,-1.7,53.2344710644
2.4,-1.7,48.9701808847
2.5,-1.7,45.0455146734
2.6,-1.7,41.4409345553
2.7,-1.7,38.1356041219
2.8,-1.7,35.1082577629
2.9,-1.7,32.3378292521
3.0,-1.7,29.8038901302
-1.0,-1.6,139.946957957
-0.9,-1.6,148.792760223
-0.8,-1.6,157.193262307
-0.7,-1.6,164.914943462
-0.6,-1.6,171.747991001
-0.5,-1.6,177.53987287
-0.4,-1.6,182.225417082
-0.3,-1.6,185.838608052
-0.2,-1.6,188.490587661
-0.1,-1.6,190.312171981
0.0,-1.6,191.390505068
0.1,-1.6,191.750335943
0.2,-1.6,191.390505068
0.3,-1.6,190.312171981
0.4,-1.6,188.490587661
0.5,-1.6,185.838608052
0.6,-1.6,182.225417082
0.7,-1.6,177.53987287
0.8,-1.6,171.747991001
0.9,-1.6,164.914943462
1.0,-1.6,157.193262307
1.1,-1.6,148.792760223
1.2,-1.6,139.946957957
1.3,-1.6,130.884959962
1.4,-1.6,121.812202198
1.5,-1.6,112.899961308
1.6,-1.6,104.281841141
1.7,-1.6,96.0550217159
1.8,-1.6,88.284280577
1.9,-1.6,81.0072716265
2.0,-1.6,74.2400424621
2.1,-1.6,67.9821847001
2.2,-1.6,62.221314076
2.3,-1.6,56.9367767462
2.4,-1.6,52.1025973458
2.5,-1.6,47.6897466899
2.6,-1.6,43.6678325338
2.7,-1.6,40.006320427
2.8,-1.6,36.6753836028
2.9,-1.6,33.6464675167
3.0,-1.6,30.8926399276
-1.0,-1.5,161.831614917
-0.9,-1.5,173.508906982
-0.8,-1.5,184.783602476
-0.7,-1.5,195.312090317
-0.6,-1.5,204.760261414
-0.5,-1.5,212.855565138
