x,y,result
-1.0,-1.0,-0.0542326144547
-0.9,-1.0,-0.0686925481638
-0.8,-1.0,-0.0873312398442
-0.7,-1.0,-0.111271606921
-0.6,-1.0,-0.141794407135
-0.5,-1.0,-0.180228069452
-0.4,-1.0,-0.227720276294
-0.3,-1.0,-0.284854587545
-0.2,-1.0,-0.351113941224
-0.1,-1.0,-0.424280747198
0.0,-1.0,0.5
0.1,-1.0,0.571868348648
0.2,-1.0,0.632407178714
0.3,-1.0,0.674919559054
0.4,-1.0,0.695520947905
0.5,-1.0,0.69417746502
0.6,-1.0,0.67412912527
0.7,-1.0,0.640248655659
0.8,-1.0,0.59743728735
0.9,-1.0,0.54971681883
1.0,-1.0,0.5
1.1,-1.0,-0.450220562028
1.2,-1.0,-0.401556209531
1.3,-1.0,-0.354635872466
1.4,-1.0,-0.309735003503
1.5,-1.0,-0.2669913327
1.6,-1.0,-0.226630421227
1.7,-1.0,-0.189116277473
1.8,-1.0,-0.155118741949
1.9,-1.0,-0.125290028663
2.0,-1.0,-0.1
-1.0,-0.9,-0.055552644357
-0.9,-0.9,-0.0714238389252
-0.8,-0.9,-0.0923501310424
-0.7,-0.9,-0.119916594131
-0.6,-0.9,-0.156056944822
-0.5,-0.9,-0.202969635112
-0.4,-0.9,-0.26286674564
-0.3,-0.9,-0.337474044498
-0.2,-0.9,-0.427242910355
-0.1,-0.9,-0.530352422889
0.0,-0.9,0.641763369039
0.1,-0.9,0.752785305631
0.2,-0.9,0.851769529099
0.3,-0.9,0.926458252237
0.4,-0.9,0.967719445079
0.5,-0.9,0.972837056679
0.6,-0.9,0.945962964363
0.7,-0.9,0.895423456115
0.8,-0.9,0.830139584692
0.9,-0.9,0.757360159689
1.0,-0.9,0.682081713389
1.1,-0.9,-0.607387850839
1.2,-0.9,-0.534978843468
1.3,-0.9,-0.46562019718
1.4,-0.9,-0.399558364009
1.5,-0.9,-0.336995843163
1.6,-0.9,-0.278542392204
1.7,-0.9,-0.225354710004
1.8,-0.9,-0.178766444379
1.9,-0.9,-0.139657002402
2.0,-0.9,-0.108072417655
-1.0,-0.8,-0.0559033908761
-0.9,-0.8,-0.0729962282621
-0.8,-0.8,-0.0960743635681
-0.7,-0.8,-0.127300468323
-0.6,-0.8,-0.169476920171
-0.5,-0.8,-0.226034143514
-0.4,-0.8,-0.300785957895
-0.3,-0.8,-0.397283952771
-0.2,-0.8,-0.517658747276
-0.1,-0.8,-0.66105978457
0.0,-0.8,0.822129332328
0.1,-0.8,0.990091076559
0.2,-0.8,1.14889705882
0.3,-0.8,1.27900273081
0.4,-0.8,1.36183677676
0.5,-0.8,1.38671743787
0.6,-0.8,1.35581536137
0.7,-0.8,1.28208811953
0.8,-0.8,1.18194973604
0.9,-0.8,1.06913445174
1.0,-0.8,0.952743902439
1.1,-0.8,-0.837970245961
1.2,-0.8,-0.727353683718
1.3,-0.8,-0.621785225353
1.4,-0.8,-0.521467446679
1.5,-0.8,-0.427051390902
1.6,-0.8,-0.340459194189
1.7,-0.8,-0.264496315438
1.8,-0.8,-0.201353092784
1.9,-0.8,-0.151425694062
2.0,-0.8,-0.113397149287
-1.0,-0.7,-0.055016663828
-0.9,-0.7,-0.0729946953941
-0.8,-0.7,-0.0978835129952
-0.7,-0.7,-0.13254441279
