latitude,longitude,Time,Readings
-33.8965433,151.1961616,66784.0,-0.33
-33.8965433,151.1961616,66784.0,-0.337
-33.8965400,151.1961616,66786.0,-0.316
-33.8965400,151.1961600,66787.0,-0.329
-33.8965366,151.1961600,66788.0,-0.318
-33.8965333,151.1961600,66789.0,-0.305
-33.8965317,151.1961600,66790.0,-0.285
-33.8965300,151.1961616,66791.0,-0.306
-33.8965317,151.1961616,66792.0,-0.324
-33.8965366,151.1961616,66793.0,-0.296
-33.8965417,151.1961600,66794.0,-0.335
-33.8965467,151.1961583,66795.0,-0.307
-33.8965517,151.1961583,66796.0,-0.316
-33.8965550,151.1961566,66797.0,-0.294
-33.8965583,151.1961550,66798.0,-0.294
-33.8965617,151.1961550,66799.0,-0.324
-33.8965650,151.1961516,66800.0,-0.288
-33.8965700,151.1961500,66801.0,-0.319
-33.8965750,151.1961466,66802.0,-0.331
-33.8965784,151.1961433,66803.0,-0.252
-33.8965817,151.1961400,66804.0,-0.269
-33.8965850,151.1961383,66805.0,-0.3
-33.8965884,151.1961333,66806.0,-0.295
-33.8965917,151.1961300,66807.0,-0.322
-33.8965951,151.1961250,66808.0,-0.332
-33.8965951,151.1961200,66809.0,-0.337
-33.8966000,151.1961150,66810.0,-0.291
-33.8966033,151.1961116,66811.0,-0.298
-33.8966067,151.1961083,66812.0,-0.332
-33.8966100,151.1961033,66813.0,-0.309
-33.8966134,151.1960966,66814.0,-0.319
-33.8966183,151.1960916,66815.0,-0.356
-33.8966217,151.1960866,66816.0,-0.353
-33.8966250,151.1960816,66817.0,-0.306
-33.8966267,151.1960733,66818.0,-0.336
-33.8966267,151.1960666,66819.0,-0.321
-33.8966267,151.1960600,66820.0,-0.316
-33.8966267,151.1960533,66821.0,-0.316
-33.8966284,151.1960483,66822.0,-0.326
-33.8966284,151.1960416,66823.0,-0.328
-33.8966267,151.1960350,66824.0,-0.297
-33.8966267,151.1960316,66825.0,-0.302
-33.8966284,151.1960266,66826.0,-0.337
-33.8966300,151.1960216,66827.0,-0.329
-33.8966300,151.1960166,66828.0,-0.309
-33.8966300,151.1960116,66829.0,-0.33
-33.8966300,151.1960083,66830.0,-0.316
-33.8966284,151.1960033,66831.0,-0.304
-33.8966267,151.1959983,66832.0,-0.313
-33.8966267,151.1959950,66833.0,-0.298
-33.8966267,151.1959900,66834.0,-0.328
