z,layer
-3.0,-2.02361705783e-22
-2.9,-2.3926681677e-22
-2.8,-2.84123715605e-22
-2.7,-3.3873160721e-22
-2.6,-4.05496574012e-22
-2.5,-4.87536520477e-22
-2.4,-5.89059171451e-22
-2.3,-7.14331205017e-22
-2.2,-8.70026289588e-22
-2.1,-1.06499433462e-21
-2.0,-1.3093720874e-21
-1.9,-1.61791083824e-21
-1.8,-2.00597003302e-21
-1.7,-2.49948692589e-21
-1.6,-3.1191974705e-21
-1.5,-3.90099454183e-21
-1.4,-4.88112462522e-21
-1.3,-6.07095407672e-21
-1.2,-7.47571671243e-21
-1.1,-9.00858820894e-21
-1.0,-1.03897716608e-20
-0.9,-1.0914916649e-20
-0.8,-9.06972729837e-21
-0.7,-1.67945782391e-21
-0.6,1.67995480169e-20
-0.5,5.37791157429e-20
-0.4,1.08281328585e-19
-0.3,1.44283338229e-19
-0.2,1.25293867822e-19
-0.1,1.84624329238e-19
0.0,2.55404695081e-16
