z,layer
-3.0,-2.75503424086e-25
-2.9,-3.16756099504e-25
-2.8,-3.64733500165e-25
-2.7,-4.2059411113e-25
-2.6,-4.85703788711e-25
-2.5,-5.61675276748e-25
-2.4,-6.504167847e-25
-2.3,-7.54192550199e-25
-2.2,-8.75699498923e-25
-2.1,-1.01816574094e-24
-2.0,-1.18547876073e-24
-1.9,-1.38235371307e-24
-1.8,-1.61455490582e-24
-1.7,-1.88918543145e-24
-1.6,-2.21505889882e-24
-1.5,-2.60315878708e-24
-1.4,-3.06568149385e-24
-1.3,-3.53043740177e-24
-1.2,-3.89559269443e-24
-1.1,-4.07098319118e-24
-1.0,-3.96389890572e-24
-0.9,-3.50870717449e-24
-0.8,-2.7083047749e-24
-0.7,-1.6773331076e-24
-0.6,-6.67471640724e-25
-0.5,-4.83580132526e-26
-0.4,-2.22078371061e-25
-0.3,-1.47482275083e-24
-0.2,-3.81657202397e-24
-0.1,-6.90157818155e-24
