x,y,vertical,horizontal
-1.0,-2.0,-7.323402864131906e-07,-6.796948495497903e-07
-1.0,-1.9,-1.281583768830861e-06,-1.1388832916320038e-06
-1.0,-1.8,-2.375444693138382e-06,-2.019122479868314e-06
-1.0,-1.7,-4.4231113246632014e-06,-3.592921119602097e-06
-1.0,-1.6,-8.088873551785837e-06,-6.275144252948503e-06
-1.0,-1.5,-1.4419204004336194e-05,-1.067953445259507e-05
-1.0,-1.4,-2.500039395468538e-05,-1.7680940709703968e-05
-1.0,-1.3,-4.210863077101389e-05,-2.84612318584809e-05
-1.0,-1.2,-6.873558719556042e-05,-4.448310909236792e-05
-1.0,-1.1,-0.00010821304496988956,-6.727181390592886e-05
-1.0,-1.0,-0.00016290279146114646,-9.778418857834909e-05
-1.0,-0.9,-0.00023119118018902888,-0.0001350532419686141
-1.0,-0.8,-0.00030245011182688153,-0.00017393940161187862
-1.0,-0.7,-0.00035357320041351097,-0.00020363117776104746
-1.0,-0.6,-0.0003919913118091067,-0.00023203873412797022
-1.0,-0.5,-0.00042423453834430154,-0.0002676065738079346
-1.0,-0.4,-0.00043828785658894424,-0.00031053158441907337
-1.0,-0.3,-0.0004102567101946128,-0.000353723298224875
-1.0,-0.2,-0.0003123423701854553,-0.0003755105775577714
-1.0,-0.1,-0.00015086204151597255,-0.00034206209030029905
-1.0,0.0,0.0,-0.000332066673022571
-0.9,-2.0,-8.322003262448594e-07,-7.815331652914949e-07
-0.9,-1.9,-1.026422129839411e-06,-9.207628094505507e-07
-0.9,-1.8,-1.5513377347149345e-06,-1.3275004783319681e-06
-0.9,-1.7,-2.744926775829668e-06,-2.2377313231738107e-06
-0.9,-1.6,-5.211805354515793e-06,-4.043210159860436e-06
-0.9,-1.5,-9.999935180328454e-06,-7.376050024671916e-06
-0.9,-1.4,-1.88668666545354e-05,-1.3225830777796696e-05
-0.9,-1.3,-3.464460843960892e-05,-2.3085288413822115e-05
-0.9,-1.2,-6.164868171319686e-05,-3.909131584763054e-05
-0.9,-1.1,-0.00010589416276321248,-6.405384281439102e-05
-0.9,-1.0,-0.00017445551599649673,-0.0001011025134537262
-0.9,-0.9,-0.000272523426173734,-0.000152385302841112
-0.9,-0.8,-0.0003958910728788485,-0.0002159140331562618
-0.9,-0.7,-0.0005178991717538218,-0.0002799858700327085
-0.9,-0.6,-0.0005949021738843413,-0.00032680967359804063
-0.9,-0.5,-0.000657847768333114,-0.00038106703456275757
-0.9,-0.4,-0.0006999726651102482,-0.00045103141598278214
-0.9,-0.3,-0.0006822639379910795,-0.0005306259679150175
-0.9,-0.2,-0.0005436246232072148,-0.0005859727511218993
-0.9,-0.1,-0.00027082930490699027,-0.0005489016287592821
-0.9,0.0,0.0,-0.000523339578077116
-0.8,-2.0,-1.7778403294022704e-06,-1.6924748500467324e-06
-0.8,-1.9,-1.7971590440492732e-06,-1.630314058006669e-06
-0.8,-1.8,-1.9207983908564263e-06,-1.6575357760211163e-06
-0.8,-1.7,-2.3608914732620085e-06,-1.9346539841765456e-06
-0.8,-1.6,-3.55847897533459e-06,-2.76454404148461e-06
-0.8,-1.5,-6.380622271737964e-06,-4.692632371490089e-06
-0.8,-1.4,-1.2461310749062541e-05,-8.66586520362624e-06
-0.8,-1.3,-2.4763285116338908e-05,-1.627341290672213e-05
-0.8,-1.2,-4.843342188099364e-05,-3.0083075987066984e-05
-0.8,-1.1,-9.191589641243972e-05,-5.403842503544273e-05
-0.8,-1.0,-0.00016786596508427368,-9.372318870715287e-05
-0.8,-0.9,-0.0002922226016319792,-0.00015587980105459079
-0.8,-0.8,-0.00047724003499308724,-0.0002456544289600049
-0.8,-0.7,-0.0007110680632669893,-0.00035871824333764854
-0.8,-0.6,-0.0009209857159758655,-0.0004661687910038481
-0.8,-0.5,-0.0010443415978501544,-0.0005505186128448729
-0.8,-0.4,-0.0011452161513329396,-0.0006642474426387966
-0.8,-0.3,-0.0011670825285895981,-0.0008098288746704431
-0.8,-0.2,-0.0009832876890607486,-0.0009396547239339091
-0.8,-0.1,-0.0005114267513561246,-0.0009161996902676792
-0.8,0.0,0.0,-0.0008585828972818104
-0.7,-2.0,-3.915639800419021e-06,-3.786319587211975e-06
-0.7,-1.9,-4.121014563788927e-06,-3.7880352157272302e-06
-0.7,-1.8,-4.27699901018589e-06,-3.729136232033811e-06
-0.7,-1.7,-4.446233073350704e-06,-3.6690866183500704e-06
-0.7,-1.6,-4.833367457722118e-06,-3.7665467235194815e-06
-0.7,-1.5,-5.955927046181284e-06,-4.373499569976248e-06
-0.7,-1.4,-8.982685296793082e-06,-6.203131480275517e-06
-0.7,-1.3,-1.6380381493671057e-05,-1.0620783464422436e-05
-0.7,-1.2,-3.309672759716127e-05,-2.012979154458323e-05
-0.7,-1.1,-6.858450197929408e-05,-3.913627449788571e-05
-0.7,-1.0,-0.00013985841878423765,-7.502187242953142e-05
-0.7,-0.9,-0.0002748576980447838,-0.0001392461659351894
-0.7,-0.8,-0.0005119850975079524,-0.0002471224899215077
-0.7,-0.7,-0.0008826719232048698,-0.00041193642985258805
-0.7,-0.6,-0.0013499973736935407,-0.0006235317104496813
-0.7,-0.5,-0.0017017388174560678,-0.0008063597609209884
-0.7,-0.4,-0.0019241363992415056,-0.0009908396702543547
-0.7,-0.3,-0.002056154710794501,-0.0012548094684419553
-0.7,-0.2,-0.0018537283780378348,-0.001548668641101658
-0.7,-0.1,-0.00102401141304171,-0.001599933548315925
-0.7,0.0,0.0,-0.0014779100290854784
-0.6,-2.0,-7.590091259540804e-06,-7.4716768350383154e-06
-0.6,-1.9,-8.552467773548781e-06,-7.983479591515445e-06
-0.6,-1.8,-9.50524375173162e-06,-8.392020770795245e-06
-0.6,-1.7,-1.0401791427848032e-05,-8.661998001150237e-06
-0.6,-1.6,-1.122765520433386e-05,-8.793290600550742e-06
-0.6,-1.5,-1.2097954452091875e-05,-8.884557953810051e-06
-0.6,-1.4,-1.3494283425950811e-05,-9.265049929494721e-06
-0.6,-1.3,-1.6804389724834643e-05,-1.0756733516629749e-05
-0.6,-1.2,-2.5495120399681065e-05,-1.5179233730386577e-05
-0.6,-1.1,-4.754999887816148e-05,-2.6292581582131668e-05
-0.6,-1.0,-0.00010024826390206874,-5.148551530172881e-05
-0.6,-0.9,-0.000218640724528517,-0.00010457958255858471
-0.6,-0.8,-0.00046747797779026596,-0.0002097055977148957
-0.6,-0.7,-0.0009465025402513887,-0.0004036169786996109
-0.6,-0.6,-0.001744411905923007,-0.0007237011819826401
-0.6,-0.5,-0.0027299246852815475,-0.0011433565048366739
-0.6,-0.4,-0.0033285942765444152,-0.0014920458297277596
-0.6,-0.3,-0.0037329812939943608,-0.00196425762681225
-0.6,-0.2,-0.0036474813189676064,-0.002615980904933185
-0.6,-0.1,-0.002193069085049798,-0.002940517556909871
-0.6,0.0,0.0,-0.0026966391119306317
-0.5,-2.0,-1.311174600676157e-05,-1.3172598440541271e-05
-0.5,-1.9,-1.5618363819878723e-05,-1.484277592798266e-05
-0.5,-1.8,-1.8494027269103977e-05,-1.657480696589341e-05
-0.5,-1.7,-2.1718475845823127e-05,-1.829505949850588e-05
-0.5,-1.6,-2.523013329902632e-05,-1.9903960126617543e-05
-0.5,-1.5,-2.893339229983477e-05,-2.1293383159625123e-05
-0.5,-1.4,-3.2769594897208546e-05,-2.2405357533154155e-05
-0.5,-1.3,-3.697122409268327e-05,-2.338483974749176e-05
-0.5,-1.2,-4.279559906441063e-05,-2.493714453667513e-05
-0.5,-1.1,-5.444465559472486e-05,-2.9118323187540045e-05
-0.5,-1.0,-8.378476339607443e-05,-4.1022427512293424e-05
-0.5,-0.9,-0.0001613010024484044,-7.228084526392807e-05
-0.5,-0.8,-0.00035951155433634703,-0.00014803048124782607
-0.5,-0.7,-0.0008350326198695206,-0.00031948462245664214
-0.5,-0.6,-0.0018688711885613942,-0.000679631058763011
-0.5,-0.5,-0.0037395663403822395,-0.0013447204084593724
-0.5,-0.4,-0.005891694322924224,-0.0022304549333185954
-0.5,-0.3,-0.006976657758419354,-0.003072447489429115
-0.5,-0.2,-0.0074700741804488,-0.004485820594385739
-0.5,-0.1,-0.005063222366200888,-0.00571335525227163
-0.5,0.0,0.0,-0.00528489965008492
-0.4,-2.0,-2.0755506601675933e-05,-2.1340281917259115e-05
-0.4,-1.9,-2.5795393437288082e-05,-2.5028517418714267e-05
-0.4,-1.8,-3.207301059237665e-05,-2.9262582969002277e-05
-0.4,-1.7,-3.984509201902936e-05,-3.404904549909861e-05
-0.4,-1.6,-4.937836629477659e-05,-3.9346165155780666e-05
-0.4,-1.5,-6.0917312670472887e-05,-4.504021156703575e-05
-0.4,-1.4,-7.463889024080391e-05,-5.092623822892014e-05
-0.4,-1.3,-9.062495204557422e-05,-5.671880374982202e-05
-0.4,-1.2,-0.0001089788042399403,-6.215917996102102e-05
-0.4,-1.1,-0.00013050258490143035,-6.738158503583949e-05
-0.4,-1.0,-0.00015918765511301769,-7.392480627958228e-05
-0.4,-0.9,-0.00021008587196149863,-8.730601851119936e-05
-0.4,-0.8,-0.00033222365525157114,-0.00012336788149986834
-0.4,-0.7,-0.0006704568735632871,-0.0002238151034051393
-0.4,-0.6,-0.0016117694536442776,-0.0004934969110822137
-0.4,-0.5,-0.004013141754616281,-0.0011766784284059973
-0.4,-0.4,-0.008848138644063901,-0.0026786483769492705
-0.4,-0.3,-0.013356134802756013,-0.0046808879442519725
-0.4,-0.2,-0.015714760333638198,-0.007610263625255991
-0.4,-0.1,-0.01261838819244598,-0.011708540801102639
-0.4,0.0,0.0,-0.011306261552667188
-0.3,-2.0,-3.085758473220511e-05,-3.257376721859099e-05
-0.3,-1.9,-3.9616769805329644e-05,-3.937367641526667e-05
-0.3,-1.8,-5.111628056696417e-05,-4.763641873563934e-05
-0.3,-1.7,-6.625731259371487e-05,-5.7631045252297465e-05
-0.3,-1.6,-8.622852726143157e-05,-6.963342188269732e-05
-0.3,-1.5,-0.00011257747070773982,-8.389175054621211e-05
-0.3,-1.4,-0.00014727925375727837,-0.00010056742455259477
-0.3,-1.3,-0.00019278352864618344,-0.00011964574997751317
-0.3,-1.2,-0.00025201869129193517,-0.00014082462730835856
-0.3,-1.1,-0.000328381530666492,-0.00016343404715220844
-0.3,-1.0,-0.0004260166778758183,-0.0001865643313050763
-0.3,-0.9,-0.0005518362563500919,-0.00020991015799517074
-0.3,-0.8,-0.0007250380585645601,-0.00023670975683656153
-0.3,-0.7,-0.0010153246740118632,-0.0002826761977685617
-0.3,-0.6,-0.0016834658500638965,-0.00040336163590062087
-0.3,-0.5,-0.0036489632611776844,-0.0007860065705777557
-0.3,-0.4,-0.00964637460463045,-0.002067974211706789
-0.3,-0.3,-0.023239510960839496,-0.005848181040794459
-0.3,-0.2,-0.03262202485043056,-0.011936647881754288
-0.3,-0.1,-0.033173879650781155,-0.02469140325503631
-0.3,0.0,0.0,-0.026820170531222823
-0.2,-2.0,-4.412402757797231e-05,-4.800010442101238e-05
-0.2,-1.9,-5.806873881500538e-05,-5.934560904988879e-05
-0.2,-1.8,-7.704428519959025e-05,-7.363359317588901e-05
-0.2,-1.7,-0.00010307392705810759,-9.16368215856436e-05
-0.2,-1.6,-0.00013906632101421288,-0.00011429706844950932
-0.2,-1.5,-0.0001892253525850081,-0.00014272505295525646
-0.2,-1.4,-0.000259652976814625,-0.00017816106182280388
-0.2,-1.3,-0.0003592318234367315,-0.0002218587488568905
-0.2,-1.2,-0.0005009072522271195,-0.0002748331393866995
-0.2,-1.1,-0.0007035312168703194,-0.00033739359850314875
-0.2,-1.0,-0.0009944996876718492,-0.00040839245532630535
-0.2,-0.9,-0.0014136156080381275,-0.0004842510879746976
-0.2,-0.8,-0.0020194896124263845,-0.0005583289659006585
-0.2,-0.7,-0.0029040980955705393,-0.0006227278948954537
-0.2,-0.6,-0.004242568591292988,-0.000678941992056155
-0.2,-0.5,-0.006513012321728708,-0.0007781663432961773
-0.2,-0.4,-0.011546758504763336,-0.0011943627078225142
-0.2,-0.3,-0.02690428080473966,-0.003511674128565097
-0.2,-0.2,-0.060121193775782775,-0.01434029133784596
-0.2,-0.1,-0.08314998058009278,-0.048982629833735754
-0.2,0.0,0.0,-0.07022337096108114
-0.1,-2.0,-6.142641599233154e-05,-6.918092373462278e-05
-0.1,-1.9,-8.229169222838442e-05,-8.690165514099031e-05
-0.1,-1.8,-0.00011137229597394581,-0.00010972073395481793
-0.1,-1.7,-0.00015234870725592447,-0.00013918748786770894
-0.1,-1.6,-0.0002107482728422011,-0.00017729130287858302
-0.1,-1.5,-0.00029496927999372483,-0.000226527778853308
-0.1,-1.4,-0.00041792557419831816,-0.00028990023890457754
-0.1,-1.3,-0.0005997198954682469,-0.00037074812946600455
-0.1,-1.2,-0.0008720463255462779,-0.0004721760172074888
-0.1,-1.1,-0.0012855470008973774,-0.0005956295641364038
-0.1,-1.0,-0.0019223209058191596,-0.0007377437042284588
-0.1,-0.9,-0.002917661900866904,-0.0008838605412774032
-0.1,-0.8,-0.004498922338225956,-0.0009955475019149762
-0.1,-0.7,-0.007057569005306511,-0.0009886993015115653
-0.1,-0.6,-0.011288469028702746,-0.0007026935547091032
-0.1,-0.5,-0.0184667729595626,0.00010831720505605783
-0.1,-0.4,-0.03095292675648149,0.0015653774295155234
-0.1,-0.3,-0.052223697905030404,0.0022492093413252045
-0.1,-0.2,-0.07423049480835896,-0.005789490560313893
-0.1,-0.1,-0.15100065644964455,-0.07564410900244652
-0.1,0.0,0.0,-0.18314156462907785
0.0,-2.0,-7.410345342792309e-05,-8.688658784575872e-05
0.0,-1.9,-0.00010026234742172358,-0.00011005301564861996
0.0,-1.8,-0.00013718523505674721,-0.0001401946592268393
0.0,-1.7,-0.0001899416931285395,-0.00017953741603120936
0.0,-1.6,-0.0002662913717224895,-0.00023096544978509217
0.0,-1.5,-0.0003782691983813271,-0.000298106165418216
0.0,-1.4,-0.0005447936830216501,-0.00038526668609772463
0.0,-1.3,-0.0007960117015602895,-0.0004969621777094083
0.0,-1.2,-0.0011806234297580026,-0.0006364484815512868
0.0,-1.1,-0.001778376880068324,-0.0008019589754397242
0.0,-1.0,-0.0027216237188321707,-0.000977806531666259
0.0,-0.9,-0.004232919947411692,-0.0011142094799274718
0.0,-0.8,-0.006691309845769632,-0.0010827204304479554
0.0,-0.7,-0.010750200147583036,-0.0005800188874807479
0.0,-0.6,-0.017547119418543134,0.0010715344812609099
0.0,-0.5,-0.029064843004372388,0.005290645378338867
0.0,-0.4,-0.04864508248382619,0.01459243592783338
0.0,-0.3,-0.0809115656819239,0.030431305097785678
0.0,-0.2,-0.12514866079776435,0.03131915817547948
0.0,-0.1,-0.13597073257427567,-0.10862677299197797
0.0,0.0,0.0,-0.33731522896541805
0.1,-2.0,-7.34396536559948e-05,-8.954100803231535e-05
0.1,-1.9,-0.00010015629009455762,-0.00011411700980653196
0.1,-1.8,-0.0001382287627656925,-0.0001463051155805547
0.1,-1.7,-0.00019318919355722556,-0.00018858311461003984
0.1,-1.6,-0.0002736039729023119,-0.00024414340655120996
0.1,-1.5,-0.00039291270336335875,-0.00031692268883769476
0.1,-1.4,-0.0005724704691519767,-0.00041134959083910137
0.1,-1.3,-0.0008466140800171662,-0.0005313464354936425
0.1,-1.2,-0.0012711156205472735,-0.0006775114847663641
0.1,-1.1,-0.0019372020356878262,-0.0008400387267432918
0.1,-1.0,-0.0029943134752615876,-0.0009818844747856257
0.1,-0.9,-0.0046851104246759595,-0.0010000145153044545
0.1,-0.8,-0.007392261148097565,-0.000638482486863995
0.1,-0.7,-0.011674528795438656,0.0006997486512860774
0.1,-0.6,-0.01818117975759213,0.004330047786012461
0.1,-0.5,-0.027017519095312963,0.01287841458831173
0.1,-0.4,-0.03516149466250544,0.03020787365690241
0.1,-0.3,-0.029192359403532625,0.054046277054375154
0.1,-0.2,0.010722191208834771,0.03996971230932191
0.1,-0.1,0.059370137123634564,-0.0558042917578897
0.1,0.0,0.0,-0.3266193773044248
0.2,-2.0,-7.368435588050692e-05,-9.395354083649529e-05
0.2,-1.9,-0.00010131925922277735,-0.00012055996541070546
0.2,-1.8,-0.0001410724420241225,-0.00015565647038726617
0.2,-1.7,-0.00019903092145472223,-0.00020206586296600256
0.2,-1.6,-0.0002847129845547644,-0.0002634062891347866
0.2,-1.5,-0.00041318675573382774,-0.00034404981321193955
0.2,-1.4,-0.0006085708130788827,-0.0004486185788212182
0.2,-1.3,-0.0009098035763209525,-0.0005802741707109583
0.2,-1.2,-0.0013800123768976144,-0.000736059690658902
0.2,-1.1,-0.0021211458470735654,-0.0008953101659719159
0.2,-1.0,-0.0032947453921012833,-0.0009922247694652724
0.2,-0.9,-0.005144193349893018,-0.0008534636256601735
0.2,-0.8,-0.007991825194819384,-6.29320505249486e-05
0.2,-0.7,-0.012112030038546506,0.002306141259983907
0.2,-0.6,-0.017176605058200664,0.008114605549835216
