z,layer
-1.0,[  8.68692067e-27   3.76897119e-27  -9.90589989e-25]
-0.9,[  1.06643034e-26   3.34054283e-27  -8.76771217e-25]
-0.8,[  1.08764718e-26   2.55264522e-27  -6.76703017e-25]
-0.7,[  8.54421035e-27   1.54087684e-27  -4.19052580e-25]
-0.6,[  4.14858959e-27   5.84904613e-28  -1.66724741e-25]
-0.5,[  3.52628960e-28   3.92577444e-29  -1.20869886e-26]
-0.4,[  1.82038661e-27   1.60110191e-28  -5.55995468e-26]
-0.3,[  1.29009088e-26   8.82191543e-28  -3.68752071e-25]
-0.2,[  3.37535396e-26   1.70375691e-27  -9.54016052e-25]
-0.1,[  5.80744405e-26   1.85733578e-27  -1.72498503e-24]
