x,y,vertical,horizontal
-1.0,-2.0,-1.682897108058985e-05,-1.320064288769217e-05
-1.0,-1.95,-1.5113829677802739e-05,-1.167858472136522e-05
-1.0,-1.9,-1.3549467009008666e-05,-1.0309360626976766e-05
-1.0,-1.85,-1.2370869391805072e-05,-9.264529626861386e-06
-1.0,-1.8,-1.190873052039195e-05,-8.774610020130729e-06
-1.0,-1.75,-1.261783996468634e-05,-9.143654540937129e-06
-1.0,-1.7,-1.511207206412471e-05,-1.0766495960444444e-05
-1.0,-1.65,-2.0206870963356442e-05,-1.4148834068607279e-05
-1.0,-1.6,-2.896989595972123e-05,-1.9930168663748977e-05
-1.0,-1.55,-4.277997755196613e-05,-2.8909292274729152e-05
-1.0,-1.5,-6.33935728009436e-05,-4.2071578975188916e-05
-1.0,-1.45,-9.301626048146876e-05,-6.0616555300316e-05
-1.0,-1.4,-0.00013437415098981585,-8.598309813328464e-05
-1.0,-1.35,-0.00019077596367806252,-0.00011986791792635082
-1.0,-1.3,-0.0002661503995942337,-0.00016423056219601925
-1.0,-1.25,-0.0003650347062219006,-0.0002212747989241227
-1.0,-1.2,-0.0004924784754107922,-0.0002933917184752788
-1.0,-1.15,-0.000653811643100767,-0.0003830441603009712
-1.0,-1.1,-0.0008542083817277808,-0.000492565413711378
-1.0,-1.05,-0.0010979624534523057,-0.0006238386244145508
-1.0,-1.0,-0.0013873823734229767,-0.000777819534583661
-1.0,-0.95,-0.0017212314430945766,-0.0009538692910729255
-1.0,-0.9,-0.002092703687863269,-0.0011488852425806807
-1.0,-0.85,-0.002487078111372475,-0.0013562698437926124
-1.0,-0.8,-0.0028794688549556306,-0.0015648777349933733
-1.0,-0.75,-0.003233499405605755,-0.00175823937050265
-1.0,-0.7,-0.003502198661067464,-0.0019145596113061339
-1.0,-0.65,-0.003690611705953832,-0.002041680564744061
-1.0,-0.6,-0.003870976723798022,-0.0021832640579259334
-1.0,-0.55,-0.004038562620205148,-0.002342775296206416
-1.0,-0.5,-0.004183270787523738,-0.002522584417269381
-1.0,-0.45,-0.004288670936799641,-0.0027230909303313767
-1.0,-0.4,-0.004329838202550444,-0.0029406972673088182
-1.0,-0.35,-0.004272486598786182,-0.0031650408436102403
-1.0,-0.3,-0.004075601376342211,-0.0033759118122747523
-1.0,-0.25,-0.0037002532392726743,-0.003541034008453632
-1.0,-0.2,-0.0031260790434794717,-0.0036168015146012156
-1.0,-0.15,-0.002372696760342368,-0.003554530295500998
-1.0,-0.1,-0.0015163751518485215,-0.00331372107551206
-0.95,-2.0,-2.522928941921948e-05,-1.9840717690541047e-05
